seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,B0,B0,45899.0,45899.0,0,DONE,719,59.897,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,32.7608,0
0,1,B0,B0,45899.0,45899.0,0,DONE,719,59.897,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,30.7825,0
0,0,B_1_1,B0,26585.0,43844.0,0,DONE,719,57.443,4853,0.811,0.5246,614,36,33,3427,7281,0,0,2,58,19,0,0,1,0,0,20.591,0
0,1,B0,B_1_1,43844.0,26585.0,1,DONE,719,57.443,4853,0.9472,0.578,640,102,90,8429,19553,0,0,5,155,10,0,0,2,1,3,23.0255,0
0,0,B_2_2,B0,44085.0,51956.0,0,DONE,719,41.048,4853,0.9104,0.5689,673,70,67,12940,14176,0,0,3,110,17,0,0,2,1,0,13.1341,0
0,1,B0,B_2_2,51956.0,44085.0,1,DONE,719,41.048,4853,0.9472,0.578,640,102,90,18034,18670,0,0,5,155,10,0,0,2,1,3,13.0326,0
0,0,B_4_4,B0,39322.0,59135.0,0,DONE,719,44.883,3749,0.9288,0.5799,405,72,67,15107,14790,0,0,4,125,23,0,0,4,8,7,23.4903,0
0,1,B0,B_4_4,59135.0,39322.0,1,DONE,719,44.883,4853,0.9472,0.578,640,102,90,19758,19925,0,0,5,155,10,0,0,2,1,3,15.3981,0
0,0,B_5_5,B0,9836.0,54912.0,0,DONE,719,38.581,4163,0.6784,0.4641,263,24,0,7325,0,0,0,6,54,20,0,0,4,9,0,11.4374,0
0,1,B0,B_5_5,54912.0,9836.0,1,DONE,719,38.581,4853,0.9472,0.578,640,102,90,25293,12321,0,2,5,155,10,0,0,2,1,3,14.2735,0
0,0,B0,B_1_1,43844.0,26585.0,1,DONE,719,56.884,4853,0.9472,0.578,640,102,90,8429,19553,0,0,5,155,10,0,0,2,1,3,26.1248,0
0,1,B_1_1,B0,26585.0,43844.0,0,DONE,719,56.884,4853,0.811,0.5246,614,36,33,3427,7281,0,0,2,58,19,0,0,1,0,0,18.8837,0
0,0,B0,B_2_2,51956.0,44085.0,1,DONE,719,49.169,4853,0.9472,0.578,640,102,90,18034,18670,0,0,5,155,10,0,0,2,1,3,22.5886,0
