seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,B2,B0,45899.0,45899.0,0,DONE,719,29.143,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,11.4323,0
0,1,B0,B2,45899.0,45899.0,0,DONE,719,29.143,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,11.9201,0
0,0,B0,B2,45899.0,45899.0,0,DONE,719,34.644,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,18.5403,0
0,1,B2,B0,45899.0,45899.0,0,DONE,719,34.644,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,14.8144,0
1,0,B2,B0,48953.0,48953.0,0,DONE,719,28.568,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,17.2119,0
1,1,B0,B2,48953.0,48953.0,0,DONE,719,28.568,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,8.2224,0
1,0,B0,B2,48953.0,48953.0,0,DONE,719,25.837,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,13.5162,0
1,1,B2,B0,48953.0,48953.0,0,DONE,719,25.837,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,10.0944,0
2,0,B2,B0,41765.0,41569.0,1,DONE,719,28.371,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,12.9246,0
2,1,B0,B2,41569.0,41765.0,0,DONE,719,28.371,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,15.5985,0
2,0,B0,B2,41765.0,41569.0,1,DONE,719,27.989,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,10.5221,0
2,1,B2,B0,41569.0,41765.0,0,DONE,719,27.989,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,10.836,0
3,0,B2,B0,52194.0,52194.0,0,DONE,719,36.421,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,13.5596,0
3,1,B0,B2,52194.0,52194.0,0,DONE,719,36.421,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,10.6058,0
3,0,B0,B2,52194.0,52194.0,0,DONE,719,22.76,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,7.9125,0
3,1,B2,B0,52194.0,52194.0,0,DONE,719,22.76,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,8.9902,0
4,0,B2,B0,45953.0,44964.0,1,DONE,719,23.154,4853,0.9468,0.5768,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,8.976,0
4,1,B0,B2,44964.0,45953.0,0,DONE,719,23.154,4853,0.947,0.5782,640,102,90,22990,6069,0,36,5,155,10,0,0,2,1,3,8.234,0
4,0,B0,B2,44994.0,45923.0,0,DONE,719,29.939,4853,0.9472,0.578,640,102,90,22990,6069,0,36,5,155,10,0,0,2,1,3,10.0571,0
4,1,B2,B0,45923.0,44994.0,1,DONE,719,29.939,4853,0.9466,0.577,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,12.1155,0
