seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,B2,A_diversified,51533.0,32164.0,1,DONE,719,26.573,4853,0.9468,0.5768,646,104,90,22186,9816,0,20,5,156,19,1,0,2,1,3,10.0019,0
0,1,A_diversified,B2,32164.0,51533.0,0,DONE,719,26.573,4025,0.9451,0.5722,532,55,42,12268,2317,0,14,5,122,55,0,0,1,4,17,6.5651,0
0,0,B2,D_premium_crop,61592.0,34681.0,1,DONE,719,29.481,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,11.5686,0
0,1,D_premium_crop,B2,34681.0,61592.0,0,DONE,719,29.481,5495,0.5578,0.4084,168,0,0,0,0,0,0,0,0,4,0,0,13,0,0,9.47,0
0,0,B2,C_goose_wheat,57303.0,28606.0,1,DONE,719,28.842,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,10.9612,0
0,1,C_goose_wheat,B2,28606.0,57303.0,0,DONE,719,28.842,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,9.1875,0
0,0,B2,reference,57303.0,28606.0,1,DONE,719,39.984,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,22.8686,0
0,1,reference,B2,28606.0,57303.0,0,DONE,719,39.984,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,16.5957,0
0,0,A_diversified,B2,32174.0,51533.0,0,DONE,719,29.504,4025,0.9436,0.5712,532,55,42,12268,2317,0,14,5,122,55,0,0,1,4,17,10.9427,0
0,1,B2,A_diversified,51533.0,32174.0,1,DONE,719,29.504,4853,0.9468,0.5768,646,104,90,22186,9816,0,20,5,156,19,1,0,2,1,3,8.3475,0
0,0,D_premium_crop,B2,34681.0,61592.0,0,DONE,719,25.682,5495,0.5578,0.4084,168,0,0,0,0,0,0,0,0,4,0,0,13,0,0,5.2177,0
0,1,B2,D_premium_crop,61592.0,34681.0,1,DONE,719,25.682,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,6.8712,0
0,0,C_goose_wheat,B2,28606.0,57303.0,0,DONE,719,31.139,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,13.3199,0
0,1,B2,C_goose_wheat,57303.0,28606.0,1,DONE,719,31.139,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,10.7159,0
0,0,reference,B2,28606.0,57303.0,0,DONE,719,36.946,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,12.2447,0
0,1,B2,reference,57303.0,28606.0,1,DONE,719,36.946,4853,0.9472,0.578,640,102,90,21567,20130,0,0,5,155,10,0,0,2,1,3,12.3767,0
1,0,B2,A_diversified,60123.0,37717.0,1,DONE,719,31.638,4853,0.9472,0.578,640,102,90,23500,19327,0,0,5,155,10,0,0,2,1,3,11.7018,0
1,1,A_diversified,B2,37717.0,60123.0,0,DONE,719,31.638,4025,0.9456,0.5727,532,55,42,12817,9372,0,0,5,122,55,0,0,1,4,17,8.1416,0
1,0,B2,D_premium_crop,66256.0,34947.0,1,DONE,719,27.202,4853,0.9472,0.578,640,102,90,24789,20463,0,0,5,155,10,0,0,2,1,3,9.3656,0
1,1,D_premium_crop,B2,34947.0,66256.0,0,DONE,719,27.202,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,6,0,0,13,0,0,5.6934,0
1,0,B2,C_goose_wheat,61128.0,25728.0,1,DONE,719,26.188,4853,0.9472,0.578,640,102,90,25537,20161,0,0,5,155,10,0,0,2,1,3,11.5446,0
1,1,C_goose_wheat,B2,25728.0,61128.0,0,DONE,719,26.188,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,7.505,0
1,0,B2,reference,61128.0,25728.0,1,DONE,719,44.303,4853,0.9472,0.578,640,102,90,25537,20161,0,0,5,155,10,0,0,2,1,3,21.9572,0
1,1,reference,B2,25728.0,61128.0,0,DONE,719,44.303,4853,0.9289,0.5724,741,0,0,0,0,0,0,4,109,4,0,0,2,0,0,13.827,0
