seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P2,P0,45899.0,45899.0,0,DONE,719,60.46,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,33.1707,0
0,1,P0,P2,45899.0,45899.0,0,DONE,719,60.46,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,37.7533,0
0,0,P0,P2,45899.0,45899.0,0,DONE,719,59.834,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,49.2948,0
0,1,P2,P0,45899.0,45899.0,0,DONE,719,59.834,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,29.8706,0
1,0,P2,P0,48794.0,48795.0,0,DONE,719,70.811,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,29.0828,0
1,1,P0,P2,48795.0,48794.0,1,DONE,719,70.811,4853,0.9472,0.578,640,102,90,23887,7577,0,19,5,155,10,0,0,2,1,3,39.0479,0
1,0,P0,P2,48795.0,48794.0,1,DONE,719,69.691,4853,0.9472,0.578,640,102,90,23887,7577,0,19,5,155,10,0,0,2,1,3,59.1171,0
1,1,P2,P0,48794.0,48795.0,0,DONE,719,69.691,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,37.1482,0
2,0,P2,P0,41917.0,40366.0,1,DONE,719,67.77,4853,0.9468,0.5782,640,102,90,5542,21988,9,0,5,155,34,0,0,2,1,3,36.5697,0
2,1,P0,P2,40366.0,41917.0,0,DONE,719,67.77,4853,0.9472,0.578,640,102,90,5288,21000,21,0,5,155,10,0,0,2,1,9,37.2286,0
2,0,P0,P2,40562.0,41721.0,0,DONE,719,71.605,4853,0.9468,0.5782,640,102,90,5288,21000,21,0,5,155,34,0,0,2,1,9,47.2743,0
2,1,P2,P0,41721.0,40562.0,1,DONE,719,71.605,4853,0.9472,0.578,640,102,90,5542,21988,9,0,5,155,10,0,0,2,1,3,34.331,0
3,0,P2,P0,52194.0,52194.0,0,DONE,719,74.254,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,49.8575,0
3,1,P0,P2,52194.0,52194.0,0,DONE,719,74.254,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,43.3365,0
3,0,P0,P2,52194.0,52194.0,0,DONE,719,41.317,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,17.4464,0
3,1,P2,P0,52194.0,52194.0,0,DONE,719,41.317,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,12.0923,0
4,0,P2,P0,45908.0,45809.0,1,DONE,719,40.788,4853,0.9468,0.5768,646,104,90,23545,5947,0,38,5,156,19,1,0,2,1,3,15.8887,0
4,1,P0,P2,45809.0,45908.0,0,DONE,719,40.788,4853,0.9466,0.577,646,104,90,23545,5873,0,42,5,156,19,1,0,2,1,3,12.192,0
4,0,P0,P2,45839.0,45878.0,0,DONE,719,40.817,4853,0.9468,0.5768,646,104,90,23545,5873,0,42,5,156,19,1,0,2,1,3,16.9679,0
4,1,P2,P0,45878.0,45839.0,1,DONE,719,40.817,4853,0.9466,0.577,646,104,90,23545,5947,0,38,5,156,19,1,0,2,1,3,16.6558,0
5,0,P2,P0,36060.0,36075.0,0,DONE,719,39.654,4853,0.9472,0.578,640,102,90,10404,9026,0,13,5,155,10,0,0,2,1,3,14.0455,0
5,1,P0,P2,36075.0,36060.0,1,DONE,719,39.654,4853,0.9472,0.578,640,102,90,10404,9142,0,8,5,155,10,0,0,2,1,3,12.9611,0
5,0,P0,P2,36075.0,36060.0,1,DONE,719,41.166,4853,0.9472,0.578,640,102,90,10404,9142,0,8,5,155,10,0,0,2,1,3,15.1866,0
