seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P0,P1,45910.0,46331.0,0,DONE,719,40.568,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,17.0346,0
0,1,P1,P0,46331.0,45910.0,1,DONE,719,40.568,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,15.011,0
0,0,P0,P2,45899.0,45899.0,0,DONE,719,21.772,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,15.5689,0
0,1,P2,P0,45899.0,45899.0,0,DONE,719,21.772,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,7.6455,0
0,0,P1,P2,46331.0,45910.0,1,DONE,719,39.932,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,15.7325,0
0,1,P2,P1,45910.0,46331.0,0,DONE,719,39.932,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,17.5952,0
0,0,P1,P0,46331.0,45910.0,1,DONE,719,39.32,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,16.5729,0
0,1,P0,P1,45910.0,46331.0,0,DONE,719,39.32,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,13.1063,0
0,0,P2,P0,45899.0,45899.0,0,DONE,719,21.311,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,6.2524,0
0,1,P0,P2,45899.0,45899.0,0,DONE,719,21.311,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,6.9649,0
0,0,P2,P1,45910.0,46331.0,0,DONE,719,39.493,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,34.7583,0
0,1,P1,P2,46331.0,45910.0,1,DONE,719,39.493,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,17.3785,0
1,0,P0,P1,48952.0,49670.0,0,DONE,719,42.228,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,19.8654,0
1,1,P1,P0,49670.0,48952.0,1,DONE,719,42.228,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,14.5876,0
1,0,P0,P2,48795.0,48794.0,1,DONE,719,21.794,4853,0.9472,0.578,640,102,90,23887,7577,0,19,5,155,10,0,0,2,1,3,8.95,0
1,1,P2,P0,48794.0,48795.0,0,DONE,719,21.794,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,5.7171,0
1,0,P1,P2,49512.0,48793.0,1,DONE,719,39.325,4853,0.9464,0.5745,647,104,90,24204,7577,0,19,5,157,20,0,0,2,1,3,23.7948,0
1,1,P2,P1,48793.0,49512.0,0,DONE,719,39.325,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,29.0469,0
1,0,P1,P0,49670.0,48952.0,1,DONE,719,40.376,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,22.5219,0
1,1,P0,P1,48952.0,49670.0,0,DONE,719,40.376,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,17.8936,0
1,0,P2,P0,48794.0,48795.0,0,DONE,719,23.266,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,11.1479,0
1,1,P0,P2,48795.0,48794.0,1,DONE,719,23.266,4853,0.9472,0.578,640,102,90,23887,7577,0,19,5,155,10,0,0,2,1,3,7.1458,0
1,0,P2,P1,48793.0,49512.0,0,DONE,719,41.933,4853,0.9472,0.578,640,102,90,23887,7581,0,18,5,155,10,0,0,2,1,3,18.1815,0
1,1,P1,P2,49512.0,48793.0,1,DONE,719,41.933,4853,0.9464,0.5745,647,104,90,24204,7577,0,19,5,157,20,0,0,2,1,3,21.5264,0
2,0,P0,P1,41764.0,41827.0,0,DONE,719,38.875,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,17.1226,0
2,1,P1,P0,41827.0,41764.0,1,DONE,719,38.875,4853,0.946,0.5741,647,104,90,5843,21985,3,0,5,157,20,0,0,2,1,3,15.1386,0
2,0,P0,P2,40562.0,41721.0,0,DONE,719,29.196,4853,0.9468,0.5782,640,102,90,5288,21000,21,0,5,155,34,0,0,2,1,9,13.9566,0
2,1,P2,P0,41721.0,40562.0,1,DONE,719,29.196,4853,0.9472,0.578,640,102,90,5542,21988,9,0,5,155,10,0,0,2,1,3,12.1336,0
2,0,P1,P2,40592.0,41721.0,0,DONE,719,40.707,4853,0.946,0.5739,647,104,90,5301,21000,21,0,5,157,34,0,0,2,1,9,34.6866,0
2,1,P2,P1,41721.0,40592.0,1,DONE,719,40.707,4853,0.9472,0.578,640,102,90,5542,21988,9,0,5,155,10,0,0,2,1,3,19.4453,0
2,0,P1,P0,41813.0,41568.0,1,DONE,719,30.179,4853,0.946,0.5739,647,104,90,5843,21985,3,0,5,157,34,0,0,2,1,3,10.8285,0
2,1,P0,P1,41568.0,41813.0,0,DONE,719,30.179,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,10.326,0
2,0,P2,P0,41917.0,40366.0,1,DONE,719,26.237,4853,0.9468,0.5782,640,102,90,5542,21988,9,0,5,155,34,0,0,2,1,3,12.3895,0
2,1,P0,P2,40366.0,41917.0,0,DONE,719,26.237,4853,0.9472,0.578,640,102,90,5288,21000,21,0,5,155,10,0,0,2,1,9,11.0016,0
2,0,P2,P1,41917.0,40606.0,1,DONE,719,39.399,4853,0.9468,0.5782,640,102,90,5542,21988,9,0,5,155,34,0,0,2,1,3,27.1007,0
2,1,P1,P2,40606.0,41917.0,0,DONE,719,39.399,4853,0.946,0.5741,647,104,90,5301,21000,21,0,5,157,20,0,0,2,1,9,30.5564,0
3,0,P0,P1,52199.0,52789.0,0,DONE,719,33.692,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,12.5353,0
3,1,P1,P0,52789.0,52199.0,1,DONE,719,33.692,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,11.1164,0
3,0,P0,P2,52194.0,52194.0,0,DONE,719,38.946,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,15.5355,0
