seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1,P0,46331.0,45910.0,1,DONE,719,39.435,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,27.228,0
0,1,P0,P1,45910.0,46331.0,0,DONE,719,39.435,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,24.7163,0
0,0,P0,P1,45910.0,46331.0,0,DONE,719,37.172,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,30.0843,0
0,1,P1,P0,46331.0,45910.0,1,DONE,719,37.172,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,27.004,0
1,0,P1,P0,49670.0,48952.0,1,DONE,719,38.288,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,23.8382,0
1,1,P0,P1,48952.0,49670.0,0,DONE,719,38.288,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,14.8738,0
1,0,P0,P1,48952.0,49670.0,0,DONE,719,39.784,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,28.9183,0
1,1,P1,P0,49670.0,48952.0,1,DONE,719,39.784,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,19.2448,0
2,0,P1,P0,41813.0,41568.0,1,DONE,719,35.466,4853,0.946,0.5739,647,104,90,5843,21985,3,0,5,157,34,0,0,2,1,3,15.6647,0
2,1,P0,P1,41568.0,41813.0,0,DONE,719,35.466,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,29.8772,0
2,0,P0,P1,41764.0,41827.0,0,DONE,719,40.203,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,19.1382,0
2,1,P1,P0,41827.0,41764.0,1,DONE,719,40.203,4853,0.946,0.5741,647,104,90,5843,21985,3,0,5,157,20,0,0,2,1,3,22.1806,0
3,0,P1,P0,52789.0,52199.0,1,DONE,719,40.074,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,28.3498,0
3,1,P0,P1,52199.0,52789.0,0,DONE,719,40.074,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,26.8555,0
3,0,P0,P1,52199.0,52789.0,0,DONE,719,32.944,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,14.8757,0
3,1,P1,P0,52789.0,52199.0,1,DONE,719,32.944,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,14.9836,0
4,0,P1,P0,45816.0,45920.0,0,DONE,719,32.397,4853,0.9464,0.5757,647,104,90,23545,6069,0,36,5,156,12,1,0,2,1,3,13.7028,0
4,1,P0,P1,45920.0,45816.0,1,DONE,719,32.397,4853,0.9466,0.5763,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,13.1535,0
4,0,P0,P1,45920.0,45816.0,1,DONE,719,30.329,4853,0.9468,0.5768,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,15.3032,0
4,1,P1,P0,45816.0,45920.0,0,DONE,719,30.329,4853,0.9462,0.5753,647,104,90,23545,6069,0,36,5,156,12,1,0,2,1,3,13.4605,0
5,0,P1,P0,36552.0,35973.0,1,DONE,719,29.133,4853,0.9464,0.5745,647,104,90,10618,9082,0,7,5,157,20,0,0,2,1,3,12.3169,0
5,1,P0,P1,35973.0,36552.0,0,DONE,719,29.133,4853,0.9472,0.578,640,102,90,10404,9082,0,7,5,155,10,0,0,2,1,3,12.4986,0
5,0,P0,P1,35973.0,36552.0,0,DONE,719,34.19,4853,0.9472,0.578,640,102,90,10404,9082,0,7,5,155,10,0,0,2,1,3,14.7933,0
5,1,P1,P0,36552.0,35973.0,1,DONE,719,34.19,4853,0.9464,0.5745,647,104,90,10618,9082,0,7,5,157,20,0,0,2,1,3,14.6105,0
6,0,P1,P0,42006.0,42076.0,0,DONE,719,32.354,4853,0.9464,0.5757,647,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,13.4427,0
6,1,P0,P1,42076.0,42006.0,1,DONE,719,32.354,4853,0.9468,0.5768,646,104,90,21915,6069,0,36,5,156,19,1,0,2,1,3,13.0831,0
6,0,P0,P1,42076.0,42006.0,1,DONE,719,35.002,4853,0.9468,0.5768,646,104,90,21915,6069,0,36,5,156,19,1,0,2,1,3,14.0236,0
6,1,P1,P0,42006.0,42076.0,0,DONE,719,35.002,4853,0.9464,0.5757,647,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,14.8983,0
7,0,P1,P0,54812.0,54352.0,1,DONE,719,29.31,4853,0.946,0.5741,647,104,90,20180,20137,0,0,5,157,20,0,0,2,1,3,11.452,0
7,1,P0,P1,54352.0,54812.0,0,DONE,719,29.31,4853,0.9472,0.578,640,102,90,19954,20137,0,0,5,155,10,0,0,2,1,3,12.9577,0
7,0,P0,P1,54352.0,54812.0,0,DONE,719,27.934,4853,0.9472,0.578,640,102,90,19954,20137,0,0,5,155,10,0,0,2,1,3,13.2265,0
7,1,P1,P0,54812.0,54352.0,1,DONE,719,27.934,4853,0.946,0.5741,647,104,90,20180,20137,0,0,5,157,20,0,0,2,1,3,10.3825,0
8,0,P1,P0,45962.0,45527.0,1,DONE,719,35.071,4853,0.946,0.5741,647,104,90,13096,18258,0,0,5,157,20,0,0,2,1,3,15.7601,0
8,1,P0,P1,45527.0,45962.0,0,DONE,719,35.071,4853,0.9472,0.578,640,102,90,12895,18258,0,0,5,155,10,0,0,2,1,3,14.0072,0
8,0,P0,P1,45527.0,45962.0,0,DONE,719,29.037,4853,0.9472,0.578,640,102,90,12895,18258,0,0,5,155,10,0,0,2,1,3,14.3386,0
8,1,P1,P0,45962.0,45527.0,1,DONE,719,29.037,4853,0.946,0.5741,647,104,90,13096,18258,0,0,5,157,20,0,0,2,1,3,15.2015,0
9,0,P1,P0,47425.0,47567.0,0,DONE,719,25.225,4853,0.9464,0.5757,647,104,90,23667,6069,0,36,5,156,12,1,0,2,1,3,11.249,0
9,1,P0,P1,47567.0,47425.0,1,DONE,719,25.225,4853,0.9468,0.5768,646,104,90,23666,6069,0,36,5,156,19,1,0,2,1,3,6.4242,0
9,0,P0,P1,47567.0,47425.0,1,DONE,719,28.475,4853,0.9468,0.5768,646,104,90,23666,6069,0,36,5,156,19,1,0,2,1,3,12.7564,0
9,1,P1,P0,47425.0,47567.0,0,DONE,719,28.475,4853,0.9464,0.5757,647,104,90,23667,6069,0,36,5,156,12,1,0,2,1,3,13.2778,0
10,0,P1,P0,29201.0,29341.0,0,DONE,719,30.217,4853,0.9464,0.5757,647,104,90,6379,6069,0,36,5,156,12,1,0,2,1,9,15.5356,0
10,1,P0,P1,29341.0,29201.0,1,DONE,719,30.217,4853,0.9468,0.5768,646,104,90,6379,6069,0,36,5,156,19,1,0,2,1,9,14.5845,0
10,0,P0,P1,29341.0,29201.0,1,DONE,719,35.406,4853,0.9468,0.5768,646,104,90,6379,6069,0,36,5,156,19,1,0,2,1,9,16.6059,0
10,1,P1,P0,29201.0,29341.0,0,DONE,719,35.406,4853,0.9464,0.5757,647,104,90,6379,6069,0,36,5,156,12,1,0,2,1,9,16.1734,0
11,0,P1,P0,58890.0,58259.0,1,DONE,719,35.57,4853,0.946,0.5741,647,104,90,22987,18185,0,0,5,157,20,0,0,2,1,3,16.1086,0
11,1,P0,P1,58259.0,58890.0,0,DONE,719,35.57,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,22.0102,0
11,0,P0,P1,58259.0,58890.0,0,DONE,719,25.798,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,8.9164,0
11,1,P1,P0,58890.0,58259.0,1,DONE,719,25.798,4853,0.946,0.5741,647,104,90,22987,18185,0,0,5,157,20,0,0,2,1,3,9.173,0
12,0,P1,P0,34296.0,34386.0,0,DONE,719,31.978,4853,0.9462,0.5759,642,103,90,11534,6069,0,36,5,156,11,0,0,2,1,3,17.1089,0
12,1,P0,P1,34386.0,34296.0,1,DONE,719,31.978,4853,0.9468,0.5768,638,104,90,11759,6069,0,36,5,156,19,1,0,2,1,3,13.6603,0
12,0,P0,P1,34294.0,34343.0,0,DONE,719,28.113,4853,0.9468,0.5772,641,103,90,11535,6069,0,36,5,156,14,0,0,2,1,3,14.2387,0
12,1,P1,P0,34343.0,34294.0,1,DONE,719,28.113,4853,0.9452,0.5753,634,104,90,11536,6069,0,36,5,158,13,0,0,2,1,3,10.432,0
13,0,P1,P0,49607.0,49731.0,0,DONE,719,30.985,4853,0.9462,0.5753,647,104,90,27214,6069,0,36,5,156,12,1,0,2,1,3,14.6601,0
13,1,P0,P1,49731.0,49607.0,1,DONE,719,30.985,4853,0.9468,0.5768,646,104,90,27213,6069,0,36,5,156,19,1,0,2,1,3,11.6434,0
13,0,P0,P1,49731.0,49607.0,1,DONE,719,31.31,4853,0.9466,0.5763,646,104,90,27213,6069,0,36,5,156,19,1,0,2,1,3,15.2887,0
13,1,P1,P0,49607.0,49731.0,0,DONE,719,31.31,4853,0.9464,0.5757,647,104,90,27214,6069,0,36,5,156,12,1,0,2,1,3,12.7162,0
14,0,P1,P0,41142.0,40651.0,1,DONE,719,23.636,4853,0.9464,0.5745,647,104,90,17376,7702,0,20,5,157,20,0,0,2,1,3,8.9188,0
