seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,Q15,P1,46343.0,46343.0,0,DONE,719,67.397,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,373.7398,0
0,1,P1,Q15,46343.0,46343.0,0,DONE,719,67.397,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,27.7787,0
0,0,P1,Q15,46343.0,46343.0,0,DONE,719,69.707,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,29.5426,0
0,1,Q15,P1,46343.0,46343.0,0,DONE,719,69.707,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,388.2569,0
1,0,Q15,P1,49594.0,48803.0,1,DONE,719,60.232,4853,0.9464,0.5761,646,103,90,103,90,24204,7823,0,0,5,156,11,0,0,2,1,4,324.2249,0
1,1,P1,Q15,48803.0,49594.0,0,DONE,719,60.232,4853,0.9464,0.5761,646,103,90,103,90,24204,6885,0,20,5,156,11,0,0,2,1,3,27.2794,0
1,0,P1,Q15,48803.0,49594.0,0,DONE,719,63.633,4853,0.9464,0.5761,646,103,90,103,90,24204,6885,0,20,5,156,11,0,0,2,1,3,27.6392,0
1,1,Q15,P1,49594.0,48803.0,1,DONE,719,63.633,4853,0.9464,0.5761,646,103,90,103,90,24204,7823,0,0,5,156,11,0,0,2,1,4,415.5678,0
2,0,Q15,P1,41812.0,41826.0,0,DONE,719,70.627,4853,0.946,0.5739,647,104,90,103,90,5653,21985,17,0,5,157,34,0,0,2,1,3,473.3506,0
2,1,P1,Q15,41826.0,41812.0,1,DONE,719,70.627,4853,0.946,0.5741,647,104,90,103,90,5843,21985,3,0,5,157,20,0,0,2,1,3,17.4349,0
2,0,P1,Q15,41812.0,41826.0,0,DONE,719,63.524,4853,0.946,0.5739,647,104,90,103,90,5843,21985,3,0,5,157,34,0,0,2,1,3,33.561,0
2,1,Q15,P1,41826.0,41812.0,1,DONE,719,63.524,4853,0.946,0.5741,647,104,90,103,90,5653,21985,17,0,5,157,20,0,0,2,1,3,353.7242,0
3,0,Q15,P1,52796.0,52796.0,0,DONE,719,65.913,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,332.1748,0
3,1,P1,Q15,52796.0,52796.0,0,DONE,719,65.913,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,21.4863,0
3,0,P1,Q15,52796.0,52796.0,0,DONE,719,45.497,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,11.7798,0
3,1,Q15,P1,52796.0,52796.0,0,DONE,719,45.497,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,229.0745,0
4,0,Q15,P1,44300.0,45839.0,0,DONE,719,43.214,4853,0.9464,0.5757,647,104,90,99,90,22263,6015,0,40,5,156,12,1,0,2,1,14,255.6895,0
4,1,P1,Q15,45839.0,44300.0,1,DONE,719,43.214,4853,0.9462,0.5753,647,104,90,104,90,23562,6069,0,36,5,156,12,1,0,2,1,3,11.8443,0
4,0,P1,Q15,45839.0,44300.0,1,DONE,719,46.577,4853,0.9464,0.5757,647,104,90,104,90,23562,6069,0,36,5,156,12,1,0,2,1,3,11.9583,0
4,1,Q15,P1,44300.0,45839.0,0,DONE,719,46.577,4853,0.9462,0.5753,647,104,90,99,90,22263,6015,0,40,5,156,12,1,0,2,1,14,293.1129,0
5,0,Q15,P1,36012.0,35649.0,1,DONE,719,52.917,4853,0.9464,0.5745,647,104,90,103,90,10618,8697,0,0,5,157,20,0,0,2,1,3,297.5565,0
5,1,P1,Q15,35649.0,36012.0,0,DONE,719,52.917,4853,0.9464,0.5745,647,104,90,103,90,10618,8211,0,7,5,157,20,0,0,2,1,3,12.7836,0
5,0,P1,Q15,35649.0,36012.0,0,DONE,719,49.798,4853,0.9464,0.5745,647,104,90,103,90,10618,8211,0,7,5,157,20,0,0,2,1,3,12.6658,0
5,1,Q15,P1,36012.0,35649.0,1,DONE,719,49.798,4853,0.9464,0.5745,647,104,90,103,90,10618,8697,0,0,5,157,20,0,0,2,1,3,310.4802,0
6,0,Q15,P1,40515.0,42033.0,0,DONE,719,40.842,4853,0.9464,0.5757,647,104,90,99,90,20647,6015,0,40,5,156,12,1,0,2,1,14,214.7681,0
6,1,P1,Q15,42033.0,40515.0,1,DONE,719,40.842,4853,0.9464,0.5757,647,104,90,104,90,21932,6069,0,36,5,156,12,1,0,2,1,3,7.4919,0
6,0,P1,Q15,42033.0,40515.0,1,DONE,719,45.082,4853,0.9464,0.5757,647,104,90,104,90,21932,6069,0,36,5,156,12,1,0,2,1,3,10.4487,0
