seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,Q30,P1,46343.0,46343.0,0,DONE,719,55.302,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,292.9841,0
0,1,P1,Q30,46343.0,46343.0,0,DONE,719,55.302,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,24.0544,0
0,0,P1,Q30,46343.0,46343.0,0,DONE,719,48.485,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,18.8473,0
0,1,Q30,P1,46343.0,46343.0,0,DONE,719,48.485,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,239.1924,0
1,0,Q30,P1,48474.0,49580.0,0,DONE,719,52.222,4853,0.9464,0.5745,647,104,90,100,90,23359,7316,0,28,5,157,20,0,0,2,1,14,350.1873,0
1,1,P1,Q30,49580.0,48474.0,1,DONE,719,52.222,4853,0.9464,0.5745,647,104,90,103,90,24214,7393,0,20,5,157,20,0,0,2,1,3,12.4519,0
1,0,P1,Q30,49580.0,48474.0,1,DONE,719,54.565,4853,0.9464,0.5745,647,104,90,103,90,24214,7393,0,20,5,157,20,0,0,2,1,3,29.3673,0
1,1,Q30,P1,48474.0,49580.0,0,DONE,719,54.565,4853,0.9464,0.5745,647,104,90,100,90,23359,7316,0,28,5,157,20,0,0,2,1,14,353.3694,0
2,0,Q30,P1,39568.0,42595.0,0,DONE,719,56.161,4853,0.946,0.5739,647,104,90,97,86,4602,21000,42,0,5,157,34,0,0,2,1,35,245.7346,0
2,1,P1,Q30,42595.0,39568.0,1,DONE,719,56.161,4853,0.946,0.5741,647,104,90,103,90,5965,21988,4,0,5,157,20,0,0,2,1,3,17.3172,0
2,0,P1,Q30,42581.0,39582.0,1,DONE,719,56.657,4853,0.946,0.5739,647,104,90,103,90,5965,21988,4,0,5,157,34,0,0,2,1,3,19.2121,0
2,1,Q30,P1,39582.0,42581.0,0,DONE,719,56.657,4853,0.946,0.5741,647,104,90,97,86,4602,21000,42,0,5,157,20,0,0,2,1,35,226.9432,0
3,0,Q30,P1,52796.0,52796.0,0,DONE,719,57.274,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,315.0516,0
3,1,P1,Q30,52796.0,52796.0,0,DONE,719,57.274,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,17.5155,0
3,0,P1,Q30,52796.0,52796.0,0,DONE,719,55.449,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,23.3219,0
3,1,Q30,P1,52796.0,52796.0,0,DONE,719,55.449,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,307.0987,0
4,0,Q30,P1,43724.0,45950.0,0,DONE,719,55.107,4853,0.9464,0.5757,647,104,90,98,90,22000,5805,0,45,5,156,12,1,0,2,1,24,315.6123,0
4,1,P1,Q30,45950.0,43724.0,1,DONE,719,55.107,4853,0.9462,0.5753,647,104,90,104,90,23564,6069,0,36,5,156,12,1,0,2,1,3,16.116,0
4,0,P1,Q30,45950.0,43724.0,1,DONE,719,60.051,4853,0.9464,0.5757,647,104,90,104,90,23564,6069,0,36,5,156,12,1,0,2,1,3,19.8604,0
4,1,Q30,P1,43724.0,45950.0,0,DONE,719,60.051,4853,0.9462,0.5753,647,104,90,98,90,22000,5805,0,45,5,156,12,1,0,2,1,24,350.8903,0
5,0,Q30,P1,37136.0,35765.0,1,DONE,719,56.377,4853,0.9464,0.5745,647,104,90,103,90,10624,9252,0,0,5,157,20,0,0,2,1,3,262.4477,0
5,1,P1,Q30,35765.0,37136.0,0,DONE,719,56.377,4853,0.9464,0.5745,647,104,90,103,90,10618,8140,0,7,5,157,20,0,0,2,1,3,21.1793,0
5,0,P1,Q30,35765.0,37136.0,0,DONE,719,60.75,4853,0.9464,0.5745,647,104,90,103,90,10618,8140,0,7,5,157,20,0,0,2,1,3,24.1082,0
5,1,Q30,P1,37136.0,35765.0,1,DONE,719,60.75,4853,0.9464,0.5745,647,104,90,103,90,10624,9252,0,0,5,157,20,0,0,2,1,3,306.8706,0
6,0,Q30,P1,39957.0,42130.0,0,DONE,719,53.723,4853,0.9464,0.5757,647,104,90,98,90,20384,5805,0,45,5,156,12,1,0,2,1,24,264.8948,0
6,1,P1,Q30,42130.0,39957.0,1,DONE,719,53.723,4853,0.9464,0.5757,647,104,90,104,90,21934,6069,0,36,5,156,12,1,0,2,1,3,14.4414,0
6,0,P1,Q30,42130.0,39957.0,1,DONE,719,58.104,4853,0.9464,0.5757,647,104,90,104,90,21934,6069,0,36,5,156,12,1,0,2,1,3,20.5268,0
6,1,Q30,P1,39957.0,42130.0,0,DONE,719,58.104,4853,0.9464,0.5757,647,104,90,98,90,20384,5805,0,45,5,156,12,1,0,2,1,24,255.3727,0
7,0,Q30,P1,54810.0,54810.0,0,DONE,719,48.581,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,198.7549,0
7,1,P1,Q30,54810.0,54810.0,0,DONE,719,48.581,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,11.3089,0
7,0,P1,Q30,54810.0,54810.0,0,DONE,719,46.325,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,11.7619,0
7,1,Q30,P1,54810.0,54810.0,0,DONE,719,46.325,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,199.8749,0
