seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,Q_slack80,P1,46343.0,46343.0,0,DONE,719,87.91,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,83.0181,0
0,1,P1,Q_slack80,46343.0,46343.0,0,DONE,719,87.91,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,62.4506,0
0,0,P1,Q_slack80,46343.0,46343.0,0,DONE,719,92.202,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,151.2817,0
0,1,Q_slack80,P1,46343.0,46343.0,0,DONE,719,92.202,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,64.374,0
1,0,Q_slack80,P1,49667.0,49667.0,0,DONE,719,88.256,4853,0.9464,0.5745,647,104,90,103,90,24204,7702,0,20,5,157,20,0,0,2,1,3,57.5016,0
1,1,P1,Q_slack80,49667.0,49667.0,0,DONE,719,88.256,4853,0.9464,0.5745,647,104,90,103,90,24204,7702,0,20,5,157,20,0,0,2,1,3,66.1273,0
1,0,P1,Q_slack80,49667.0,49667.0,0,DONE,719,73.779,4853,0.9464,0.5745,647,104,90,103,90,24204,7702,0,20,5,157,20,0,0,2,1,3,52.5853,0
1,1,Q_slack80,P1,49667.0,49667.0,0,DONE,719,73.779,4853,0.9464,0.5745,647,104,90,103,90,24204,7702,0,20,5,157,20,0,0,2,1,3,59.3528,0
2,0,Q_slack80,P1,41812.0,41826.0,0,DONE,719,72.059,4853,0.946,0.5739,647,104,90,103,90,5843,21985,3,0,5,157,34,0,0,2,1,3,62.9959,0
2,1,P1,Q_slack80,41826.0,41812.0,1,DONE,719,72.059,4853,0.946,0.5741,647,104,90,103,90,5843,21985,3,0,5,157,20,0,0,2,1,3,50.2048,0
2,0,P1,Q_slack80,41812.0,41826.0,0,DONE,719,79.863,4853,0.946,0.5739,647,104,90,103,90,5843,21985,3,0,5,157,34,0,0,2,1,3,68.4708,0
2,1,Q_slack80,P1,41826.0,41812.0,1,DONE,719,79.863,4853,0.946,0.5741,647,104,90,103,90,5843,21985,3,0,5,157,20,0,0,2,1,3,61.1919,0
3,0,Q_slack80,P1,52796.0,52796.0,0,DONE,719,86.384,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,65.496,0
3,1,P1,Q_slack80,52796.0,52796.0,0,DONE,719,86.384,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,78.238,0
3,0,P1,Q_slack80,52796.0,52796.0,0,DONE,719,81.298,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,36.0565,0
3,1,Q_slack80,P1,52796.0,52796.0,0,DONE,719,81.298,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,48.7485,0
4,0,Q_slack80,P1,45813.0,45813.0,0,DONE,719,84.191,4853,0.9464,0.5757,647,104,90,104,90,23546,6069,0,36,5,156,12,1,0,2,1,3,54.922,0
4,1,P1,Q_slack80,45813.0,45813.0,0,DONE,719,84.191,4853,0.9462,0.5753,647,104,90,104,90,23546,6069,0,36,5,156,12,1,0,2,1,3,63.4936,0
4,0,P1,Q_slack80,45813.0,45813.0,0,DONE,719,71.763,4853,0.9464,0.5757,647,104,90,104,90,23546,6069,0,36,5,156,12,1,0,2,1,3,69.1167,0
4,1,Q_slack80,P1,45813.0,45813.0,0,DONE,719,71.763,4853,0.9462,0.5753,647,104,90,104,90,23546,6069,0,36,5,156,12,1,0,2,1,3,53.633,0
5,0,Q_slack80,P1,36553.0,36553.0,0,DONE,719,69.014,4853,0.9464,0.5745,647,104,90,103,90,10618,9082,0,7,5,157,20,0,0,2,1,3,27.1731,0
5,1,P1,Q_slack80,36553.0,36553.0,0,DONE,719,69.014,4853,0.9464,0.5745,647,104,90,103,90,10618,9082,0,7,5,157,20,0,0,2,1,3,52.4952,0
5,0,P1,Q_slack80,36553.0,36553.0,0,DONE,719,62.041,4853,0.9464,0.5745,647,104,90,103,90,10618,9082,0,7,5,157,20,0,0,2,1,3,29.6545,0
5,1,Q_slack80,P1,36553.0,36553.0,0,DONE,719,62.041,4853,0.9464,0.5745,647,104,90,103,90,10618,9082,0,7,5,157,20,0,0,2,1,3,47.3002,0
6,0,Q_slack80,P1,42002.0,42002.0,0,DONE,719,58.059,4853,0.9464,0.5757,647,104,90,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,27.9435,0
6,1,P1,Q_slack80,42002.0,42002.0,0,DONE,719,58.059,4853,0.9464,0.5757,647,104,90,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,32.3884,0
