seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,Q15,QD,46343.0,46343.0,0,DONE,719,58.246,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,194.7578,0
0,1,QD,Q15,46343.0,46343.0,0,DONE,719,58.246,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,197.9069,0
0,0,QD,P1,46343.0,46343.0,0,DONE,719,47.852,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,242.7244,0
0,1,P1,QD,46343.0,46343.0,0,DONE,719,47.852,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,9.0629,0
0,0,QD,Q15,46343.0,46343.0,0,DONE,719,63.35,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,247.3033,0
0,1,Q15,QD,46343.0,46343.0,0,DONE,719,63.35,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,232.964,0
0,0,P1,QD,46343.0,46343.0,0,DONE,719,45.797,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,10.0595,0
0,1,QD,P1,46343.0,46343.0,0,DONE,719,45.797,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,245.5459,0
1,0,Q15,QD,49443.0,49218.0,1,DONE,719,68.473,4853,0.9464,0.5745,647,104,90,103,90,24204,7458,0,17,5,157,20,0,0,2,1,3,272.0122,0
1,1,QD,Q15,49218.0,49443.0,0,DONE,719,68.473,4853,0.9464,0.5745,647,104,90,103,90,24204,7120,0,25,5,157,20,0,0,2,1,3,323.488,0
1,0,QD,P1,49434.0,49583.0,0,DONE,719,42.977,4853,0.9464,0.5745,647,104,90,103,90,24204,7364,0,25,5,157,20,0,0,2,1,3,166.5827,0
1,1,P1,QD,49583.0,49434.0,1,DONE,719,42.977,4853,0.9464,0.5745,647,104,90,103,90,24204,7611,0,19,5,157,20,0,0,2,1,3,7.7139,0
1,0,QD,Q15,49218.0,49443.0,0,DONE,719,72.249,4853,0.9464,0.5745,647,104,90,103,90,24204,7120,0,25,5,157,20,0,0,2,1,3,413.669,0
1,1,Q15,QD,49443.0,49218.0,1,DONE,719,72.249,4853,0.9464,0.5745,647,104,90,103,90,24204,7458,0,17,5,157,20,0,0,2,1,3,319.3193,0
1,0,P1,QD,49583.0,49434.0,1,DONE,719,41.281,4853,0.9464,0.5745,647,104,90,103,90,24204,7611,0,19,5,157,20,0,0,2,1,3,11.1257,0
1,1,QD,P1,49434.0,49583.0,0,DONE,719,41.281,4853,0.9464,0.5745,647,104,90,103,90,24204,7364,0,25,5,157,20,0,0,2,1,3,187.2759,0
2,0,Q15,QD,40268.0,41981.0,0,DONE,719,69.054,4853,0.946,0.5739,647,104,90,100,86,5008,21000,32,0,5,157,34,0,0,2,1,16,338.4696,0
2,1,QD,Q15,41981.0,40268.0,1,DONE,719,69.054,4853,0.946,0.5741,647,104,90,103,90,5479,21988,11,0,5,157,20,0,0,2,1,3,334.2396,0
2,0,QD,P1,41953.0,40432.0,1,DONE,719,42.089,4853,0.946,0.5739,647,104,90,103,90,5479,21988,11,0,5,157,34,0,0,2,1,3,172.7877,0
2,1,P1,QD,40432.0,41953.0,0,DONE,719,42.089,4853,0.946,0.5741,647,104,90,103,86,5122,21000,25,0,5,157,20,0,0,2,1,9,8.2654,0
2,0,QD,Q15,41967.0,40282.0,1,DONE,719,66.375,4853,0.946,0.5739,647,104,90,103,90,5479,21988,11,0,5,157,34,0,0,2,1,3,284.5728,0
2,1,Q15,QD,40282.0,41967.0,0,DONE,719,66.375,4853,0.946,0.5741,647,104,90,100,86,5008,21000,32,0,5,157,20,0,0,2,1,16,230.8104,0
2,0,P1,QD,40418.0,41967.0,0,DONE,719,43.281,4853,0.946,0.5739,647,104,90,103,86,5122,21000,25,0,5,157,34,0,0,2,1,9,10.6741,0
2,1,QD,P1,41967.0,40418.0,1,DONE,719,43.281,4853,0.946,0.5741,647,104,90,103,90,5479,21988,11,0,5,157,20,0,0,2,1,3,181.8565,0
3,0,Q15,QD,52796.0,52796.0,0,DONE,719,68.176,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,253.7243,0
3,1,QD,Q15,52796.0,52796.0,0,DONE,719,68.176,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,239.6185,0
3,0,QD,P1,52796.0,52796.0,0,DONE,719,42.744,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,182.0016,0
3,1,P1,QD,52796.0,52796.0,0,DONE,719,42.744,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,6.7301,0
3,0,QD,Q15,52796.0,52796.0,0,DONE,719,57.495,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,207.3219,0
3,1,Q15,QD,52796.0,52796.0,0,DONE,719,57.495,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,230.6519,0
3,0,P1,QD,52796.0,52796.0,0,DONE,719,41.738,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,11.3646,0
3,1,QD,P1,52796.0,52796.0,0,DONE,719,41.738,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,183.3496,0
4,0,Q15,QD,44197.0,45807.0,0,DONE,719,55.53,4853,0.9464,0.5757,647,104,90,99,90,22263,5819,0,46,5,156,12,1,0,2,1,14,248.775,0
4,1,QD,Q15,45807.0,44197.0,1,DONE,719,55.53,4853,0.9462,0.5753,647,104,90,104,90,23562,5893,0,42,5,156,12,1,0,2,1,3,212.7424,0
4,0,QD,P1,45780.0,45711.0,1,DONE,719,45.78,4853,0.9464,0.5757,647,104,90,104,90,23546,5893,0,42,5,156,12,1,0,2,1,3,332.6464,0
4,1,P1,QD,45711.0,45780.0,0,DONE,719,45.78,4853,0.9462,0.5753,647,104,90,104,90,23546,5873,0,42,5,156,12,1,0,2,1,3,10.0733,0
4,0,QD,Q15,45807.0,44197.0,1,DONE,719,53.558,4853,0.9464,0.5757,647,104,90,104,90,23562,5893,0,42,5,156,12,1,0,2,1,3,179.5479,0
4,1,Q15,QD,44197.0,45807.0,0,DONE,719,53.558,4853,0.9462,0.5753,647,104,90,99,90,22263,5819,0,46,5,156,12,1,0,2,1,14,189.7261,0
4,0,P1,QD,45711.0,45780.0,0,DONE,719,44.262,4853,0.9464,0.5757,647,104,90,104,90,23546,5873,0,42,5,156,12,1,0,2,1,3,10.1835,0
