seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1S,P1,46343.0,46343.0,0,DONE,719,110.822,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,67.4358,0
0,1,P1,P1S,46343.0,46343.0,0,DONE,719,110.822,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,72.1916,0
0,0,QD,P1S,46343.0,46343.0,0,DONE,719,99.372,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,393.4024,0
0,1,P1S,QD,46343.0,46343.0,0,DONE,719,99.372,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,56.0436,0
0,0,QD,P1,46343.0,46343.0,0,DONE,719,87.181,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,460.9331,0
0,1,P1,QD,46343.0,46343.0,0,DONE,719,87.181,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,45.2827,0
0,0,P1,P1S,46343.0,46343.0,0,DONE,719,100.694,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,65.959,0
0,1,P1S,P1,46343.0,46343.0,0,DONE,719,100.694,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,84.9935,0
0,0,P1S,QD,46343.0,46343.0,0,DONE,719,135.166,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,68.7798,0
0,1,QD,P1S,46343.0,46343.0,0,DONE,719,135.166,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,869.5382,0
0,0,P1,QD,46343.0,46343.0,0,DONE,719,52.858,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,16.0055,0
0,1,QD,P1,46343.0,46343.0,0,DONE,719,52.858,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,290.1578,0
1,0,P1S,P1,49508.0,49509.0,0,DONE,719,116.033,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,67.7595,0
1,1,P1,P1S,49509.0,49508.0,1,DONE,719,116.033,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,65.4509,0
1,0,QD,P1S,49438.0,49550.0,0,DONE,719,67.852,4853,0.9464,0.5745,647,104,90,103,90,24204,7335,0,25,5,157,20,0,0,2,1,3,233.1507,0
1,1,P1S,QD,49550.0,49438.0,1,DONE,719,67.852,4853,0.9464,0.5745,647,104,90,103,90,24204,7550,0,19,5,157,20,0,0,2,1,3,46.8471,0
1,0,QD,P1,49434.0,49583.0,0,DONE,719,48.222,4853,0.9464,0.5745,647,104,90,103,90,24204,7364,0,25,5,157,20,0,0,2,1,3,234.6695,0
1,1,P1,QD,49583.0,49434.0,1,DONE,719,48.222,4853,0.9464,0.5745,647,104,90,103,90,24204,7611,0,19,5,157,20,0,0,2,1,3,22.8708,0
1,0,P1,P1S,49509.0,49508.0,1,DONE,719,88.77,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,44.0044,0
1,1,P1S,P1,49508.0,49509.0,0,DONE,719,88.77,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,52.7632,0
1,0,P1S,QD,49550.0,49438.0,1,DONE,719,73.761,4853,0.9464,0.5745,647,104,90,103,90,24204,7550,0,19,5,157,20,0,0,2,1,3,36.6605,0
1,1,QD,P1S,49438.0,49550.0,0,DONE,719,73.761,4853,0.9464,0.5745,647,104,90,103,90,24204,7335,0,25,5,157,20,0,0,2,1,3,186.6538,0
1,0,P1,QD,49583.0,49434.0,1,DONE,719,70.427,4853,0.9464,0.5745,647,104,90,103,90,24204,7611,0,19,5,157,20,0,0,2,1,3,35.7661,0
1,1,QD,P1,49434.0,49583.0,0,DONE,719,70.427,4853,0.9464,0.5745,647,104,90,103,90,24204,7364,0,25,5,157,20,0,0,2,1,3,478.3101,0
2,0,P1S,P1,41950.0,40609.0,1,DONE,719,81.995,4853,0.946,0.5739,647,104,90,103,90,5555,21988,9,0,5,157,34,0,0,2,1,3,57.032,0
2,1,P1,P1S,40609.0,41950.0,0,DONE,719,81.995,4853,0.946,0.5741,647,104,90,103,86,5301,21000,21,0,5,157,20,0,0,2,1,9,65.4197,0
2,0,QD,P1S,41776.0,41795.0,0,DONE,719,63.369,4853,0.946,0.5739,647,104,90,103,90,5442,21985,20,0,5,157,34,0,0,2,1,3,176.6949,0
2,1,P1S,QD,41795.0,41776.0,1,DONE,719,63.369,4853,0.946,0.5741,647,104,90,103,90,5666,21985,12,0,5,157,20,0,0,2,1,3,12.9755,0
2,0,QD,P1,41953.0,40432.0,1,DONE,719,73.184,4853,0.946,0.5739,647,104,90,103,90,5479,21988,11,0,5,157,34,0,0,2,1,3,495.8432,0
2,1,P1,QD,40432.0,41953.0,0,DONE,719,73.184,4853,0.946,0.5741,647,104,90,103,86,5122,21000,25,0,5,157,20,0,0,2,1,9,33.6307,0
2,0,P1,P1S,40595.0,41964.0,0,DONE,719,108.538,4853,0.946,0.5739,647,104,90,103,86,5301,21000,21,0,5,157,34,0,0,2,1,9,116.5456,0
2,1,P1S,P1,41964.0,40595.0,1,DONE,719,108.538,4853,0.946,0.5741,647,104,90,103,90,5555,21988,9,0,5,157,20,0,0,2,1,3,67.0597,0
2,0,P1S,QD,41781.0,41790.0,0,DONE,719,48.637,4853,0.946,0.5739,647,104,90,103,90,5666,21985,12,0,5,157,34,0,0,2,1,3,22.8908,0
2,1,QD,P1S,41790.0,41781.0,1,DONE,719,48.637,4853,0.946,0.5741,647,104,90,103,90,5442,21985,20,0,5,157,20,0,0,2,1,3,200.0517,0
2,0,P1,QD,40418.0,41967.0,0,DONE,719,81.7,4853,0.946,0.5739,647,104,90,103,86,5122,21000,25,0,5,157,34,0,0,2,1,9,50.1488,0
2,1,QD,P1,41967.0,40418.0,1,DONE,719,81.7,4853,0.946,0.5741,647,104,90,103,90,5479,21988,11,0,5,157,20,0,0,2,1,3,337.945,0
