seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1S,A_diversified,51493.0,32018.0,1,DONE,719,57.918,4853,0.946,0.5753,647,104,90,104,90,22187,9779,0,22,5,156,12,1,0,2,1,3,24.6869,0
0,1,A_diversified,P1S,32018.0,51493.0,0,DONE,719,57.918,4025,0.9451,0.5722,532,55,42,53,42,12268,2073,0,20,5,122,55,0,0,1,4,19,26.754,0
0,0,P1S,D_premium_crop,62269.0,34681.0,1,DONE,719,96.911,4853,0.946,0.5741,647,104,90,103,90,21854,20130,0,0,5,157,20,0,0,2,1,3,100.0451,0
0,1,D_premium_crop,P1S,34681.0,62269.0,0,DONE,719,96.911,5495,0.5578,0.4084,168,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,46.7634,0
0,0,P1S,C_goose_wheat,57828.0,28624.0,1,DONE,719,68.224,4853,0.946,0.5741,647,104,90,103,90,21854,20130,0,0,5,157,20,0,0,2,1,3,51.4823,0
0,1,C_goose_wheat,P1S,28624.0,57828.0,0,DONE,719,68.224,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,37.4371,0
0,0,P1S,reference,57828.0,28624.0,1,DONE,719,50.554,4853,0.946,0.5741,647,104,90,103,90,21854,20130,0,0,5,157,20,0,0,2,1,3,22.3177,0
0,1,reference,P1S,28624.0,57828.0,0,DONE,719,50.554,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,24.1636,0
0,0,A_diversified,P1S,32028.0,51493.0,0,DONE,719,68.755,4025,0.9436,0.5712,532,55,42,53,42,12268,2073,0,20,5,122,55,0,0,1,4,19,33.8409,0
0,1,P1S,A_diversified,51493.0,32028.0,1,DONE,719,68.755,4853,0.946,0.5753,647,104,90,104,90,22187,9779,0,22,5,156,12,1,0,2,1,3,34.4877,0
