seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,L1,L0,46343.0,46343.0,0,DONE,719,74.788,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,24.8498,0
0,1,L0,L1,46343.0,46343.0,0,DONE,719,74.788,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,17.2631,0
0,0,L0,L1,46343.0,46343.0,0,DONE,719,84.199,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,32.4423,0
0,1,L1,L0,46343.0,46343.0,0,DONE,719,84.199,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,28.2293,0
1,0,L1,L0,49509.0,49508.0,1,DONE,719,88.603,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,29.1891,0
1,1,L0,L1,49508.0,49509.0,0,DONE,719,88.603,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,41.9179,0
1,0,L0,L1,49508.0,49509.0,0,DONE,719,89.927,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,31.5449,0
1,1,L1,L0,49509.0,49508.0,1,DONE,719,89.927,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,36.1019,0
2,0,L1,L0,40572.0,41988.0,0,DONE,719,81.362,4853,0.946,0.5739,647,104,90,103,86,5577,21000,12,0,5,157,34,0,0,2,1,8,28.8244,0
2,1,L0,L1,41988.0,40572.0,1,DONE,719,81.362,4853,0.946,0.5741,647,104,90,103,90,5856,21988,3,0,5,157,20,0,0,2,1,3,18.9327,0
2,0,L0,L1,41974.0,40586.0,1,DONE,719,77.415,4853,0.946,0.5739,647,104,90,103,90,5856,21988,3,0,5,157,34,0,0,2,1,3,18.5473,0
2,1,L1,L0,40586.0,41974.0,0,DONE,719,77.415,4853,0.946,0.5741,647,104,90,103,86,5577,21000,12,0,5,157,20,0,0,2,1,8,18.6519,0
3,0,L1,L0,52796.0,52796.0,0,DONE,719,80.89,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,25.7147,0
3,1,L0,L1,52796.0,52796.0,0,DONE,719,80.89,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,29.3696,0
3,0,L0,L1,52796.0,52796.0,0,DONE,719,60.744,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,27.3676,0
3,1,L1,L0,52796.0,52796.0,0,DONE,719,60.744,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,30.9272,0
4,0,L1,L0,45723.0,45801.0,0,DONE,719,41.693,4853,0.9464,0.5757,647,104,90,104,90,23546,5899,0,42,5,156,12,1,0,2,1,3,19.9734,0
4,1,L0,L1,45801.0,45723.0,1,DONE,719,41.693,4853,0.9462,0.5753,647,104,90,104,90,23546,5987,0,36,5,156,12,1,0,2,1,3,22.5165,0
