seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,L2,L0,46343.0,46343.0,0,DONE,719,78.352,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,89.7542,0
0,1,L0,L2,46343.0,46343.0,0,DONE,719,78.352,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,61.1114,0
0,0,L0,L2,46343.0,46343.0,0,DONE,719,76.644,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,68.5283,0
0,1,L2,L0,46343.0,46343.0,0,DONE,719,76.644,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,40.2047,0
1,0,L2,L0,49559.0,49559.0,0,DONE,719,82.534,4853,0.9464,0.5745,647,104,90,103,90,24204,7596,0,19,5,157,20,0,0,2,1,3,108.1071,0
1,1,L0,L2,49559.0,49559.0,0,DONE,719,82.534,4853,0.9464,0.5745,647,104,90,103,90,24204,7596,0,19,5,157,20,0,0,2,1,3,122.3511,0
1,0,L0,L2,49559.0,49559.0,0,DONE,719,70.652,4853,0.9464,0.5745,647,104,90,103,90,24204,7596,0,19,5,157,20,0,0,2,1,3,68.5818,0
1,1,L2,L0,49559.0,49559.0,0,DONE,719,70.652,4853,0.9464,0.5745,647,104,90,103,90,24204,7596,0,19,5,157,20,0,0,2,1,3,30.6437,0
2,0,L2,L0,41736.0,41823.0,0,DONE,719,73.029,4853,0.946,0.5739,647,104,90,99,90,5628,21985,12,0,5,157,38,4,0,2,1,3,52.2152,0
2,1,L0,L2,41823.0,41736.0,1,DONE,719,73.029,4853,0.946,0.5741,647,104,90,103,90,5705,21985,12,0,5,157,20,0,0,2,1,3,39.4476,0
2,0,L0,L2,41809.0,41750.0,1,DONE,719,54.881,4853,0.946,0.5739,647,104,90,103,90,5705,21985,12,0,5,157,34,0,0,2,1,3,21.0037,0
2,1,L2,L0,41750.0,41809.0,0,DONE,719,54.881,4853,0.946,0.5741,647,104,90,99,90,5628,21985,12,0,5,157,24,4,0,2,1,3,33.2616,0
3,0,L2,L0,52796.0,52796.0,0,DONE,719,65.317,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,69.4245,0
