seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,crew2,starter,14106.0,3512.0,1,DONE,719,28.275,2097,0.9895,0.5465,304,34,0,0,4,0,16.8777,0
0,1,starter,crew2,3512.0,14106.0,0,DONE,719,28.275,719,0.0682,0.0,18,0,0,0,0,0,0.3969,0
0,0,crew6,starter,32393.0,3553.0,1,DONE,719,39.225,4853,0.9225,0.5644,728,115,3,2,0,0,25.9831,0
0,1,starter,crew6,3553.0,32393.0,0,DONE,719,39.225,719,0.0682,0.0,18,0,0,0,0,0,0.1836,0
0,0,crew10,starter,30037.0,3677.0,1,DONE,719,36.297,7609,0.8,0.539,788,116,11,0,0,0,31.8424,0
0,1,starter,crew10,3677.0,30037.0,0,DONE,719,36.297,719,0.0682,0.0,18,0,0,0,0,0,0.2229,0
0,0,starter,crew2,3512.0,14257.0,0,DONE,719,23.351,719,0.0682,0.0,18,0,0,0,0,0,0.3573,0
0,1,crew2,starter,14257.0,3512.0,1,DONE,719,23.351,2097,1.0,0.5489,314,39,0,0,0,0,10.9952,0
0,0,starter,crew6,3553.0,32393.0,0,DONE,719,42.987,719,0.0682,0.0,18,0,0,0,0,0,0.2985,0
0,1,crew6,starter,32393.0,3553.0,1,DONE,719,42.987,4853,0.9225,0.5644,728,115,3,2,0,0,22.1824,0
0,0,starter,crew10,3677.0,30037.0,0,DONE,719,37.801,719,0.0682,0.0,18,0,0,0,0,0,0.2393,0
0,1,crew10,starter,30037.0,3677.0,1,DONE,719,37.801,7609,0.8,0.539,788,116,11,0,0,0,25.8034,0
1,0,crew2,starter,13670.0,3443.0,1,DONE,719,35.5,2097,1.0,0.5489,314,39,0,0,0,0,21.4266,0
1,1,starter,crew2,3443.0,13670.0,0,DONE,719,35.5,719,0.0682,0.0,18,0,0,0,0,0,0.2627,0
1,0,crew6,starter,27839.0,4725.0,1,DONE,719,44.901,4853,0.9225,0.5644,728,115,3,2,0,0,31.4281,0
1,1,starter,crew6,4725.0,27839.0,0,DONE,719,44.901,719,0.0682,0.0,18,0,0,0,0,0,0.1663,0
1,0,crew10,starter,25477.0,4725.0,1,DONE,719,34.02,7609,0.8,0.539,788,116,11,0,0,0,32.3275,0
