seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,nearest,starter,27164.0,3637.0,1,DONE,719,52.018,4853,0.9106,0.572,724,116,1,0,0,51,20.8246,0
0,1,starter,nearest,3637.0,27164.0,0,DONE,719,52.018,719,0.0682,0.0,18,0,0,0,0,0,0.136,0
0,0,zone,starter,30106.0,3441.0,1,DONE,719,49.836,4853,0.9336,0.611,587,110,6,0,0,0,16.6583,0
0,1,starter,zone,3441.0,30106.0,0,DONE,719,49.836,719,0.0682,0.0,18,0,0,0,0,0,0.3223,0
0,0,zone_nearest,starter,32393.0,3553.0,1,DONE,719,48.081,4853,0.9225,0.5644,728,115,3,2,0,0,17.552,0
0,1,starter,zone_nearest,3553.0,32393.0,0,DONE,719,48.081,719,0.0682,0.0,18,0,0,0,0,0,0.3329,0
0,0,starter,nearest,3637.0,27164.0,0,DONE,719,51.27,719,0.0682,0.0,18,0,0,0,0,0,0.5959,0
0,1,nearest,starter,27164.0,3637.0,1,DONE,719,51.27,4853,0.9106,0.572,724,116,1,0,0,51,22.7633,0
0,0,starter,zone,3425.0,26923.0,0,DONE,719,47.414,719,0.0682,0.0,18,0,0,0,0,0,0.3621,0
0,1,zone,starter,26923.0,3425.0,1,DONE,719,47.414,4853,0.9299,0.6167,521,105,16,0,0,0,17.5023,0
0,0,starter,zone_nearest,3553.0,32393.0,0,DONE,719,43.342,719,0.0682,0.0,18,0,0,0,0,0,0.6127,0
0,1,zone_nearest,starter,32393.0,3553.0,1,DONE,719,43.342,4853,0.9225,0.5644,728,115,3,2,0,0,22.9424,0
1,0,nearest,starter,24520.0,5105.0,1,DONE,719,49.068,4853,0.9106,0.572,724,116,1,0,0,51,18.4166,0
1,1,starter,nearest,5105.0,24520.0,0,DONE,719,49.068,719,0.0682,0.0,18,0,0,0,0,0,0.7321,0
1,0,zone,starter,23686.0,3794.0,1,DONE,719,43.179,4853,0.9336,0.611,587,110,6,0,0,0,26.9477,0
1,1,starter,zone,3794.0,23686.0,0,DONE,719,43.179,719,0.0682,0.0,18,0,0,0,0,0,0.3826,0
1,0,zone_nearest,starter,27839.0,4725.0,1,DONE,719,44.753,4853,0.9225,0.5644,728,115,3,2,0,0,18.0963,0
1,1,starter,zone_nearest,4725.0,27839.0,0,DONE,719,44.753,719,0.0682,0.0,18,0,0,0,0,0,0.2194,0
1,0,starter,nearest,5105.0,24520.0,0,DONE,719,48.166,719,0.0682,0.0,18,0,0,0,0,0,0.297,0
1,1,nearest,starter,24520.0,5105.0,1,DONE,719,48.166,4853,0.9106,0.572,724,116,1,0,0,51,22.1156,0
1,0,starter,zone,3794.0,23686.0,0,DONE,719,41.741,719,0.0682,0.0,18,0,0,0,0,0,0.6639,0
1,1,zone,starter,23686.0,3794.0,1,DONE,719,41.741,4853,0.9336,0.611,587,110,6,0,0,0,19.6701,0
1,0,starter,zone_nearest,4725.0,27839.0,0,DONE,719,43.341,719,0.0682,0.0,18,0,0,0,0,0,0.3526,0
1,1,zone_nearest,starter,27839.0,4725.0,1,DONE,719,43.341,4853,0.9225,0.5644,728,115,3,2,0,0,19.9845,0
2,0,nearest,starter,27896.0,3493.0,1,DONE,719,51.397,4853,0.9106,0.572,724,116,1,0,0,51,24.3707,0
2,1,starter,nearest,3493.0,27896.0,0,DONE,719,51.397,719,0.0682,0.0,18,0,0,0,0,0,0.5807,0
2,0,zone,starter,30208.0,3668.0,1,DONE,719,37.634,4853,0.9318,0.6108,587,110,21,0,0,0,19.2549,0
2,1,starter,zone,3668.0,30208.0,0,DONE,719,37.634,719,0.0682,0.0,18,0,0,0,0,0,0.1634,0
2,0,zone_nearest,starter,33781.0,3571.0,1,DONE,719,44.292,4853,0.9219,0.5636,732,115,2,2,0,0,20.2539,0
2,1,starter,zone_nearest,3571.0,33781.0,0,DONE,719,44.292,719,0.0682,0.0,18,0,0,0,0,0,0.55,0
2,0,starter,nearest,3493.0,28218.0,0,DONE,719,47.908,719,0.0682,0.0,18,0,0,0,0,0,0.3816,0
2,1,nearest,starter,28218.0,3493.0,1,DONE,719,47.908,4853,0.9106,0.5733,724,116,1,0,0,41,19.3311,0
2,0,starter,zone,3668.0,29461.0,0,DONE,719,39.814,719,0.0682,0.0,18,0,0,0,0,0,0.4048,0
2,1,zone,starter,29461.0,3668.0,1,DONE,719,39.814,4853,0.9336,0.611,587,110,6,0,0,0,27.1996,0
2,0,starter,zone_nearest,3571.0,33858.0,0,DONE,719,42.89,719,0.0682,0.0,18,0,0,0,0,0,1.8116,0
2,1,zone_nearest,starter,33858.0,3571.0,1,DONE,719,42.89,4853,0.9225,0.5644,728,115,3,2,0,0,22.4102,0
3,0,nearest,starter,25064.0,3866.0,1,DONE,719,48.578,4853,0.9106,0.572,724,116,1,0,0,51,20.1786,0
3,1,starter,nearest,3866.0,25064.0,0,DONE,719,48.578,719,0.0682,0.0,18,0,0,0,0,0,0.2082,0
3,0,zone,starter,26547.0,3516.0,1,DONE,719,46.99,4853,0.9336,0.611,587,110,6,0,0,0,35.486,0
3,1,starter,zone,3516.0,26547.0,0,DONE,719,46.99,719,0.0682,0.0,18,0,0,0,0,0,0.7124,0
3,0,zone_nearest,starter,29467.0,3571.0,1,DONE,719,39.95,4853,0.9225,0.5644,728,115,3,2,0,0,19.304,0
3,1,starter,zone_nearest,3571.0,29467.0,0,DONE,719,39.95,719,0.0682,0.0,18,0,0,0,0,0,0.8693,0
3,0,starter,nearest,3571.0,26787.0,0,DONE,719,51.819,719,0.0682,0.0,18,0,0,0,0,0,0.6137,0
3,1,nearest,starter,26787.0,3571.0,1,DONE,719,51.819,4853,0.9102,0.5724,724,116,1,0,0,33,25.8587,0
3,0,starter,zone,3516.0,26547.0,0,DONE,719,46.999,719,0.0682,0.0,18,0,0,0,0,0,0.2272,0
3,1,zone,starter,26547.0,3516.0,1,DONE,719,46.999,4853,0.9336,0.611,587,110,6,0,0,0,29.209,0
3,0,starter,zone_nearest,3571.0,29467.0,0,DONE,719,39.547,719,0.0682,0.0,18,0,0,0,0,0,1.0616,0
3,1,zone_nearest,starter,29467.0,3571.0,1,DONE,719,39.547,4853,0.9225,0.5644,728,115,3,2,0,0,18.6016,0
4,0,nearest,starter,26067.0,3421.0,1,DONE,719,49.83,4853,0.9106,0.5733,724,116,1,0,0,41,18.6523,0
4,1,starter,nearest,3421.0,26067.0,0,DONE,719,49.83,719,0.0682,0.0,18,0,0,0,0,0,0.4134,0
4,0,zone,starter,24339.0,3451.0,1,DONE,719,44.832,4853,0.9322,0.6188,521,105,16,0,0,0,19.2638,0
4,1,starter,zone,3451.0,24339.0,0,DONE,719,44.832,719,0.0682,0.0,18,0,0,0,0,0,0.6141,0
4,0,zone_nearest,starter,29835.0,3506.0,1,DONE,719,26.891,4853,0.91,0.5578,720,113,12,3,0,0,10.2296,0
4,1,starter,zone_nearest,3506.0,29835.0,0,DONE,719,26.891,719,0.0682,0.0,18,0,0,0,0,0,0.1972,0
4,0,starter,nearest,3421.0,25986.0,0,DONE,719,47.719,719,0.0682,0.0,18,0,0,0,0,0,0.1857,0
4,1,nearest,starter,25986.0,3421.0,1,DONE,719,47.719,4853,0.9106,0.572,724,116,1,0,0,51,31.1481,0
4,0,starter,zone,3431.0,26312.0,0,DONE,719,41.258,719,0.0682,0.0,18,0,0,0,0,0,0.2283,0
4,1,zone,starter,26312.0,3431.0,1,DONE,719,41.258,4853,0.9336,0.611,587,110,6,0,0,0,22.0904,0
4,0,starter,zone_nearest,3506.0,30007.0,0,DONE,719,24.604,719,0.0682,0.0,18,0,0,0,0,0,0.1878,0
4,1,zone_nearest,starter,30007.0,3506.0,1,DONE,719,24.604,4853,0.9225,0.5644,728,115,3,2,0,0,10.6503,0
