seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1S,P1,46343.0,46343.0,0,DONE,719,31.188,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,15.0067,0
0,1,P1,P1S,46343.0,46343.0,0,DONE,719,31.188,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,13.8508,0
0,0,P1,P1S,46343.0,46343.0,0,DONE,719,28.773,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,16.1975,0
0,1,P1S,P1,46343.0,46343.0,0,DONE,719,28.773,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,13.8413,0
1,0,P1S,P1,49508.0,49509.0,0,DONE,719,28.53,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,13.5817,0
1,1,P1,P1S,49509.0,49508.0,1,DONE,719,28.53,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,12.8611,0
1,0,P1,P1S,49509.0,49508.0,1,DONE,719,29.188,4853,0.9464,0.5745,647,104,90,103,90,24204,7577,0,19,5,157,20,0,0,2,1,3,17.9535,0
1,1,P1S,P1,49508.0,49509.0,0,DONE,719,29.188,4853,0.9464,0.5745,647,104,90,103,90,24204,7581,0,18,5,157,20,0,0,2,1,3,16.6171,0
2,0,P1S,P1,41950.0,40609.0,1,DONE,719,41.376,4853,0.946,0.5739,647,104,90,103,90,5555,21988,9,0,5,157,34,0,0,2,1,3,19.4037,0
2,1,P1,P1S,40609.0,41950.0,0,DONE,719,41.376,4853,0.946,0.5741,647,104,90,103,86,5301,21000,21,0,5,157,20,0,0,2,1,9,22.8307,0
2,0,P1,P1S,40595.0,41964.0,0,DONE,719,27.55,4853,0.946,0.5739,647,104,90,103,86,5301,21000,21,0,5,157,34,0,0,2,1,9,12.9392,0
2,1,P1S,P1,41964.0,40595.0,1,DONE,719,27.55,4853,0.946,0.5741,647,104,90,103,90,5555,21988,9,0,5,157,20,0,0,2,1,3,11.8651,0
3,0,P1S,P1,52796.0,52796.0,0,DONE,719,34.648,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,17.8645,0
3,1,P1,P1S,52796.0,52796.0,0,DONE,719,34.648,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,16.8258,0
3,0,P1,P1S,52796.0,52796.0,0,DONE,719,32.417,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,21.1697,0
3,1,P1S,P1,52796.0,52796.0,0,DONE,719,32.417,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,14.4379,0
4,0,P1S,P1,45780.0,45711.0,1,DONE,719,50.386,4853,0.9464,0.5757,647,104,90,104,90,23546,5947,0,38,5,156,12,1,0,2,1,3,42.5303,0
4,1,P1,P1S,45711.0,45780.0,0,DONE,719,50.386,4853,0.9462,0.5753,647,104,90,104,90,23546,5873,0,42,5,156,12,1,0,2,1,3,46.0362,0
4,0,P1,P1S,45711.0,45780.0,0,DONE,719,37.389,4853,0.9464,0.5757,647,104,90,104,90,23546,5873,0,42,5,156,12,1,0,2,1,3,23.9486,0
4,1,P1S,P1,45780.0,45711.0,1,DONE,719,37.389,4853,0.9462,0.5753,647,104,90,104,90,23546,5947,0,38,5,156,12,1,0,2,1,3,14.8447,0
5,0,P1S,P1,36643.0,36658.0,0,DONE,719,33.016,4853,0.9464,0.5745,647,104,90,103,90,10618,9026,0,13,5,157,20,0,0,2,1,3,15.705,0
5,1,P1,P1S,36658.0,36643.0,1,DONE,719,33.016,4853,0.9464,0.5745,647,104,90,103,90,10618,9142,0,8,5,157,20,0,0,2,1,3,15.5485,0
5,0,P1,P1S,36658.0,36643.0,1,DONE,719,32.631,4853,0.9464,0.5745,647,104,90,103,90,10618,9142,0,8,5,157,20,0,0,2,1,3,20.3478,0
5,1,P1S,P1,36643.0,36658.0,0,DONE,719,32.631,4853,0.9464,0.5745,647,104,90,103,90,10618,9026,0,13,5,157,20,0,0,2,1,3,21.1137,0
6,0,P1S,P1,41969.0,41900.0,1,DONE,719,26.958,4853,0.9464,0.5757,647,104,90,104,90,21916,5947,0,38,5,156,12,1,0,2,1,3,13.8796,0
