seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,H1,H0,46343.0,46343.0,0,DONE,719,41.835,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,23.9033,0
0,1,H0,H1,46343.0,46343.0,0,DONE,719,41.835,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,23.6694,0
0,0,H0,H1,46343.0,46343.0,0,DONE,719,41.817,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,31.2085,0
0,1,H1,H0,46343.0,46343.0,0,DONE,719,41.817,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,34.7335,0
1,0,H1,H0,50634.0,49375.0,1,DONE,719,43.728,4853,0.9415,0.5737,637,104,82,104,82,24246,7970,0,11,4,157,22,0,4,2,2,3,27.2495,0
1,1,H0,H1,49375.0,50634.0,0,DONE,719,43.728,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,19.7918,0
1,0,H0,H1,49375.0,50634.0,0,DONE,719,49.257,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,40.1135,0
1,1,H1,H0,50634.0,49375.0,1,DONE,719,49.257,4853,0.9415,0.5737,637,104,82,104,82,24246,7970,0,11,4,157,22,0,4,2,2,3,38.9145,0
2,0,H1,H0,40965.0,41317.0,0,DONE,719,33.393,4853,0.9427,0.5766,632,96,90,90,90,4468,21983,31,0,5,156,14,0,0,2,1,9,17.8826,0
2,1,H0,H1,41317.0,40965.0,1,DONE,719,33.393,4853,0.946,0.5741,647,104,90,103,90,4762,21982,34,0,5,157,20,0,0,2,1,3,13.4737,0
2,0,H0,H1,41317.0,41295.0,1,DONE,719,29.805,4853,0.946,0.5739,647,104,90,103,90,4762,21982,34,0,5,157,34,0,0,2,1,3,13.4975,0
2,1,H1,H0,41295.0,41317.0,0,DONE,719,29.805,4853,0.9423,0.5745,636,96,90,90,90,4468,21983,31,0,5,158,24,0,0,2,1,9,17.1798,0
3,0,H1,H0,52796.0,52796.0,0,DONE,719,30.721,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,20.7975,0
3,1,H0,H1,52796.0,52796.0,0,DONE,719,30.721,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,20.0939,0
3,0,H0,H1,52796.0,52796.0,0,DONE,719,32.223,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,20.1525,0
3,1,H1,H0,52796.0,52796.0,0,DONE,719,32.223,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,20.3373,0
4,0,H1,H0,45657.0,45152.0,1,DONE,719,23.303,4853,0.9404,0.5735,624,103,70,103,70,23256,5883,0,21,4,159,15,0,0,2,2,3,12.2504,0
4,1,H0,H1,45152.0,45657.0,0,DONE,719,23.303,4853,0.9462,0.5753,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,4.1694,0
4,0,H0,H1,45152.0,45657.0,0,DONE,719,37.529,4853,0.9464,0.5757,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,23.16,0
4,1,H1,H0,45657.0,45152.0,1,DONE,719,37.529,4853,0.9402,0.573,624,103,70,103,70,23256,5883,0,21,4,159,15,0,0,2,2,3,18.3147,0
5,0,H1,H0,36048.0,35274.0,1,DONE,719,28.364,4853,0.9404,0.5735,624,103,70,103,70,11830,5883,0,21,4,159,15,0,0,2,2,3,13.2797,0
5,1,H0,H1,35274.0,36048.0,0,DONE,719,28.364,4853,0.9464,0.5757,647,104,90,104,90,12013,5957,0,37,5,156,12,1,0,2,1,3,14.1039,0
5,0,H0,H1,35274.0,36048.0,0,DONE,719,29.826,4853,0.9464,0.5757,647,104,90,104,90,12013,5957,0,37,5,156,12,1,0,2,1,3,14.8359,0
5,1,H1,H0,36048.0,35274.0,1,DONE,719,29.826,4853,0.9404,0.5735,624,103,70,103,70,11830,5883,0,21,4,159,15,0,0,2,2,3,16.8069,0
6,0,H1,H0,42471.0,42176.0,1,DONE,719,33.555,4853,0.9404,0.5735,624,103,70,103,70,21908,5883,0,21,4,159,15,0,0,2,2,3,21.0217,0
6,1,H0,H1,42176.0,42471.0,0,DONE,719,33.555,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,20.7627,0
6,0,H0,H1,42176.0,42471.0,0,DONE,719,40.72,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,40.6827,0
6,1,H1,H0,42471.0,42176.0,1,DONE,719,40.72,4853,0.9404,0.5735,624,103,70,103,70,21908,5883,0,21,4,159,15,0,0,2,2,3,30.8501,0
7,0,H1,H0,54810.0,54810.0,0,DONE,719,30.665,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,20.77,0
7,1,H0,H1,54810.0,54810.0,0,DONE,719,30.665,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,12.8232,0
7,0,H0,H1,54810.0,54810.0,0,DONE,719,27.503,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,24.1391,0
7,1,H1,H0,54810.0,54810.0,0,DONE,719,27.503,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,13.6328,0
8,0,H1,H0,45960.0,45960.0,0,DONE,719,28.31,4853,0.946,0.5741,647,104,90,103,90,13096,18258,0,0,5,157,20,0,0,2,1,3,14.3712,0
8,1,H0,H1,45960.0,45960.0,0,DONE,719,28.31,4853,0.946,0.5741,647,104,90,103,90,13096,18258,0,0,5,157,20,0,0,2,1,3,11.2759,0
8,0,H0,H1,45960.0,45960.0,0,DONE,719,25.873,4853,0.946,0.5741,647,104,90,103,90,13096,18258,0,0,5,157,20,0,0,2,1,3,14.7648,0
8,1,H1,H0,45960.0,45960.0,0,DONE,719,25.873,4853,0.946,0.5741,647,104,90,103,90,13096,18258,0,0,5,157,20,0,0,2,1,3,9.0156,0
9,0,H1,H0,48103.0,47499.0,1,DONE,719,28.678,4853,0.9404,0.5735,624,103,70,103,70,23639,5883,0,21,4,159,15,0,0,2,2,3,15.7682,0
9,1,H0,H1,47499.0,48103.0,0,DONE,719,28.678,4853,0.9464,0.5757,647,104,90,104,90,23919,5957,0,37,5,156,12,1,0,2,1,3,11.9497,0
9,0,H0,H1,47499.0,48103.0,0,DONE,719,30.67,4853,0.9464,0.5757,647,104,90,104,90,23919,5957,0,37,5,156,12,1,0,2,1,3,12.8489,0
9,1,H1,H0,48103.0,47499.0,1,DONE,719,30.67,4853,0.9404,0.5735,624,103,70,103,70,23639,5883,0,21,4,159,15,0,0,2,2,3,10.6544,0
10,0,H1,H0,29159.0,29642.0,0,DONE,719,37.078,4853,0.9437,0.5768,619,96,70,96,70,6097,5890,0,21,5,155,16,0,0,2,1,3,18.5129,0
10,1,H0,H1,29642.0,29159.0,1,DONE,719,37.078,4853,0.9464,0.5757,647,104,90,104,90,6480,5964,0,37,5,156,12,1,0,2,1,4,21.1496,0
10,0,H0,H1,29642.0,29159.0,1,DONE,719,30.111,4853,0.9464,0.5757,647,104,90,104,90,6480,5964,0,37,5,156,12,1,0,2,1,4,19.3874,0
10,1,H1,H0,29159.0,29642.0,0,DONE,719,30.111,4853,0.9437,0.5768,619,96,70,96,70,6097,5890,0,21,5,155,16,0,0,2,1,3,12.1767,0
11,0,H1,H0,58886.0,58886.0,0,DONE,719,27.741,4853,0.946,0.5741,647,104,90,103,90,22987,18185,0,0,5,157,20,0,0,2,1,3,14.9321,0
11,1,H0,H1,58886.0,58886.0,0,DONE,719,27.741,4853,0.946,0.5741,647,104,90,103,90,22987,18185,0,0,5,157,20,0,0,2,1,3,14.461,0
11,0,H0,H1,58886.0,58886.0,0,DONE,719,23.912,4853,0.946,0.5741,647,104,90,103,90,22987,18185,0,0,5,157,20,0,0,2,1,3,11.9741,0
11,1,H1,H0,58886.0,58886.0,0,DONE,719,23.912,4853,0.946,0.5741,647,104,90,103,90,22987,18185,0,0,5,157,20,0,0,2,1,3,6.397,0
12,0,H1,H0,35061.0,34164.0,1,DONE,719,23.148,4853,0.9409,0.5739,624,103,70,103,70,11491,5883,0,21,4,159,15,0,0,2,2,3,13.0568,0
12,1,H0,H1,34164.0,35061.0,0,DONE,719,23.148,4853,0.9452,0.5753,634,104,90,103,90,11415,5957,0,37,5,158,13,0,0,2,1,3,5.5099,0
12,0,H0,H1,34079.0,35029.0,0,DONE,719,35.247,4853,0.9462,0.5759,642,103,90,103,90,11413,5957,0,37,5,156,11,0,0,2,1,3,21.883,0
12,1,H1,H0,35029.0,34079.0,1,DONE,719,35.247,4853,0.94,0.5724,624,103,70,103,70,11491,5883,0,21,4,159,15,0,0,2,2,3,21.2173,0
13,0,H1,H0,50522.0,49887.0,1,DONE,719,40.867,4853,0.9402,0.573,624,103,70,103,70,27089,5883,0,21,4,159,15,0,0,2,2,3,18.7261,0
13,1,H0,H1,49887.0,50522.0,0,DONE,719,40.867,4853,0.9464,0.5757,647,104,90,104,90,27410,5957,0,37,5,156,12,1,0,2,1,3,23.2472,0
13,0,H0,H1,49887.0,50522.0,0,DONE,719,31.481,4853,0.9462,0.5753,647,104,90,104,90,27410,5957,0,37,5,156,12,1,0,2,1,3,17.6143,0
13,1,H1,H0,50522.0,49887.0,1,DONE,719,31.481,4853,0.9404,0.5735,624,103,70,103,70,27089,5883,0,21,4,159,15,0,0,2,2,3,11.3761,0
14,0,H1,H0,41898.0,41070.0,1,DONE,719,31.253,4853,0.9404,0.5735,624,103,70,103,70,19083,5883,0,21,4,159,15,0,0,2,2,3,23.18,0
14,1,H0,H1,41070.0,41898.0,0,DONE,719,31.253,4853,0.9464,0.5757,647,104,90,104,90,19124,5957,0,37,5,156,12,1,0,2,1,3,22.0487,0
14,0,H0,H1,41070.0,41898.0,0,DONE,719,38.681,4853,0.9464,0.5757,647,104,90,104,90,19124,5957,0,37,5,156,12,1,0,2,1,3,15.5408,0
14,1,H1,H0,41898.0,41070.0,1,DONE,719,38.681,4853,0.9404,0.5735,624,103,70,103,70,19083,5883,0,21,4,159,15,0,0,2,2,3,18.5516,0
15,0,H1,H0,46496.0,45786.0,1,DONE,719,33.93,4853,0.9404,0.5735,624,103,70,103,70,21726,5883,0,21,4,159,15,0,0,2,2,3,24.3492,0
15,1,H0,H1,45786.0,46496.0,0,DONE,719,33.93,4853,0.9464,0.5757,647,104,90,104,90,21942,5957,0,37,5,156,12,1,0,2,1,3,9.0859,0
15,0,H0,H1,45786.0,46496.0,0,DONE,719,38.161,4853,0.9464,0.5757,647,104,90,104,90,21942,5957,0,37,5,156,12,1,0,2,1,3,26.3677,0
15,1,H1,H0,46496.0,45786.0,1,DONE,719,38.161,4853,0.9404,0.5735,624,103,70,103,70,21726,5883,0,21,4,159,15,0,0,2,2,3,18.5588,0
16,0,H1,H0,60225.0,60236.0,0,DONE,719,28.473,4853,0.9456,0.5782,636,102,90,102,90,23898,18653,0,0,5,156,34,0,0,2,1,3,12.3727,0
16,1,H0,H1,60236.0,60225.0,1,DONE,719,28.473,4853,0.9456,0.573,647,104,90,103,90,24173,18635,0,0,5,157,20,0,0,2,1,3,15.75,0
16,0,H0,H1,60225.0,60236.0,0,DONE,719,32.045,4853,0.9456,0.5782,636,102,90,102,90,23898,18653,0,0,5,156,34,0,0,2,1,3,15.2828,0
