seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,H1,P1S,46343.0,46343.0,0,DONE,719,54.589,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,20.314,0
0,1,P1S,H1,46343.0,46343.0,0,DONE,719,54.589,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,17.6915,0
0,0,P1S,H1,46343.0,46343.0,0,DONE,719,59.143,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,25.3978,0
0,1,H1,P1S,46343.0,46343.0,0,DONE,719,59.143,4853,0.946,0.5741,647,104,90,103,90,13096,18185,0,0,5,157,20,0,0,2,1,3,31.4182,0
1,0,H1,P1S,50634.0,49375.0,1,DONE,719,47.061,4853,0.9415,0.5737,637,104,82,104,82,24246,7970,0,11,4,157,22,0,4,2,2,3,17.978,0
1,1,P1S,H1,49375.0,50634.0,0,DONE,719,47.061,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,17.5432,0
1,0,P1S,H1,49375.0,50634.0,0,DONE,719,60.268,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,32.5231,0
1,1,H1,P1S,50634.0,49375.0,1,DONE,719,60.268,4853,0.9415,0.5737,637,104,82,104,82,24246,7970,0,11,4,157,22,0,4,2,2,3,48.6973,0
2,0,H1,P1S,40965.0,41317.0,0,DONE,719,77.121,4853,0.9427,0.5766,632,96,90,90,90,4468,21983,31,0,5,156,14,0,0,2,1,9,65.1925,0
2,1,P1S,H1,41317.0,40965.0,1,DONE,719,77.121,4853,0.946,0.5741,647,104,90,103,90,4762,21982,34,0,5,157,20,0,0,2,1,3,62.9676,0
2,0,P1S,H1,41317.0,41295.0,1,DONE,719,88.957,4853,0.946,0.5739,647,104,90,103,90,4762,21982,34,0,5,157,34,0,0,2,1,3,73.5125,0
2,1,H1,P1S,41295.0,41317.0,0,DONE,719,88.957,4853,0.9423,0.5745,636,96,90,90,90,4468,21983,31,0,5,158,24,0,0,2,1,9,107.2921,0
3,0,H1,P1S,52796.0,52796.0,0,DONE,719,77.813,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,24.8685,0
3,1,P1S,H1,52796.0,52796.0,0,DONE,719,77.813,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,67.1029,0
3,0,P1S,H1,52796.0,52796.0,0,DONE,719,81.717,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,93.4046,0
3,1,H1,P1S,52796.0,52796.0,0,DONE,719,81.717,4853,0.946,0.5741,647,104,90,103,90,14815,21135,0,0,5,157,20,0,0,2,1,3,116.8528,0
4,0,H1,P1S,45657.0,45152.0,1,DONE,719,88.61,4853,0.9404,0.5735,624,103,70,103,70,23256,5883,0,21,4,159,15,0,0,2,2,3,147.955,0
4,1,P1S,H1,45152.0,45657.0,0,DONE,719,88.61,4853,0.9462,0.5753,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,97.5042,0
4,0,P1S,H1,45152.0,45657.0,0,DONE,719,70.708,4853,0.9464,0.5757,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,128.1579,0
4,1,H1,P1S,45657.0,45152.0,1,DONE,719,70.708,4853,0.9402,0.573,624,103,70,103,70,23256,5883,0,21,4,159,15,0,0,2,2,3,28.5,0
5,0,H1,P1S,36048.0,35274.0,1,DONE,719,118.015,4853,0.9404,0.5735,624,103,70,103,70,11830,5883,0,21,4,159,15,0,0,2,2,3,103.929,0
5,1,P1S,H1,35274.0,36048.0,0,DONE,719,118.015,4853,0.9464,0.5757,647,104,90,104,90,12013,5957,0,37,5,156,12,1,0,2,1,3,74.2638,0
5,0,P1S,H1,35274.0,36048.0,0,DONE,719,82.156,4853,0.9464,0.5757,647,104,90,104,90,12013,5957,0,37,5,156,12,1,0,2,1,3,61.9656,0
5,1,H1,P1S,36048.0,35274.0,1,DONE,719,82.156,4853,0.9404,0.5735,624,103,70,103,70,11830,5883,0,21,4,159,15,0,0,2,2,3,33.8748,0
6,0,H1,P1S,42471.0,42176.0,1,DONE,719,95.658,4853,0.9404,0.5735,624,103,70,103,70,21908,5883,0,21,4,159,15,0,0,2,2,3,85.4663,0
6,1,P1S,H1,42176.0,42471.0,0,DONE,719,95.658,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,62.1697,0
6,0,P1S,H1,42176.0,42471.0,0,DONE,719,85.005,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,33.6475,0
6,1,H1,P1S,42471.0,42176.0,1,DONE,719,85.005,4853,0.9404,0.5735,624,103,70,103,70,21908,5883,0,21,4,159,15,0,0,2,2,3,32.824,0
7,0,H1,P1S,54810.0,54810.0,0,DONE,719,70.851,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,68.469,0
7,1,P1S,H1,54810.0,54810.0,0,DONE,719,70.851,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,38.5598,0
7,0,P1S,H1,54810.0,54810.0,0,DONE,719,75.734,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,29.5333,0
7,1,H1,P1S,54810.0,54810.0,0,DONE,719,75.734,4853,0.946,0.5741,647,104,90,103,90,20180,20137,0,0,5,157,20,0,0,2,1,3,44.2968,0
