seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,H4,P1S,47596.0,46316.0,1,DONE,719,36.803,4853,0.9458,0.5739,651,104,94,104,94,13269,19124,0,0,5,158,20,0,0,2,1,3,13.9936,0
0,1,P1S,H4,46316.0,47596.0,0,DONE,719,36.803,4853,0.946,0.5741,647,104,90,103,90,13091,18185,0,0,5,157,20,0,0,2,1,3,11.1246,0
0,0,P1S,H4,46316.0,47596.0,0,DONE,719,42.152,4853,0.946,0.5741,647,104,90,103,90,13091,18185,0,0,5,157,20,0,0,2,1,3,34.927,0
0,1,H4,P1S,47596.0,46316.0,1,DONE,719,42.152,4853,0.9458,0.5739,651,104,94,104,94,13269,19124,0,0,5,158,20,0,0,2,1,3,15.3645,0
1,0,H4,P1S,49901.0,49393.0,1,DONE,719,35.034,4853,0.9425,0.5745,633,104,78,104,78,24242,7320,0,11,5,159,23,0,0,2,1,3,14.4359,0
1,1,P1S,H4,49393.0,49901.0,0,DONE,719,35.034,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,12.7161,0
1,0,P1S,H4,49393.0,49901.0,0,DONE,719,38.332,4853,0.9464,0.5745,647,104,90,103,90,23929,7480,0,19,5,157,20,0,0,2,1,3,20.5644,0
1,1,H4,P1S,49901.0,49393.0,1,DONE,719,38.332,4853,0.9425,0.5745,633,104,78,104,78,24242,7320,0,11,5,159,23,0,0,2,1,3,23.8668,0
2,0,H4,P1S,41799.0,41813.0,0,DONE,719,39.9,4853,0.946,0.5739,647,104,90,103,90,5698,21985,12,0,5,157,34,0,0,2,1,3,24.6013,0
2,1,P1S,H4,41813.0,41799.0,1,DONE,719,39.9,4853,0.946,0.5741,647,104,90,103,90,5698,21985,12,0,5,157,20,0,0,2,1,3,33.0659,0
2,0,P1S,H4,41799.0,41813.0,0,DONE,719,41.037,4853,0.946,0.5739,647,104,90,103,90,5698,21985,12,0,5,157,34,0,0,2,1,3,29.3264,0
2,1,H4,P1S,41813.0,41799.0,1,DONE,719,41.037,4853,0.946,0.5741,647,104,90,103,90,5698,21985,12,0,5,157,20,0,0,2,1,3,45.026,0
3,0,H4,P1S,54166.0,52777.0,1,DONE,719,46.294,4853,0.9458,0.5739,651,104,94,104,94,15060,22103,0,0,5,158,20,0,0,2,1,3,36.9553,0
3,1,P1S,H4,52777.0,54166.0,0,DONE,719,46.294,4853,0.946,0.5741,647,104,90,103,90,14813,21135,0,0,5,157,20,0,0,2,1,3,18.3784,0
3,0,P1S,H4,52777.0,54166.0,0,DONE,719,45.274,4853,0.946,0.5741,647,104,90,103,90,14813,21135,0,0,5,157,20,0,0,2,1,3,33.1278,0
3,1,H4,P1S,54166.0,52777.0,1,DONE,719,45.274,4853,0.9458,0.5739,651,104,94,104,94,15060,22103,0,0,5,158,20,0,0,2,1,3,28.2142,0
4,0,H4,P1S,45928.0,45221.0,1,DONE,719,43.386,4853,0.9415,0.5741,625,104,70,104,70,23525,5883,0,21,5,161,19,0,0,2,1,3,29.9857,0
4,1,P1S,H4,45221.0,45928.0,0,DONE,719,43.386,4853,0.9462,0.5753,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,22.9595,0
4,0,P1S,H4,45221.0,45928.0,0,DONE,719,42.236,4853,0.9464,0.5757,647,104,90,104,90,23502,5957,0,37,5,156,12,1,0,2,1,3,19.0358,0
4,1,H4,P1S,45928.0,45221.0,1,DONE,719,42.236,4853,0.9413,0.5737,625,104,70,104,70,23525,5883,0,21,5,161,19,0,0,2,1,3,20.6904,0
5,0,H4,P1S,36247.0,35325.0,1,DONE,719,48.552,4853,0.9415,0.5741,625,104,70,104,70,12056,5883,0,21,5,161,19,0,0,2,1,3,21.2997,0
5,1,P1S,H4,35325.0,36247.0,0,DONE,719,48.552,4853,0.9464,0.5757,647,104,90,104,90,12012,5957,0,37,5,156,12,1,0,2,1,3,19.5201,0
5,0,P1S,H4,35325.0,36247.0,0,DONE,719,47.893,4853,0.9464,0.5757,647,104,90,104,90,12012,5957,0,37,5,156,12,1,0,2,1,3,17.0545,0
5,1,H4,P1S,36247.0,35325.0,1,DONE,719,47.893,4853,0.9415,0.5741,625,104,70,104,70,12056,5883,0,21,5,161,19,0,0,2,1,3,22.2736,0
6,0,H4,P1S,42770.0,42211.0,1,DONE,719,42.688,4853,0.9415,0.5741,625,104,70,104,70,22194,5883,0,21,5,161,19,0,0,2,1,3,32.6131,0
6,1,P1S,H4,42211.0,42770.0,0,DONE,719,42.688,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,15.5252,0
6,0,P1S,H4,42211.0,42770.0,0,DONE,719,37.483,4853,0.9464,0.5757,647,104,90,104,90,22177,5957,0,37,5,156,12,1,0,2,1,3,19.7508,0
6,1,H4,P1S,42770.0,42211.0,1,DONE,719,37.483,4853,0.9415,0.5741,625,104,70,104,70,22194,5883,0,21,5,161,19,0,0,2,1,3,23.1491,0
7,0,H4,P1S,56093.0,54806.0,1,DONE,719,39.682,4853,0.9458,0.5739,651,104,94,104,94,20391,21093,0,0,5,158,20,0,0,2,1,3,16.6814,0
7,1,P1S,H4,54806.0,56093.0,0,DONE,719,39.682,4853,0.946,0.5741,647,104,90,103,90,20177,20137,0,0,5,157,20,0,0,2,1,3,10.8584,0
7,0,P1S,H4,54806.0,56093.0,0,DONE,719,36.303,4853,0.946,0.5741,647,104,90,103,90,20177,20137,0,0,5,157,20,0,0,2,1,3,13.5946,0
7,1,H4,P1S,56093.0,54806.0,1,DONE,719,36.303,4853,0.9458,0.5739,651,104,94,104,94,20391,21093,0,0,5,158,20,0,0,2,1,3,14.5029,0
