seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,FERT,H4,60415.0,60610.0,0,DONE,719,103.877,4853,0.9765,0.605,669,104,98,104,98,23640,19767,0,0,5,162,28,0,0,3,1,0,9.0698,0
0,1,H4,FERT,60610.0,60415.0,1,DONE,719,103.877,4853,0.9458,0.5739,651,104,94,104,94,23635,19094,0,0,5,158,20,0,0,2,1,3,6.0321,0
0,0,H4,FERT,60610.0,60415.0,1,DONE,719,103.998,4853,0.9458,0.5739,651,104,94,104,94,23635,19094,0,0,5,158,20,0,0,2,1,3,9.2947,0
0,1,FERT,H4,60415.0,60610.0,0,DONE,719,103.998,4853,0.9765,0.605,669,104,98,104,98,23640,19767,0,0,5,162,28,0,0,3,1,0,11.7447,0
1,0,FERT,H4,60171.0,60372.0,0,DONE,719,86.491,4853,0.9765,0.605,669,104,98,104,98,23640,19892,0,0,5,162,28,0,0,3,1,0,7.2011,0
1,1,H4,FERT,60372.0,60171.0,1,DONE,719,86.491,4853,0.9458,0.5739,651,104,94,104,94,23635,19192,0,0,5,158,20,0,0,2,1,3,4.546,0
1,0,H4,FERT,60372.0,60171.0,1,DONE,719,87.978,4853,0.9458,0.5739,651,104,94,104,94,23635,19192,0,0,5,158,20,0,0,2,1,3,9.4548,0
1,1,FERT,H4,60171.0,60372.0,0,DONE,719,87.978,4853,0.9765,0.605,669,104,98,104,98,23640,19892,0,0,5,162,28,0,0,3,1,0,6.2471,0
2,0,FERT,H4,41624.0,41769.0,0,DONE,719,85.742,4853,0.9765,0.604,665,104,94,104,94,4484,23163,44,0,5,160,43,0,4,3,1,0,6.1114,0
2,1,H4,FERT,41769.0,41624.0,1,DONE,719,85.742,4853,0.946,0.5741,647,104,90,103,90,4721,22148,35,0,5,157,20,0,0,2,1,3,5.5495,0
2,0,H4,FERT,41769.0,41624.0,1,DONE,719,106.01,4853,0.946,0.5739,647,104,90,103,90,4721,22148,35,0,5,157,34,0,0,2,1,3,10.2971,0
2,1,FERT,H4,41624.0,41769.0,0,DONE,719,106.01,4853,0.9765,0.6042,665,104,94,104,94,4484,23163,44,0,5,160,28,0,0,3,1,0,6.0142,0
3,0,FERT,H4,29541.0,30916.0,0,DONE,719,83.872,4853,0.9753,0.6052,655,104,70,104,70,6160,5591,7,29,5,160,19,0,0,3,1,0,13.367,0
3,1,H4,FERT,30916.0,29541.0,1,DONE,719,83.872,4853,0.9415,0.5741,625,104,70,104,66,5976,5886,11,17,5,161,19,0,0,2,1,8,8.3402,0
3,0,H4,FERT,30916.0,29541.0,1,DONE,719,30.103,4853,0.9415,0.5741,625,104,70,104,66,5976,5886,11,17,5,161,19,0,0,2,1,8,9.7106,0
3,1,FERT,H4,29541.0,30916.0,0,DONE,719,30.103,4853,0.9753,0.6052,655,104,70,104,70,6160,5591,7,29,5,160,19,0,0,3,1,0,5.9451,0
4,0,FERT,H4,52314.0,52613.0,0,DONE,719,29.551,4853,0.9765,0.605,669,104,98,104,98,17421,19767,0,0,5,162,28,0,0,3,1,0,11.0028,0
4,1,H4,FERT,52613.0,52314.0,1,DONE,719,29.551,4853,0.9454,0.5728,651,104,94,104,94,17492,19094,0,0,5,158,20,0,0,2,1,3,8.4755,0
4,0,H4,FERT,52623.0,52314.0,1,DONE,719,30.515,4853,0.9458,0.5739,651,104,94,104,94,17492,19094,0,0,5,158,20,0,0,2,1,3,16.0327,0
4,1,FERT,H4,52314.0,52623.0,0,DONE,719,30.515,4853,0.9765,0.6048,669,104,98,104,98,17421,19767,0,0,5,162,28,0,0,3,1,0,11.3695,0
5,0,FERT,H4,44287.0,46200.0,0,DONE,719,23.517,4853,0.9753,0.6052,655,104,70,104,70,22143,5591,0,29,5,160,19,0,0,3,1,0,17.807,0
5,1,H4,FERT,46200.0,44287.0,1,DONE,719,23.517,4853,0.9415,0.5741,625,104,70,104,70,22164,5890,0,21,5,161,19,0,0,2,1,3,11.8919,0
5,0,H4,FERT,46200.0,44287.0,1,DONE,719,22.695,4853,0.9415,0.5741,625,104,70,104,70,22164,5890,0,21,5,161,19,0,0,2,1,3,13.1451,0
5,1,FERT,H4,44287.0,46200.0,0,DONE,719,22.695,4853,0.9753,0.6052,655,104,70,104,70,22143,5591,0,29,5,160,19,0,0,3,1,0,10.1535,0
6,0,FERT,H4,43545.0,44295.0,0,DONE,719,21.082,4853,0.9771,0.6075,657,104,94,104,94,7164,22523,7,0,6,163,18,0,0,2,0,0,8.1275,0
6,1,H4,FERT,44295.0,43545.0,1,DONE,719,21.082,4853,0.9458,0.5739,651,104,94,104,94,7005,22534,11,0,5,158,20,0,0,2,1,3,7.9019,0
6,0,H4,FERT,43187.0,42973.0,1,DONE,719,16.753,4853,0.9458,0.5739,651,104,94,104,94,6196,22534,3,0,5,158,20,0,0,2,1,3,3.9935,0
6,1,FERT,H4,42973.0,43187.0,0,DONE,719,16.753,4853,0.9767,0.605,669,104,98,104,98,5965,23523,12,0,5,162,28,0,0,3,1,0,3.543,0
7,0,FERT,H4,56414.0,56569.0,0,DONE,719,17.659,4853,0.9765,0.605,669,104,98,104,98,20343,21990,0,0,5,162,28,0,0,3,1,0,11.5914,0
7,1,H4,FERT,56569.0,56414.0,1,DONE,719,17.659,4853,0.9458,0.5739,651,104,94,104,94,20408,21085,0,0,5,158,20,0,0,2,1,3,4.8357,0
7,0,H4,FERT,56569.0,56414.0,1,DONE,719,16.833,4853,0.9458,0.5739,651,104,94,104,94,20408,21085,0,0,5,158,20,0,0,2,1,3,6.4732,0
7,1,FERT,H4,56414.0,56569.0,0,DONE,719,16.833,4853,0.9765,0.605,669,104,98,104,98,20343,21990,0,0,5,162,28,0,0,3,1,0,4.1322,0
