seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,FERT,P1S,60431.0,59225.0,1,DONE,719,19.713,4853,0.9765,0.605,669,104,98,104,98,23641,19769,0,0,5,162,28,0,0,3,1,0,4.5952,0
0,1,P1S,FERT,59225.0,60431.0,0,DONE,719,19.713,4853,0.946,0.5741,647,104,90,103,90,23352,18155,0,0,5,157,20,0,0,2,1,3,4.1604,0
0,0,P1S,FERT,59225.0,60431.0,0,DONE,719,22.298,4853,0.946,0.5741,647,104,90,103,90,23352,18155,0,0,5,157,20,0,0,2,1,3,6.0385,0
0,1,FERT,P1S,60431.0,59225.0,1,DONE,719,22.298,4853,0.9765,0.605,669,104,98,104,98,23641,19769,0,0,5,162,28,0,0,3,1,0,6.5242,0
1,0,FERT,P1S,60189.0,58977.0,1,DONE,719,20.134,4853,0.9765,0.605,669,104,98,104,98,23641,19895,0,0,5,162,28,0,0,3,1,0,8.8673,0
1,1,P1S,FERT,58977.0,60189.0,0,DONE,719,20.134,4853,0.946,0.5741,647,104,90,103,90,23352,18228,0,0,5,157,20,0,0,2,1,3,5.1608,0
1,0,P1S,FERT,58977.0,60189.0,0,DONE,719,19.328,4853,0.946,0.5741,647,104,90,103,90,23352,18228,0,0,5,157,20,0,0,2,1,3,4.9653,0
1,1,FERT,P1S,60189.0,58977.0,1,DONE,719,19.328,4853,0.9765,0.605,669,104,98,104,98,23641,19895,0,0,5,162,28,0,0,3,1,0,5.6947,0
2,0,FERT,P1S,41624.0,41769.0,0,DONE,719,18.879,4853,0.9765,0.604,665,104,94,104,94,4484,23163,44,0,5,160,43,0,4,3,1,0,6.2713,0
2,1,P1S,FERT,41769.0,41624.0,1,DONE,719,18.879,4853,0.946,0.5741,647,104,90,103,90,4721,22148,35,0,5,157,20,0,0,2,1,3,4.367,0
2,0,P1S,FERT,41769.0,41624.0,1,DONE,719,21.824,4853,0.946,0.5739,647,104,90,103,90,4721,22148,35,0,5,157,34,0,0,2,1,3,7.3004,0
2,1,FERT,P1S,41624.0,41769.0,0,DONE,719,21.824,4853,0.9765,0.6042,665,104,94,104,94,4484,23163,44,0,5,160,28,0,0,3,1,0,6.0517,0
3,0,FERT,P1S,29853.0,30320.0,0,DONE,719,18.485,4853,0.9753,0.6052,655,104,70,104,70,6560,5591,7,29,5,160,19,0,0,3,1,0,11.4388,0
3,1,P1S,FERT,30320.0,29853.0,1,DONE,719,18.485,4853,0.9464,0.5757,647,104,90,104,90,6377,5964,11,37,5,156,12,1,0,2,1,3,3.2399,0
3,0,P1S,FERT,30320.0,29853.0,1,DONE,719,19.249,4853,0.9464,0.5757,647,104,90,104,90,6377,5964,11,37,5,156,12,1,0,2,1,3,4.781,0
3,1,FERT,P1S,29853.0,30320.0,0,DONE,719,19.249,4853,0.9753,0.6052,655,104,70,104,70,6560,5591,7,29,5,160,19,0,0,3,1,0,5.0338,0
4,0,FERT,P1S,52319.0,51455.0,1,DONE,719,22.105,4853,0.9765,0.605,669,104,98,104,98,17430,19769,0,0,5,162,28,0,0,3,1,0,9.9664,0
4,1,P1S,FERT,51455.0,52319.0,0,DONE,719,22.105,4853,0.9456,0.573,647,104,90,103,90,17386,18155,0,0,5,157,20,0,0,2,1,3,4.1648,0
4,0,P1S,FERT,51465.0,52319.0,0,DONE,719,20.938,4853,0.946,0.5741,647,104,90,103,90,17386,18155,0,0,5,157,20,0,0,2,1,3,10.6816,0
4,1,FERT,P1S,52319.0,51465.0,1,DONE,719,20.938,4853,0.9765,0.6048,669,104,98,104,98,17430,19769,0,0,5,162,28,0,0,3,1,0,4.4379,0
5,0,FERT,P1S,44321.0,45405.0,0,DONE,719,21.467,4853,0.9753,0.6052,655,104,70,104,70,22185,5591,0,29,5,160,19,0,0,3,1,0,10.7075,0
5,1,P1S,FERT,45405.0,44321.0,1,DONE,719,21.467,4853,0.9464,0.5757,647,104,90,104,90,22195,5964,0,37,5,156,12,1,0,2,1,3,4.216,0
5,0,P1S,FERT,45405.0,44321.0,1,DONE,719,20.111,4853,0.9464,0.5757,647,104,90,104,90,22195,5964,0,37,5,156,12,1,0,2,1,3,8.3636,0
5,1,FERT,P1S,44321.0,45405.0,0,DONE,719,20.111,4853,0.9753,0.6052,655,104,70,104,70,22185,5591,0,29,5,160,19,0,0,3,1,0,4.8114,0
6,0,FERT,P1S,43559.0,43096.0,1,DONE,719,21.096,4853,0.9771,0.6075,657,104,94,104,94,7172,22523,7,0,6,163,18,0,0,2,0,0,11.66,0
6,1,P1S,FERT,43096.0,43559.0,0,DONE,719,21.096,4853,0.946,0.5741,647,104,90,103,90,6931,21534,11,0,5,157,20,0,0,2,1,3,4.2312,0
6,0,P1S,FERT,42039.0,42985.0,0,DONE,719,21.307,4853,0.946,0.5741,647,104,90,103,90,6170,21534,3,0,5,157,20,0,0,2,1,3,7.7626,0
6,1,FERT,P1S,42985.0,42039.0,1,DONE,719,21.307,4853,0.9767,0.605,669,104,98,104,98,5973,23523,12,0,5,162,28,0,0,3,1,0,4.5593,0
7,0,FERT,P1S,56408.0,55296.0,1,DONE,719,13.508,4853,0.9765,0.605,669,104,98,104,98,20346,21990,0,0,5,162,28,0,0,3,1,0,5.8099,0
7,1,P1S,FERT,55296.0,56408.0,0,DONE,719,13.508,4853,0.946,0.5741,647,104,90,103,90,20197,20129,0,0,5,157,20,0,0,2,1,3,3.0327,0
7,0,P1S,FERT,55296.0,56408.0,0,DONE,719,12.312,4853,0.946,0.5741,647,104,90,103,90,20197,20129,0,0,5,157,20,0,0,2,1,3,3.2291,0
7,1,FERT,P1S,56408.0,55296.0,1,DONE,719,12.312,4853,0.9765,0.605,669,104,98,104,98,20346,21990,0,0,5,162,28,0,0,3,1,0,2.6844,0
