seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,R0,P1S,41313.0,60932.0,0,DONE,719,27.069,3749,0.937,0.5724,425,85,53,85,53,20942,12435,0,0,5,112,23,0,0,12,5,0,10.7007,0
0,1,P1S,R0,60932.0,41313.0,1,DONE,719,27.069,4853,0.946,0.5741,647,104,90,103,90,24826,20013,0,0,5,157,20,0,0,2,1,3,7.365,0
0,0,P1S,R0,57557.0,46406.0,1,DONE,719,25.687,4853,0.946,0.5741,647,104,90,103,90,21155,19896,0,0,5,157,20,0,0,2,1,3,8.1191,0
0,1,R0,P1S,46406.0,57557.0,0,DONE,719,25.687,4301,0.9451,0.5838,547,94,66,94,66,19261,15241,0,0,6,130,28,0,0,1,4,0,7.0956,0
1,0,R0,P1S,41646.0,64215.0,0,DONE,719,23.557,3749,0.937,0.5759,407,80,57,80,55,20009,12927,0,0,6,112,9,0,0,12,5,6,9.9404,0
1,1,P1S,R0,64215.0,41646.0,1,DONE,719,23.557,4853,0.946,0.5741,647,104,90,103,90,24576,19430,0,0,5,157,20,0,0,2,1,3,8.5307,0
1,0,P1S,R0,64215.0,41646.0,1,DONE,719,27.273,4853,0.946,0.5741,647,104,90,103,90,24576,19430,0,0,5,157,20,0,0,2,1,3,11.901,0
1,1,R0,P1S,41646.0,64215.0,0,DONE,719,27.273,3749,0.937,0.5759,407,80,57,80,55,20009,12927,0,0,6,112,9,0,0,12,5,6,7.958,0
2,0,R0,P1S,29341.0,50669.0,0,DONE,719,25.532,3611,0.9302,0.576,381,80,54,80,54,7633,12931,0,0,4,110,5,0,0,14,7,0,7.6186,0
2,1,P1S,R0,50669.0,29341.0,1,DONE,719,25.532,4853,0.946,0.5741,647,104,90,103,90,10683,20848,0,0,5,157,20,0,0,2,1,3,6.3581,0
2,0,P1S,R0,50665.0,29447.0,1,DONE,719,23.53,4853,0.946,0.5739,647,104,90,103,90,10683,20848,0,0,5,157,34,0,0,2,1,3,7.4579,0
2,1,R0,P1S,29447.0,50665.0,0,DONE,719,23.53,3611,0.9283,0.5744,381,80,54,80,54,7633,12931,0,0,4,110,8,0,0,14,7,0,7.7661,0
3,0,R0,P1S,42623.0,63406.0,0,DONE,719,28.478,3749,0.9389,0.5743,425,85,53,85,53,20491,12811,0,0,5,112,23,0,0,11,5,0,10.8466,0
3,1,P1S,R0,63406.0,42623.0,1,DONE,719,28.478,4853,0.946,0.5741,647,104,90,103,90,24397,21412,0,0,5,157,20,0,0,2,1,3,7.9686,0
3,0,P1S,R0,63406.0,42623.0,1,DONE,719,22.216,4853,0.946,0.5741,647,104,90,103,90,24397,21412,0,0,5,157,20,0,0,2,1,3,7.5657,0
