seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,R280,H4,49495.0,61432.0,0,DONE,719,48.226,4439,0.9385,0.5792,571,94,64,94,64,23278,14686,0,0,5,133,40,0,0,1,5,0,31.2082,0
0,1,H4,R280,61432.0,49495.0,1,DONE,719,48.226,4853,0.9458,0.5739,651,104,94,104,94,25305,20799,0,0,5,158,20,0,0,2,1,3,29.793,0
0,0,H4,R280,59545.0,48238.0,1,DONE,719,49.691,4853,0.9458,0.5739,651,104,94,104,94,22218,22206,0,0,5,158,20,0,0,2,1,3,26.24,0
0,1,R280,H4,48238.0,59545.0,0,DONE,719,49.691,4439,0.925,0.5679,572,94,69,94,69,20189,16845,0,0,5,134,7,0,0,1,5,0,26.3888,0
1,0,R280,H4,52107.0,62966.0,0,DONE,719,45.401,4439,0.9367,0.5763,568,95,69,95,69,22078,16207,0,0,6,133,9,0,0,1,4,0,28.457,0
1,1,H4,R280,62966.0,52107.0,1,DONE,719,45.401,4853,0.9458,0.5739,651,104,94,104,94,23619,21126,0,0,5,158,20,0,0,2,1,3,25.7227,0
1,0,H4,R280,62966.0,52107.0,1,DONE,719,45.4,4853,0.9458,0.5739,651,104,94,104,94,23619,21126,0,0,5,158,20,0,0,2,1,3,27.3367,0
1,1,R280,H4,52107.0,62966.0,0,DONE,719,45.4,4439,0.9367,0.5763,568,95,69,95,69,22078,16207,0,0,6,133,9,0,0,1,4,0,20.2333,0
2,0,R280,H4,32813.0,43045.0,0,DONE,719,48.868,4439,0.9371,0.5767,568,95,69,93,65,3911,15409,39,0,6,133,9,0,0,1,4,7,25.9372,0
2,1,H4,R280,43045.0,32813.0,1,DONE,719,48.868,4853,0.946,0.5741,647,104,90,103,90,4981,20317,49,0,5,157,20,0,0,2,1,3,20.9566,0
2,0,H4,R280,43035.0,32822.0,1,DONE,719,51.116,4853,0.946,0.5739,647,104,90,103,90,4981,20317,49,0,5,157,34,0,0,2,1,3,35.2325,0
2,1,R280,H4,32822.0,43035.0,0,DONE,719,51.116,4439,0.9371,0.5767,568,95,69,93,65,3911,15409,39,0,6,133,9,0,0,1,4,7,33.9765,0
3,0,R280,H4,48679.0,60703.0,0,DONE,719,45.019,4439,0.9417,0.5832,572,94,68,94,68,20843,16438,0,0,5,132,36,0,0,0,5,0,19.9234,0
3,1,H4,R280,60703.0,48679.0,1,DONE,719,45.019,4853,0.9458,0.5739,651,104,94,104,94,22836,22413,0,0,5,158,20,0,0,2,1,3,30.0909,0
3,0,H4,R280,60703.0,48679.0,1,DONE,719,53.9,4853,0.9458,0.5739,651,104,94,104,94,22836,22413,0,0,5,158,20,0,0,2,1,3,19.04,0
3,1,R280,H4,48679.0,60703.0,0,DONE,719,53.9,4439,0.9417,0.5832,572,94,68,94,68,20843,16438,0,0,5,132,36,0,0,0,5,0,47.0963,0
4,0,R280,H4,51740.0,62135.0,0,DONE,719,51.84,4439,0.9367,0.5763,568,95,69,95,69,21924,15873,0,0,6,133,9,0,0,1,4,0,33.4036,0
4,1,H4,R280,62135.0,51740.0,1,DONE,719,51.84,4853,0.9448,0.5739,649,104,90,104,90,23686,19846,0,0,5,159,22,0,0,2,1,3,26.6863,0
4,0,H4,R280,63037.0,53478.0,1,DONE,719,48.425,4853,0.9458,0.5739,651,104,94,104,94,23691,20803,0,0,5,158,20,0,0,2,1,3,30.8295,0
4,1,R280,H4,53478.0,63037.0,0,DONE,719,48.425,4439,0.9329,0.5706,569,98,68,98,68,22672,15640,0,0,6,134,26,0,0,3,4,0,42.8893,0
5,0,R280,H4,37053.0,47023.0,0,DONE,719,49.972,4439,0.9441,0.5846,560,96,55,96,55,20483,3290,0,17,4,133,34,0,6,2,6,0,20.3281,0
5,1,H4,R280,47023.0,37053.0,1,DONE,719,49.972,4853,0.9446,0.5751,636,103,80,103,80,21511,8876,0,17,5,157,16,0,0,2,1,3,17.5227,0
5,0,H4,R280,47023.0,37053.0,1,DONE,719,44.922,4853,0.9446,0.5751,636,103,80,103,80,21511,8876,0,17,5,157,16,0,0,2,1,3,15.7038,0
5,1,R280,H4,37053.0,47023.0,0,DONE,719,44.922,4439,0.9441,0.5846,560,96,55,96,55,20483,3290,0,17,4,133,34,0,6,2,6,0,19.7691,0
6,0,R280,H4,49780.0,61083.0,0,DONE,719,43.727,4439,0.9367,0.5763,568,95,69,95,69,21411,15869,0,0,6,133,9,0,0,1,4,0,14.6529,0
6,1,H4,R280,61083.0,49780.0,1,DONE,719,43.727,4853,0.9458,0.5739,651,104,94,104,94,22948,20798,0,0,5,158,20,0,0,2,1,3,13.8519,0
6,0,H4,R280,61083.0,49780.0,1,DONE,719,24.098,4853,0.9458,0.5739,651,104,94,104,94,22948,20798,0,0,5,158,20,0,0,2,1,3,13.5733,0
6,1,R280,H4,49780.0,61083.0,0,DONE,719,24.098,4439,0.9367,0.5763,568,95,69,95,69,21411,15869,0,0,6,133,9,0,0,1,4,0,7.8672,0
7,0,R280,H4,30983.0,41890.0,0,DONE,719,17.896,4439,0.9371,0.5767,568,95,69,93,65,3911,13053,39,0,6,133,9,0,0,1,4,7,8.5628,0
7,1,H4,R280,41890.0,30983.0,1,DONE,719,17.896,4853,0.946,0.5741,647,104,90,103,90,4981,18342,49,0,5,157,20,0,0,2,1,3,3.5867,0
7,0,H4,R280,41890.0,30983.0,1,DONE,719,17.787,4853,0.946,0.5741,647,104,90,103,90,4981,18342,49,0,5,157,20,0,0,2,1,3,4.6431,0
7,1,R280,H4,30983.0,41890.0,0,DONE,719,17.787,4439,0.9371,0.5767,568,95,69,93,65,3911,13053,39,0,6,133,9,0,0,1,4,7,6.6146,0
