seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,PICK1,H4,43225.0,43987.0,0,DONE,719,25.589,4853,0.9602,0.6167,619,103,94,103,94,9566,18826,0,0,5,155,7,0,0,1,1,0,15.826,0
0,1,H4,PICK1,43987.0,43225.0,1,DONE,719,25.589,4853,0.9458,0.5739,651,104,94,104,94,9524,19103,0,0,5,158,20,0,0,2,1,3,13.6811,0
0,0,H4,PICK1,43987.0,43225.0,1,DONE,719,24.204,4853,0.9458,0.5739,651,104,94,104,94,9524,19103,0,0,5,158,20,0,0,2,1,3,21.9054,0
0,1,PICK1,H4,43225.0,43987.0,0,DONE,719,24.204,4853,0.9602,0.6167,619,103,94,103,94,9566,18826,0,0,5,155,7,0,0,1,1,0,12.9141,0
1,0,PICK1,H4,55662.0,56774.0,0,DONE,719,23.911,4853,0.9602,0.6167,619,103,94,103,94,21850,19394,0,0,5,155,7,0,0,1,1,0,16.7018,0
1,1,H4,PICK1,56774.0,55662.0,1,DONE,719,23.911,4853,0.9458,0.5739,651,104,94,104,94,22214,19648,0,0,5,158,20,0,0,2,1,3,14.7098,0
1,0,H4,PICK1,56774.0,55662.0,1,DONE,719,25.883,4853,0.9458,0.5739,651,104,94,104,94,22214,19648,0,0,5,158,20,0,0,2,1,3,16.2017,0
1,1,PICK1,H4,55662.0,56774.0,0,DONE,719,25.883,4853,0.9602,0.6167,619,103,94,103,94,21850,19394,0,0,5,155,7,0,0,1,1,0,15.9295,0
2,0,PICK1,H4,58359.0,59065.0,0,DONE,719,25.6,4853,0.9602,0.6167,619,103,94,103,94,21470,22852,0,0,5,155,7,0,0,1,1,0,13.7621,0
2,1,H4,PICK1,59065.0,58359.0,1,DONE,719,25.6,4853,0.946,0.5757,647,104,94,104,94,21808,22861,0,0,5,156,10,0,0,2,1,3,16.8004,0
