seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,PICK1,P1S,43242.0,42894.0,1,DONE,719,28.039,4853,0.9602,0.6167,619,103,94,103,94,9574,18826,0,0,5,155,7,0,0,1,1,0,16.9022,0
0,1,P1S,PICK1,42894.0,43242.0,0,DONE,719,28.039,4853,0.946,0.5741,647,104,90,103,90,9496,18167,0,0,5,157,20,0,0,2,1,3,15.83,0
0,0,P1S,PICK1,42894.0,43242.0,0,DONE,719,27.009,4853,0.946,0.5741,647,104,90,103,90,9496,18167,0,0,5,157,20,0,0,2,1,3,19.112,0
0,1,PICK1,P1S,43242.0,42894.0,1,DONE,719,27.009,4853,0.9602,0.6167,619,103,94,103,94,9574,18826,0,0,5,155,7,0,0,1,1,0,18.9056,0
1,0,PICK1,P1S,55664.0,55418.0,1,DONE,719,26.435,4853,0.9602,0.6167,619,103,94,103,94,21851,19394,0,0,5,155,7,0,0,1,1,0,13.1407,0
1,1,P1S,PICK1,55418.0,55664.0,0,DONE,719,26.435,4853,0.946,0.5741,647,104,90,103,90,21965,18660,0,0,5,157,20,0,0,2,1,3,28.2583,0
1,0,P1S,PICK1,55418.0,55664.0,0,DONE,719,23.542,4853,0.946,0.5741,647,104,90,103,90,21965,18660,0,0,5,157,20,0,0,2,1,3,15.0526,0
1,1,PICK1,P1S,55664.0,55418.0,1,DONE,719,23.542,4853,0.9602,0.6167,619,103,94,103,94,21851,19394,0,0,5,155,7,0,0,1,1,0,19.7868,0
2,0,PICK1,P1S,58363.0,57548.0,1,DONE,719,26.979,4853,0.9602,0.6167,619,103,94,103,94,21472,22852,0,0,5,155,7,0,0,1,1,0,20.8467,0
2,1,P1S,PICK1,57548.0,58363.0,0,DONE,719,26.979,4853,0.946,0.5759,641,102,90,102,90,21333,21857,0,0,5,155,10,0,0,2,1,3,10.4228,0
2,0,P1S,PICK1,57949.0,58373.0,0,DONE,719,30.005,4853,0.946,0.5739,647,104,90,103,90,21577,21857,0,0,5,157,34,0,0,2,1,3,22.8226,0
2,1,PICK1,P1S,58373.0,57949.0,1,DONE,719,30.005,4853,0.9602,0.6167,619,103,94,103,94,21472,22852,0,0,5,155,7,0,0,1,1,0,14.1804,0
