seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,CARRY,H4,29027.0,58429.0,0,DONE,719,30.379,4853,0.9794,0.6829,481,49,59,49,59,9248,12656,0,0,3,88,22,0,0,3,15,0,15.1653,0
0,1,H4,CARRY,58429.0,29027.0,1,DONE,719,30.379,4853,0.9458,0.5739,651,104,94,104,94,19813,20213,0,0,5,158,20,0,0,2,1,3,11.8619,0
0,0,H4,CARRY,58429.0,29027.0,1,DONE,719,30.911,4853,0.9458,0.5739,651,104,94,104,94,19813,20213,0,0,5,158,20,0,0,2,1,3,15.9368,0
0,1,CARRY,H4,29027.0,58429.0,0,DONE,719,30.911,4853,0.9794,0.6829,481,49,59,49,59,9248,12656,0,0,3,88,22,0,0,3,15,0,17.932,0
1,0,CARRY,H4,29034.0,58461.0,0,DONE,719,35.999,4853,0.9794,0.6829,481,49,59,49,59,9248,12894,0,0,3,88,22,0,0,3,15,0,20.4649,0
1,1,H4,CARRY,58461.0,29034.0,1,DONE,719,35.999,4853,0.9458,0.5739,651,104,94,104,94,19813,20591,0,0,5,158,20,0,0,2,1,3,24.9089,0
1,0,H4,CARRY,58461.0,29034.0,1,DONE,719,32.48,4853,0.9458,0.5739,651,104,94,104,94,19813,20591,0,0,5,158,20,0,0,2,1,3,14.0012,0
1,1,CARRY,H4,29034.0,58461.0,0,DONE,719,32.48,4853,0.9794,0.6829,481,49,59,49,59,9248,12894,0,0,3,88,22,0,0,3,15,0,22.9977,0
2,0,CARRY,H4,30271.0,60665.0,0,DONE,719,33.958,4853,0.9794,0.6829,481,49,59,49,59,10137,12656,0,0,3,88,22,0,0,3,15,0,23.4631,0
2,1,H4,CARRY,60665.0,30271.0,1,DONE,719,33.958,4853,0.9458,0.5739,651,104,94,104,94,21633,20213,0,0,5,158,20,0,0,2,1,3,16.963,0
2,0,H4,CARRY,60656.0,30280.0,1,DONE,719,28.866,4853,0.9458,0.5739,651,104,94,104,94,21633,20213,0,0,5,158,30,0,0,2,1,3,15.0625,0
2,1,CARRY,H4,30280.0,60656.0,0,DONE,719,28.866,4853,0.9794,0.6829,481,49,59,49,59,10137,12656,0,0,3,88,22,0,0,3,15,0,14.7731,0
3,0,CARRY,H4,20597.0,44980.0,0,DONE,719,27.429,4853,0.9602,0.6649,483,51,33,51,33,6228,5200,0,0,2,86,19,0,0,3,15,0,15.3333,0
3,1,H4,CARRY,44980.0,20597.0,1,DONE,719,27.429,4853,0.9448,0.5745,648,104,94,104,90,12951,12644,0,0,5,159,23,0,0,2,1,3,10.7636,0
3,0,H4,CARRY,44980.0,20597.0,1,DONE,719,37.365,4853,0.9448,0.5745,648,104,94,104,90,12951,12644,0,0,5,159,23,0,0,2,1,3,32.4222,0
3,1,CARRY,H4,20597.0,44980.0,0,DONE,719,37.365,4853,0.9602,0.6649,483,51,33,51,33,6228,5200,0,0,2,86,19,0,0,3,15,0,20.2735,0
4,0,CARRY,H4,30972.0,62152.0,0,DONE,719,35.817,4853,0.9794,0.6829,481,49,59,49,59,10878,12656,0,0,3,88,22,0,0,3,15,0,23.9527,0
4,1,H4,CARRY,62152.0,30972.0,1,DONE,719,35.817,4853,0.9456,0.5735,651,104,94,104,94,23182,20213,0,0,5,158,20,0,0,2,1,3,15.465,0
4,0,H4,CARRY,62238.0,30159.0,1,DONE,719,32.354,4853,0.9458,0.5739,651,104,94,104,94,23225,20247,0,0,5,158,20,0,0,2,1,3,18.5163,0
4,1,CARRY,H4,30159.0,62238.0,0,DONE,719,32.354,4853,0.9773,0.6808,492,46,58,46,58,10201,12458,0,0,3,85,14,0,0,4,15,0,25.3842,0
5,0,CARRY,H4,31353.0,47686.0,0,DONE,719,30.87,4853,0.9205,0.6182,526,72,28,72,28,17445,4185,0,0,3,92,8,0,0,3,11,0,27.2589,0
5,1,H4,CARRY,47686.0,31353.0,1,DONE,719,30.87,4853,0.9446,0.5751,638,103,82,103,82,23237,7394,0,22,5,157,16,0,0,2,1,3,16.9745,0
5,0,H4,CARRY,47686.0,31353.0,1,DONE,719,26.792,4853,0.9446,0.5751,638,103,82,103,82,23237,7394,0,22,5,157,16,0,0,2,1,3,16.025,0
5,1,CARRY,H4,31353.0,47686.0,0,DONE,719,26.792,4853,0.9205,0.6182,526,72,28,72,28,17445,4185,0,0,3,92,8,0,0,3,11,0,19.1437,0
6,0,CARRY,H4,31913.0,64476.0,0,DONE,719,35.673,4853,0.9794,0.6831,477,49,59,49,59,11977,14217,0,0,3,92,22,0,0,3,15,0,32.4488,0
6,1,H4,CARRY,64476.0,31913.0,1,DONE,719,35.673,4853,0.9458,0.5739,651,104,94,104,94,25642,22621,0,0,5,158,20,0,0,2,1,3,20.8922,0
6,0,H4,CARRY,65189.0,32096.0,1,DONE,719,32.795,4853,0.9458,0.5739,651,104,94,104,94,26349,22621,0,0,5,158,20,0,0,2,1,3,17.8019,0
6,1,CARRY,H4,32096.0,65189.0,0,DONE,719,32.795,4853,0.9792,0.6823,473,49,59,49,59,12294,14217,0,0,3,91,22,0,0,5,15,0,29.7708,0
7,0,CARRY,H4,26568.0,41486.0,0,DONE,719,20.101,4853,0.9209,0.6186,526,72,28,72,28,13213,4185,0,0,3,92,8,0,0,3,11,0,9.6826,0
7,1,H4,CARRY,41486.0,26568.0,1,DONE,719,20.101,4853,0.9446,0.5751,638,103,82,103,82,17620,7394,0,22,5,157,16,0,0,2,1,3,9.0571,0
7,0,H4,CARRY,41486.0,26568.0,1,DONE,719,19.756,4853,0.9446,0.5751,638,103,82,103,82,17620,7394,0,22,5,157,16,0,0,2,1,3,11.2116,0
7,1,CARRY,H4,26568.0,41486.0,0,DONE,719,19.756,4853,0.9209,0.6186,526,72,28,72,28,13213,4185,0,0,3,92,8,0,0,3,11,0,8.7933,0
