seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,CARRY,P1S,29034.0,57113.0,0,DONE,719,40.885,4853,0.9794,0.6829,481,49,59,49,59,9249,12656,0,0,3,88,22,0,0,3,15,0,34.9038,0
0,1,P1S,CARRY,57113.0,29034.0,1,DONE,719,40.885,4853,0.946,0.5741,647,104,90,103,90,19627,19261,0,0,5,157,20,0,0,2,1,3,36.2078,0
0,0,P1S,CARRY,57113.0,29034.0,1,DONE,719,44.979,4853,0.946,0.5741,647,104,90,103,90,19627,19261,0,0,5,157,20,0,0,2,1,3,36.7614,0
0,1,CARRY,P1S,29034.0,57113.0,0,DONE,719,44.979,4853,0.9794,0.6829,481,49,59,49,59,9249,12656,0,0,3,88,22,0,0,3,15,0,29.661,0
1,0,CARRY,P1S,29046.0,57107.0,0,DONE,719,39.672,4853,0.9794,0.6829,481,49,59,49,59,9249,12894,0,0,3,88,22,0,0,3,15,0,32.2169,0
1,1,P1S,CARRY,57107.0,29046.0,1,DONE,719,39.672,4853,0.946,0.5741,647,104,90,103,90,19627,19595,0,0,5,157,20,0,0,2,1,3,26.5788,0
1,0,P1S,CARRY,57107.0,29046.0,1,DONE,719,43.732,4853,0.946,0.5741,647,104,90,103,90,19627,19595,0,0,5,157,20,0,0,2,1,3,23.1501,0
1,1,CARRY,P1S,29046.0,57107.0,0,DONE,719,43.732,4853,0.9794,0.6829,481,49,59,49,59,9249,12894,0,0,3,88,22,0,0,3,15,0,35.3509,0
2,0,CARRY,P1S,30278.0,59320.0,0,DONE,719,39.218,4853,0.9794,0.6829,481,49,59,49,59,10138,12656,0,0,3,88,22,0,0,3,15,0,33.7669,0
2,1,P1S,CARRY,59320.0,30278.0,1,DONE,719,39.218,4853,0.946,0.5741,647,104,90,103,90,21429,19261,0,0,5,157,20,0,0,2,1,3,20.927,0
2,0,P1S,CARRY,59306.0,30291.0,1,DONE,719,35.999,4853,0.946,0.5739,647,104,90,103,90,21429,19261,0,0,5,157,34,0,0,2,1,3,29.9506,0
2,1,CARRY,P1S,30291.0,59306.0,0,DONE,719,35.999,4853,0.9794,0.6829,481,49,59,49,59,10138,12656,0,0,3,88,22,0,0,3,15,0,28.5985,0
3,0,CARRY,P1S,20556.0,43350.0,0,DONE,719,35.769,4853,0.9569,0.6625,496,46,34,46,34,5530,5529,0,0,2,81,18,0,0,3,15,0,19.0489,0
3,1,P1S,CARRY,43350.0,20556.0,1,DONE,719,35.769,4853,0.946,0.5741,647,104,90,103,90,12895,11561,0,7,5,157,20,0,0,2,1,3,21.4595,0
3,0,P1S,CARRY,43350.0,20556.0,1,DONE,719,34.7,4853,0.946,0.5741,647,104,90,103,90,12895,11561,0,7,5,157,20,0,0,2,1,3,29.4849,0
3,1,CARRY,P1S,20556.0,43350.0,0,DONE,719,34.7,4853,0.9569,0.6625,496,46,34,46,34,5530,5529,0,0,2,81,18,0,0,3,15,0,31.7031,0
