seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,BUF4,H4,44308.0,62337.0,0,DONE,719,35.84,3611,0.9352,0.5774,442,97,74,91,70,18614,15372,0,0,6,115,45,0,0,5,0,43,17.841,0
0,1,H4,BUF4,62337.0,44308.0,1,DONE,719,35.84,4853,0.9458,0.5739,651,104,94,104,94,21173,20425,0,0,5,158,20,0,0,2,1,3,16.4902,0
0,0,H4,BUF4,62237.0,47447.0,1,DONE,719,35.746,4853,0.9458,0.5739,651,104,94,104,94,21163,20421,0,0,5,158,20,0,0,2,1,3,29.3205,0
0,1,BUF4,H4,47447.0,62237.0,0,DONE,719,35.746,3611,0.9457,0.5852,467,97,78,94,74,19220,16320,0,0,5,117,40,0,0,6,1,32,19.6998,0
1,0,BUF4,H4,45740.0,57420.0,0,DONE,719,35.3,3611,0.943,0.5724,479,101,72,98,70,25943,6541,0,8,6,121,45,0,0,6,0,19,17.2992,0
1,1,H4,BUF4,57420.0,45740.0,1,DONE,719,35.3,4853,0.944,0.5724,645,104,88,104,88,26768,9915,0,8,5,158,20,0,0,2,1,3,16.2751,0
1,0,H4,BUF4,57420.0,45740.0,1,DONE,719,39.255,4853,0.944,0.5724,645,104,88,104,88,26768,9915,0,8,5,158,20,0,0,2,1,3,18.6047,0
1,1,BUF4,H4,45740.0,57420.0,0,DONE,719,39.255,3611,0.943,0.5724,479,101,72,98,70,25943,6541,0,8,6,121,45,0,0,6,0,19,17.1526,0
2,0,BUF4,H4,49108.0,63008.0,0,DONE,719,39.371,3611,0.943,0.5802,470,97,78,94,78,19948,17243,0,0,5,117,41,0,0,5,1,26,33.6881,0
2,1,H4,BUF4,63008.0,49108.0,1,DONE,719,39.371,4853,0.9458,0.5739,651,104,94,104,94,21928,20414,0,0,5,158,20,0,0,2,1,3,30.2772,0
2,0,H4,BUF4,63004.0,49113.0,1,DONE,719,37.098,4853,0.9458,0.5739,651,104,94,104,94,21928,20414,0,0,5,158,30,0,0,2,1,3,16.5087,0
2,1,BUF4,H4,49113.0,63004.0,0,DONE,719,37.098,3611,0.943,0.5802,470,97,78,94,78,19948,17243,0,0,5,117,41,0,0,5,1,26,18.7145,0
3,0,BUF4,H4,28015.0,41468.0,0,DONE,719,33.049,3611,0.9418,0.5741,464,98,74,95,74,7970,8145,0,0,6,120,39,0,0,4,0,27,21.0314,0
3,1,H4,BUF4,41468.0,28015.0,1,DONE,719,33.049,4853,0.9448,0.573,645,104,88,104,88,9158,11497,0,0,5,158,20,0,0,2,1,3,19.9168,0
3,0,H4,BUF4,41468.0,28015.0,1,DONE,719,40.837,4853,0.9448,0.573,645,104,88,104,88,9158,11497,0,0,5,158,20,0,0,2,1,3,21.5541,0
3,1,BUF4,H4,28015.0,41468.0,0,DONE,719,40.837,3611,0.9418,0.5741,464,98,74,95,74,7970,8145,0,0,6,120,39,0,0,4,0,27,29.9178,0
4,0,BUF4,H4,49008.0,63502.0,0,DONE,719,39.402,3611,0.9405,0.5782,468,97,74,94,74,20489,16282,0,0,6,117,44,0,0,5,0,19,45.9831,0
4,1,H4,BUF4,63502.0,49008.0,1,DONE,719,39.402,4853,0.9456,0.5735,651,104,94,104,94,22414,20385,0,0,5,158,20,0,0,2,1,3,17.7192,0
4,0,H4,BUF4,63513.0,48923.0,1,DONE,719,37.277,4853,0.9458,0.5739,651,104,94,104,94,22414,20385,0,0,5,158,20,0,0,2,1,3,16.2298,0
4,1,BUF4,H4,48923.0,63513.0,0,DONE,719,37.277,3611,0.9405,0.5807,464,97,74,93,74,20245,16282,0,0,5,117,40,0,0,5,1,16,32.7339,0
5,0,BUF4,H4,50591.0,64233.0,0,DONE,719,29.446,3611,0.943,0.5807,471,97,78,94,78,23724,15572,0,0,5,117,40,0,0,5,1,19,11.1672,0
5,1,H4,BUF4,64233.0,50591.0,1,DONE,719,29.446,4853,0.9458,0.5739,651,104,94,104,94,25869,18680,0,0,5,158,20,0,0,2,1,3,11.559,0
5,0,H4,BUF4,64233.0,50591.0,1,DONE,719,28.251,4853,0.9458,0.5739,651,104,94,104,94,25869,18680,0,0,5,158,20,0,0,2,1,3,15.7851,0
5,1,BUF4,H4,50591.0,64233.0,0,DONE,719,28.251,3611,0.943,0.5807,471,97,78,94,78,23724,15572,0,0,5,117,40,0,0,5,1,19,11.5644,0
6,0,BUF4,H4,54667.0,68813.0,0,DONE,719,26.61,3611,0.943,0.5802,470,97,78,94,78,24786,17886,0,0,5,117,41,0,0,5,1,26,12.955,0
6,1,H4,BUF4,68813.0,54667.0,1,DONE,719,26.61,4853,0.9458,0.5739,651,104,94,104,94,27041,21016,0,0,5,158,20,0,0,2,1,3,13.8696,0
6,0,H4,BUF4,68813.0,54667.0,1,DONE,719,23.975,4853,0.9458,0.5739,651,104,94,104,94,27041,21016,0,0,5,158,20,0,0,2,1,3,9.7588,0
6,1,BUF4,H4,54667.0,68813.0,0,DONE,719,23.975,3611,0.943,0.5802,470,97,78,94,78,24786,17886,0,0,5,117,41,0,0,5,1,26,8.3346,0
7,0,BUF4,H4,23206.0,36445.0,0,DONE,719,24.775,3611,0.9438,0.5846,447,97,54,94,54,7832,4107,0,15,5,115,46,0,0,5,1,23,11.9697,0
7,1,H4,BUF4,36445.0,23206.0,1,DONE,719,24.775,4853,0.9446,0.5751,638,103,82,103,82,9052,7558,0,31,5,157,16,0,0,2,1,3,10.5333,0
7,0,H4,BUF4,36445.0,23206.0,1,DONE,719,24.75,4853,0.9446,0.5751,638,103,82,103,82,9052,7558,0,31,5,157,16,0,0,2,1,3,11.5365,0
