seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,BUF6,P1S,35377.0,49459.0,0,DONE,719,46.079,3749,0.9467,0.589,486,102,74,96,66,8545,15891,0,0,6,132,42,0,0,2,1,53,29.5335,0
0,1,P1S,BUF6,49459.0,35377.0,1,DONE,719,46.079,4853,0.9452,0.5737,647,104,90,103,90,8965,21106,0,0,5,157,20,0,0,2,1,3,35.4001,0
0,0,P1S,BUF6,46493.0,32090.0,1,DONE,719,37.884,4853,0.9452,0.5737,647,104,90,103,90,5551,21111,16,0,5,157,20,0,0,2,1,3,27.0124,0
0,1,BUF6,P1S,32090.0,46493.0,0,DONE,719,37.884,3749,0.9427,0.5863,486,98,74,92,66,4543,15899,4,0,6,128,53,0,0,4,1,56,18.487,0
1,0,BUF6,P1S,48328.0,63252.0,0,DONE,719,43.687,3749,0.9408,0.5844,486,98,74,92,66,21497,14931,0,0,6,129,53,0,0,4,1,53,30.6611,0
1,1,P1S,BUF6,63252.0,48328.0,1,DONE,719,43.687,4853,0.9452,0.5737,647,104,90,103,90,23808,19625,0,0,5,157,20,0,0,2,1,3,28.4733,0
1,0,P1S,BUF6,63252.0,48328.0,1,DONE,719,40.405,4853,0.9452,0.5737,647,104,90,103,90,23808,19625,0,0,5,157,20,0,0,2,1,3,19.4501,0
1,1,BUF6,P1S,48328.0,63252.0,0,DONE,719,40.405,3749,0.9408,0.5844,486,98,74,92,66,21497,14931,0,0,6,129,53,0,0,4,1,53,19.7276,0
2,0,BUF6,P1S,46916.0,62419.0,0,DONE,719,37.476,3749,0.9427,0.5903,477,98,74,92,66,20369,14861,0,0,6,129,36,0,0,5,1,50,27.047,0
2,1,P1S,BUF6,62419.0,46916.0,1,DONE,719,37.476,4853,0.9452,0.5737,647,104,90,103,90,22585,19572,0,0,5,157,20,0,0,2,1,3,31.2917,0
2,0,P1S,BUF6,62412.0,47140.0,1,DONE,719,41.734,4853,0.9452,0.5735,647,104,90,103,90,22585,19572,0,0,5,157,34,0,0,2,1,3,28.971,0
2,1,BUF6,P1S,47140.0,62412.0,0,DONE,719,41.734,3749,0.9411,0.5887,477,98,74,92,66,20369,14861,0,0,6,129,33,0,0,5,1,50,31.5471,0
3,0,BUF6,P1S,48737.0,62828.0,0,DONE,719,36.657,3749,0.9349,0.5834,491,102,74,96,66,20286,15820,0,0,5,127,35,0,0,2,2,50,15.7248,0
3,1,P1S,BUF6,62828.0,48737.0,1,DONE,719,36.657,4853,0.9452,0.5737,647,104,90,103,90,21300,21345,0,0,5,157,20,0,0,2,1,3,25.9085,0
3,0,P1S,BUF6,62828.0,48737.0,1,DONE,719,36.004,4853,0.9452,0.5737,647,104,90,103,90,21300,21345,0,0,5,157,20,0,0,2,1,3,16.0616,0
3,1,BUF6,P1S,48737.0,62828.0,0,DONE,719,36.004,3749,0.9349,0.5834,491,102,74,96,66,20286,15820,0,0,5,127,35,0,0,2,2,50,13.9745,0
4,0,BUF6,P1S,48754.0,63564.0,0,DONE,719,42.414,3749,0.9346,0.5842,486,98,74,92,66,20983,14862,0,0,5,127,38,0,0,3,2,50,27.0082,0
4,1,P1S,BUF6,63564.0,48754.0,1,DONE,719,42.414,4853,0.9448,0.5726,647,104,90,103,90,23360,19569,0,0,5,157,20,0,0,2,1,3,33.9558,0
4,0,P1S,BUF6,63577.0,48751.0,1,DONE,719,44.763,4853,0.9452,0.5737,647,104,90,103,90,23360,19569,0,0,5,157,20,0,0,2,1,3,47.0774,0
