seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,C1,H4,31086.0,37652.0,0,DONE,719,47.565,4853,0.9703,0.5599,592,103,68,103,68,11606,5469,0,25,3,113,10,0,0,1,3,0,31.3574,0
0,1,H4,C1,37652.0,31086.0,1,DONE,719,47.565,4853,0.9448,0.5759,638,103,82,103,82,12163,5938,0,30,5,156,16,0,0,2,1,3,19.3782,0
0,0,H4,C1,37652.0,31086.0,1,DONE,719,49.474,4853,0.9448,0.5759,638,103,82,103,82,12163,5938,0,30,5,156,16,0,0,2,1,3,20.5088,0
0,1,C1,H4,31086.0,37652.0,0,DONE,719,49.474,4853,0.9703,0.5599,592,103,68,103,68,11606,5469,0,25,3,113,10,0,0,1,3,0,43.734,0
1,0,C1,H4,31255.0,34167.0,0,DONE,719,52.471,4853,0.9759,0.5586,607,105,82,102,82,6833,8530,0,4,6,113,12,0,0,1,0,0,40.1243,0
1,1,H4,C1,34167.0,31255.0,1,DONE,719,52.471,4853,0.9444,0.5733,641,104,84,103,84,7506,8792,0,3,5,156,20,0,0,2,1,3,31.1598,0
1,0,H4,C1,34167.0,31255.0,1,DONE,719,40.563,4853,0.9444,0.5733,641,104,84,103,84,7506,8792,0,3,5,156,20,0,0,2,1,3,17.0658,0
1,1,C1,H4,31255.0,34167.0,0,DONE,719,40.563,4853,0.9759,0.5586,607,105,82,102,82,6833,8530,0,4,6,113,12,0,0,1,0,0,16.517,0
2,0,C1,H4,43307.0,44870.0,0,DONE,719,51.252,4853,0.9751,0.5553,612,103,93,103,93,5747,22288,4,0,6,117,35,0,0,1,0,0,22.1523,0
2,1,H4,C1,44870.0,43307.0,1,DONE,719,51.252,4853,0.9448,0.5739,649,104,90,104,90,6615,21535,0,0,5,159,22,0,0,2,1,3,16.2211,0
2,0,H4,C1,44400.0,43125.0,1,DONE,719,46.922,4853,0.946,0.5747,647,104,90,103,90,6219,21535,0,0,5,157,27,0,0,2,1,3,24.4991,0
2,1,C1,H4,43125.0,44400.0,0,DONE,719,46.922,4853,0.9751,0.5535,612,103,93,103,93,5188,22291,15,0,6,117,41,0,0,1,0,0,31.2587,0
3,0,C1,H4,32003.0,36510.0,0,DONE,719,44.394,4853,0.9734,0.5611,592,103,68,103,68,11713,5599,0,25,3,113,17,0,0,1,3,0,17.0347,0
3,1,H4,C1,36510.0,32003.0,1,DONE,719,44.394,4853,0.9411,0.5726,634,104,82,104,82,12529,5808,0,30,5,158,17,0,0,2,1,3,17.7368,0
3,0,H4,C1,32929.0,29277.0,1,DONE,719,42.671,4853,0.9448,0.5759,630,103,74,103,74,9541,5833,0,30,5,157,16,0,0,2,1,3,15.3762,0
3,1,C1,H4,29277.0,32929.0,0,DONE,719,42.671,4853,0.9726,0.5594,592,102,70,102,70,8915,5523,0,25,3,116,0,0,0,1,3,0,17.789,0
4,0,C1,H4,43052.0,47510.0,0,DONE,719,37.741,4853,0.9712,0.5605,587,103,68,103,68,22171,5469,0,25,3,113,9,0,0,1,3,0,17.2843,0
4,1,H4,C1,47510.0,43052.0,1,DONE,719,37.741,4853,0.9448,0.5759,638,103,82,103,82,22296,5938,0,30,5,156,16,0,0,2,1,3,11.4634,0
4,0,H4,C1,47510.0,43052.0,1,DONE,719,45.836,4853,0.9448,0.5759,638,103,82,103,82,22296,5938,0,30,5,156,16,0,0,2,1,3,19.7414,0
4,1,C1,H4,43052.0,47510.0,0,DONE,719,45.836,4853,0.9712,0.5605,587,103,68,103,68,22171,5469,0,25,3,113,9,0,0,1,3,0,17.1694,0
5,0,C1,H4,38059.0,43359.0,0,DONE,719,41.118,4853,0.9712,0.5603,587,103,68,103,68,18160,5469,0,25,3,113,9,0,0,1,3,0,17.82,0
5,1,H4,C1,43359.0,38059.0,1,DONE,719,41.118,4853,0.9448,0.5759,638,103,82,103,82,18583,5938,0,30,5,156,16,0,0,2,1,3,13.3425,0
5,0,H4,C1,43359.0,38059.0,1,DONE,719,43.415,4853,0.9448,0.5759,638,103,82,103,82,18583,5938,0,30,5,156,16,0,0,2,1,3,17.6762,0
5,1,C1,H4,38059.0,43359.0,0,DONE,719,43.415,4853,0.9712,0.5603,587,103,68,103,68,18160,5469,0,25,3,113,9,0,0,1,3,0,16.7747,0
6,0,C1,H4,35412.0,39463.0,0,DONE,719,40.464,4853,0.9755,0.5621,585,103,68,102,68,15367,5469,0,25,4,112,16,0,0,1,2,0,16.9335,0
6,1,H4,C1,39463.0,35412.0,1,DONE,719,40.464,4853,0.9448,0.5759,638,103,82,103,82,16148,5938,0,30,5,156,16,0,0,2,1,3,13.7522,0
6,0,H4,C1,39429.0,35796.0,1,DONE,719,36.696,4853,0.9448,0.5759,638,103,82,103,82,16148,5938,0,30,5,156,16,0,0,2,1,3,17.4266,0
6,1,C1,H4,35796.0,39429.0,0,DONE,719,36.696,4853,0.9714,0.5605,587,103,68,103,68,15610,5469,0,25,3,113,5,0,0,1,3,0,15.7532,0
7,0,C1,H4,55802.0,59938.0,0,DONE,719,33.283,4853,0.9744,0.5611,606,102,88,102,88,21715,19903,0,0,3,116,14,0,0,1,3,0,23.0807,0
7,1,H4,C1,59938.0,55802.0,1,DONE,719,33.283,4853,0.9435,0.5757,628,104,94,104,94,22389,21237,0,0,5,157,38,0,0,2,1,4,13.7352,0
7,0,H4,C1,49245.0,44898.0,1,DONE,719,36.352,4853,0.945,0.5739,643,104,86,104,86,22399,8969,0,7,5,158,20,0,0,2,1,3,17.1867,0
7,1,C1,H4,44898.0,49245.0,0,DONE,719,36.352,4853,0.9736,0.5613,601,102,80,102,80,21765,8241,0,0,3,114,13,0,0,1,3,0,16.8627,0
