seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,H5,H4,48883.0,49028.0,0,DONE,719,28.077,6231,0.874,0.5632,701,108,90,105,90,15789,17844,0,0,5,159,36,6,0,2,1,0,11.4437,0
0,1,H4,H5,49028.0,48883.0,1,DONE,719,28.077,4853,0.9458,0.5739,651,104,94,104,94,14950,18869,0,0,5,158,20,0,0,2,1,3,7.5692,0
0,0,H4,H5,49028.0,48883.0,1,DONE,719,28.249,4853,0.9458,0.5739,651,104,94,104,94,14950,18869,0,0,5,158,20,0,0,2,1,3,10.0521,0
0,1,H5,H4,48883.0,49028.0,0,DONE,719,28.249,6231,0.874,0.5632,701,108,90,105,90,15789,17844,0,0,5,159,36,6,0,2,1,0,11.4378,0
1,0,H5,H4,57742.0,58108.0,0,DONE,719,31.191,6231,0.874,0.5632,701,108,90,105,90,22724,18924,0,0,5,159,36,6,0,2,1,0,16.3158,0
1,1,H4,H5,58108.0,57742.0,1,DONE,719,31.191,4853,0.9458,0.5739,651,104,94,104,94,22136,20105,0,0,5,158,20,0,0,2,1,3,12.976,0
1,0,H4,H5,58108.0,57742.0,1,DONE,719,29.36,4853,0.9458,0.5739,651,104,94,104,94,22136,20105,0,0,5,158,20,0,0,2,1,3,17.6521,0
1,1,H5,H4,57742.0,58108.0,0,DONE,719,29.36,6231,0.874,0.5632,701,108,90,105,90,22724,18924,0,0,5,159,36,6,0,2,1,0,16.8391,0
2,0,H5,H4,58619.0,58694.0,0,DONE,719,31.101,6231,0.874,0.563,701,108,90,105,90,22213,20682,0,0,5,159,36,6,0,2,1,0,11.1915,0
2,1,H4,H5,58694.0,58619.0,1,DONE,719,31.101,4853,0.9458,0.5739,651,104,94,104,94,21607,21651,0,0,5,158,20,0,0,2,1,3,11.7978,0
2,0,H4,H5,58689.0,58624.0,1,DONE,719,27.773,4853,0.9458,0.5739,651,104,94,104,94,21607,21651,0,0,5,158,30,0,0,2,1,3,8.0229,0
2,1,H5,H4,58624.0,58689.0,0,DONE,719,27.773,6231,0.874,0.5632,701,108,90,105,90,22213,20682,0,0,5,159,36,6,0,2,1,0,7.0864,0
3,0,H5,H4,47912.0,48451.0,0,DONE,719,32.709,6231,0.8739,0.5632,698,105,90,105,90,10197,21103,0,0,5,159,35,6,0,2,1,0,15.1141,0
3,1,H4,H5,48451.0,47912.0,1,DONE,719,32.709,4853,0.9458,0.5739,651,104,94,104,94,9600,22060,0,0,5,158,20,0,0,2,1,3,12.4372,0
3,0,H4,H5,48451.0,47912.0,1,DONE,719,30.442,4853,0.9458,0.5739,651,104,94,104,94,9600,22060,0,0,5,158,20,0,0,2,1,3,14.9934,0
