seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,D1,H4,48751.0,49991.0,0,DONE,719,60.958,4715,0.9442,0.5784,619,104,92,104,92,13210,18650,0,0,5,155,26,0,0,3,1,0,52.0523,0
0,1,H4,D1,49991.0,48751.0,1,DONE,719,60.958,4853,0.9458,0.5739,651,104,94,104,94,13147,19243,0,0,5,158,20,0,0,2,1,3,44.2196,0
0,0,H4,D1,49991.0,48751.0,1,DONE,719,59.586,4853,0.9458,0.5739,651,104,94,104,94,13147,19243,0,0,5,158,20,0,0,2,1,3,48.1413,0
0,1,D1,H4,48751.0,49991.0,0,DONE,719,59.586,4715,0.9442,0.5784,619,104,92,104,92,13210,18650,0,0,5,155,26,0,0,3,1,0,34.8147,0
1,0,D1,H4,59890.0,61181.0,0,DONE,719,58.397,4715,0.9442,0.5784,619,104,92,104,92,23642,18921,0,0,5,155,26,0,0,3,1,0,43.2954,0
1,1,H4,D1,61181.0,59890.0,1,DONE,719,58.397,4853,0.9458,0.5739,651,104,94,104,94,23618,19516,0,0,5,158,20,0,0,2,1,3,33.0595,0
1,0,H4,D1,61181.0,59890.0,1,DONE,719,57.885,4853,0.9458,0.5739,651,104,94,104,94,23618,19516,0,0,5,158,20,0,0,2,1,3,44.1494,0
1,1,D1,H4,59890.0,61181.0,0,DONE,719,57.885,4715,0.9442,0.5784,619,104,92,104,92,23642,18921,0,0,5,155,26,0,0,3,1,0,32.6176,0
2,0,D1,H4,56781.0,57794.0,0,DONE,719,56.543,4715,0.9442,0.5786,616,104,92,104,92,19262,21355,0,0,5,155,34,0,0,3,1,0,35.1031,0
2,1,H4,D1,57794.0,56781.0,1,DONE,719,56.543,4853,0.9458,0.5739,651,104,94,104,94,19205,21751,0,0,5,158,20,0,0,2,1,3,37.5953,0
2,0,H4,D1,57761.0,56909.0,1,DONE,719,52.783,4853,0.9458,0.5739,651,104,94,104,94,19205,21751,0,0,5,158,30,0,0,2,1,3,41.7752,0
2,1,D1,H4,56909.0,57761.0,0,DONE,719,52.783,4715,0.9442,0.5784,619,104,92,104,92,19262,21355,0,0,5,155,26,0,0,3,1,0,27.2177,0
3,0,D1,H4,29587.0,30826.0,0,DONE,719,55.039,4715,0.9427,0.5786,605,104,74,104,74,6698,5678,4,20,5,155,15,0,0,3,1,0,41.384,0
3,1,H4,D1,30826.0,29587.0,1,DONE,719,55.039,4853,0.9448,0.5759,638,103,82,103,82,6805,6189,0,26,5,156,16,0,0,2,1,3,37.6836,0
3,0,H4,D1,30826.0,29587.0,1,DONE,719,52.724,4853,0.9448,0.5759,638,103,82,103,82,6805,6189,0,26,5,156,16,0,0,2,1,3,39.4247,0
3,1,D1,H4,29587.0,30826.0,0,DONE,719,52.724,4715,0.9427,0.5786,605,104,74,104,74,6698,5678,4,20,5,155,15,0,0,3,1,0,30.2725,0
4,0,D1,H4,56361.0,57579.0,0,DONE,719,48.685,4715,0.9444,0.5784,618,104,92,104,92,21323,18650,0,0,5,155,27,0,0,3,1,0,26.1841,0
4,1,H4,D1,57579.0,56361.0,1,DONE,719,48.685,4853,0.9458,0.5737,651,104,94,104,94,21298,19243,0,0,5,158,20,0,0,2,1,3,31.2093,0
4,0,H4,D1,57574.0,56088.0,1,DONE,719,52.23,4853,0.9458,0.5739,651,104,94,104,94,21298,19248,0,0,5,158,20,0,0,2,1,3,31.039,0
4,1,D1,H4,56088.0,57574.0,0,DONE,719,52.23,4715,0.9442,0.5769,618,104,92,104,92,21323,18650,0,0,6,156,14,0,0,2,0,0,28.3648,0
5,0,D1,H4,53297.0,54837.0,0,DONE,719,52.996,4715,0.9444,0.5782,619,104,92,104,92,21656,14850,0,0,5,155,26,0,0,3,1,0,26.5395,0
5,1,H4,D1,54837.0,53297.0,1,DONE,719,52.996,4853,0.9458,0.5739,651,104,94,104,94,21624,15591,0,0,5,158,20,0,0,2,1,3,26.3071,0
5,0,H4,D1,54837.0,53297.0,1,DONE,719,57.053,4853,0.9458,0.5739,651,104,94,104,94,21624,15591,0,0,5,158,20,0,0,2,1,3,30.5852,0
5,1,D1,H4,53297.0,54837.0,0,DONE,719,57.053,4715,0.9444,0.5782,619,104,92,104,92,21656,14850,0,0,5,155,26,0,0,3,1,0,36.4654,0
6,0,D1,H4,55758.0,57102.0,0,DONE,719,58.289,4715,0.9449,0.5779,616,103,92,103,92,19313,22092,0,0,6,154,18,0,0,3,0,0,40.2553,0
6,1,H4,D1,57102.0,55758.0,1,DONE,719,58.289,4853,0.9458,0.5739,651,104,94,104,94,19489,22533,0,0,5,158,20,0,0,2,1,3,40.7654,0
6,0,H4,D1,55598.0,54757.0,1,DONE,719,55.77,4853,0.9458,0.5739,651,104,94,104,94,18164,22533,0,0,5,158,20,0,0,2,1,3,37.0861,0
6,1,D1,H4,54757.0,55598.0,0,DONE,719,55.77,4715,0.9442,0.5782,619,104,92,104,92,18212,22092,0,0,5,155,26,0,0,3,1,0,24.9518,0
7,0,D1,H4,54554.0,55395.0,0,DONE,719,46.48,4715,0.9442,0.5784,619,104,92,104,92,19761,20705,0,0,5,155,26,0,0,3,1,0,31.7869,0
7,1,H4,D1,55395.0,54554.0,1,DONE,719,46.48,4853,0.9458,0.5739,651,104,94,104,94,19728,21110,0,0,5,158,20,0,0,2,1,3,41.2645,0
7,0,H4,D1,55395.0,54554.0,1,DONE,719,44.629,4853,0.9458,0.5739,651,104,94,104,94,19728,21110,0,0,5,158,20,0,0,2,1,3,21.4955,0
7,1,D1,H4,54554.0,55395.0,0,DONE,719,44.629,4715,0.9442,0.5784,619,104,92,104,92,19761,20705,0,0,5,155,26,0,0,3,1,0,24.063,0
