seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,H4,A_diversified,47468.0,29651.0,1,DONE,719,33.793,4853,0.9458,0.5739,651,104,94,104,94,8592,19831,0,0,5,158,20,0,0,2,1,3,17.2106,0
100,1,A_diversified,H4,29651.0,47468.0,0,DONE,719,33.793,4025,0.9448,0.5722,532,55,42,53,42,3460,9084,0,0,5,122,55,0,0,1,4,17,13.6145,0
100,0,A_diversified,H4,29651.0,47468.0,0,DONE,719,33.139,4025,0.9448,0.5722,532,55,42,53,42,3460,9084,0,0,5,122,55,0,0,1,4,17,18.2068,0
100,1,H4,A_diversified,47468.0,29651.0,1,DONE,719,33.139,4853,0.9458,0.5739,651,104,94,104,94,8592,19831,0,0,5,158,20,0,0,2,1,3,12.5794,0
101,0,H4,A_diversified,61281.0,37975.0,1,DONE,719,32.15,4853,0.9458,0.5739,651,104,94,104,94,19162,22388,0,0,5,158,20,0,0,2,1,3,20.0397,0
101,1,A_diversified,H4,37975.0,61281.0,0,DONE,719,32.15,4025,0.9448,0.5714,532,55,42,53,42,10266,10144,0,0,5,122,55,0,0,1,4,17,8.855,0
101,0,A_diversified,H4,35785.0,59787.0,0,DONE,719,33.546,4025,0.9446,0.5759,515,54,42,52,42,8772,10144,0,0,3,123,23,0,0,2,6,17,12.3552,0
101,1,H4,A_diversified,59787.0,35785.0,1,DONE,719,33.546,4853,0.9458,0.5739,651,104,94,104,94,17361,22388,0,0,5,158,30,0,0,2,1,3,17.4653,0
102,0,H4,A_diversified,58654.0,35340.0,1,DONE,719,33.598,4853,0.9458,0.5739,651,104,94,104,94,17298,22829,0,0,5,158,20,0,0,2,1,3,18.6871,0
102,1,A_diversified,H4,35340.0,58654.0,0,DONE,719,33.598,4025,0.9446,0.5717,532,55,42,53,42,8983,10310,0,0,5,122,55,0,0,1,4,17,12.1397,0
102,0,A_diversified,H4,35340.0,58654.0,0,DONE,719,32.918,4025,0.9446,0.5717,532,55,42,53,42,8983,10310,0,0,5,122,55,0,0,1,4,17,8.27,0
102,1,H4,A_diversified,58654.0,35340.0,1,DONE,719,32.918,4853,0.9458,0.5739,651,104,94,104,94,17298,22829,0,0,5,158,20,0,0,2,1,3,16.3889,0
103,0,H4,A_diversified,62863.0,38571.0,1,DONE,719,34.139,4853,0.9458,0.5739,651,104,94,104,94,22272,21814,0,0,5,158,20,0,0,2,1,3,21.8771,0
103,1,A_diversified,H4,38571.0,62863.0,0,DONE,719,34.139,4025,0.9558,0.5799,540,54,42,54,42,11893,10020,0,0,5,124,25,0,0,1,4,4,17.9834,0
103,0,A_diversified,H4,38571.0,62863.0,0,DONE,719,34.741,4025,0.9558,0.5799,540,54,42,54,42,11893,10020,0,0,5,124,25,0,0,1,4,4,20.6898,0
103,1,H4,A_diversified,62863.0,38571.0,1,DONE,719,34.741,4853,0.9458,0.5739,651,104,94,104,94,22272,21814,0,0,5,158,20,0,0,2,1,3,12.5298,0
104,0,H4,A_diversified,60944.0,35544.0,1,DONE,719,41.907,4853,0.9458,0.5739,651,104,94,104,94,20136,22465,0,0,5,158,20,0,0,2,1,3,28.6547,0
104,1,A_diversified,H4,35544.0,60944.0,0,DONE,719,41.907,4025,0.9458,0.5734,525,55,42,49,42,10251,10198,0,0,5,124,22,0,0,0,4,25,15.3459,0
104,0,A_diversified,H4,33595.0,56892.0,0,DONE,719,51.901,4025,0.9446,0.5717,532,55,42,53,42,8420,10592,0,0,5,122,55,0,0,1,4,17,30.5095,0
104,1,H4,A_diversified,56892.0,33595.0,1,DONE,719,51.901,4853,0.9427,0.5728,641,104,94,104,94,16563,23358,0,0,5,159,34,0,0,2,1,3,21.1084,0
