seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,H4,C_goose_wheat,52693.0,28622.0,1,DONE,719,33.39,4853,0.9458,0.5757,649,104,92,104,92,24275,12423,0,4,5,157,16,0,0,2,1,3,12.7363,0
100,1,C_goose_wheat,H4,28622.0,52693.0,0,DONE,719,33.39,4853,0.9293,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,8.9194,0
100,0,C_goose_wheat,H4,28227.0,56691.0,0,DONE,719,33.095,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,12.833,0
100,1,H4,C_goose_wheat,56691.0,28227.0,1,DONE,719,33.095,4853,0.9419,0.5743,624,103,94,103,94,23708,17313,0,0,5,157,38,0,0,2,1,4,12.2225,0
101,0,H4,C_goose_wheat,58165.0,27867.0,1,DONE,719,31.145,4853,0.9458,0.5739,651,104,94,104,94,20116,22453,0,0,5,158,20,0,0,2,1,3,13.4239,0
101,1,C_goose_wheat,H4,27867.0,58165.0,0,DONE,719,31.145,4853,0.9285,0.5716,743,0,0,0,0,0,0,0,0,4,110,32,0,0,2,0,0,7.8205,0
101,0,C_goose_wheat,H4,27270.0,58172.0,0,DONE,719,31.057,4853,0.9291,0.5728,742,0,0,0,0,0,0,0,0,4,109,14,0,0,2,0,0,10.8987,0
101,1,H4,C_goose_wheat,58172.0,27270.0,1,DONE,719,31.057,4853,0.9458,0.5739,651,104,94,104,94,20116,22453,0,0,5,158,20,0,0,2,1,3,10.7278,0
102,0,H4,C_goose_wheat,59749.0,27993.0,1,DONE,719,31.921,4853,0.9458,0.5739,651,104,94,104,94,24725,18967,0,0,5,158,20,0,0,2,1,3,12.0664,0
102,1,C_goose_wheat,H4,27993.0,59749.0,0,DONE,719,31.921,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,9.557,0
102,0,C_goose_wheat,H4,27993.0,59749.0,0,DONE,719,31.932,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,12.9897,0
102,1,H4,C_goose_wheat,59749.0,27993.0,1,DONE,719,31.932,4853,0.9458,0.5739,651,104,94,104,94,24725,18967,0,0,5,158,20,0,0,2,1,3,12.3371,0
103,0,H4,C_goose_wheat,53219.0,26645.0,1,DONE,719,32.234,4853,0.9458,0.5739,651,104,94,104,94,15482,21903,0,0,5,158,20,0,0,2,1,3,14.9561,0
103,1,C_goose_wheat,H4,26645.0,53219.0,0,DONE,719,32.234,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,10.9434,0
103,0,C_goose_wheat,H4,26645.0,53219.0,0,DONE,719,34.618,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,12.8694,0
103,1,H4,C_goose_wheat,53219.0,26645.0,1,DONE,719,34.618,4853,0.9458,0.5739,651,104,94,104,94,15482,21903,0,0,5,158,20,0,0,2,1,3,13.1709,0
104,0,H4,C_goose_wheat,54372.0,26778.0,1,DONE,719,39.316,4853,0.9458,0.5739,651,104,94,104,94,21459,17338,0,0,5,158,20,0,0,2,1,3,19.3802,0
104,1,C_goose_wheat,H4,26778.0,54372.0,0,DONE,719,39.316,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,18.7775,0
104,0,C_goose_wheat,H4,26775.0,53015.0,0,DONE,719,33.72,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,10.2334,0
104,1,H4,C_goose_wheat,53015.0,26775.0,1,DONE,719,33.72,4853,0.9442,0.5755,649,104,98,104,94,19907,17338,0,0,5,159,22,0,0,3,1,3,14.8635,0
105,0,H4,C_goose_wheat,52988.0,26456.0,1,DONE,719,40.26,4853,0.9458,0.5757,649,104,92,104,92,24679,12423,0,4,5,157,16,0,0,2,1,3,15.3259,0
105,1,C_goose_wheat,H4,26456.0,52988.0,0,DONE,719,40.26,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,17.2725,0
105,0,C_goose_wheat,H4,26456.0,52988.0,0,DONE,719,33.19,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,11.1378,0
105,1,H4,C_goose_wheat,52988.0,26456.0,1,DONE,719,33.19,4853,0.9458,0.5757,649,104,92,104,92,24679,12423,0,4,5,157,16,0,0,2,1,3,14.9435,0
106,0,H4,C_goose_wheat,57506.0,27380.0,1,DONE,719,38.36,4853,0.9458,0.5739,651,104,94,104,94,19399,22453,0,0,5,158,20,0,0,2,1,3,26.6751,0
106,1,C_goose_wheat,H4,27380.0,57506.0,0,DONE,719,38.36,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,19.7133,0
106,0,C_goose_wheat,H4,27380.0,57506.0,0,DONE,719,35.196,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,14.9919,0
106,1,H4,C_goose_wheat,57506.0,27380.0,1,DONE,719,35.196,4853,0.9458,0.5739,651,104,94,104,94,19399,22453,0,0,5,158,20,0,0,2,1,3,16.06,0
107,0,H4,C_goose_wheat,52571.0,29887.0,1,DONE,719,22.588,4853,0.9458,0.5757,649,104,92,104,92,23266,12423,0,4,5,157,16,0,0,2,1,3,9.13,0
107,1,C_goose_wheat,H4,29887.0,52571.0,0,DONE,719,22.588,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,4.9182,0
107,0,C_goose_wheat,H4,29887.0,52571.0,0,DONE,719,21.615,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,6.6627,0
107,1,H4,C_goose_wheat,52571.0,29887.0,1,DONE,719,21.615,4853,0.9458,0.5757,649,104,92,104,92,23266,12423,0,4,5,157,16,0,0,2,1,3,6.1696,0
