seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,H4,D_premium_crop,60072.0,37285.0,1,DONE,719,52.056,4853,0.9458,0.5739,651,104,94,104,94,18214,20232,0,0,5,158,20,0,0,2,1,3,23.6458,0
100,1,D_premium_crop,H4,37285.0,60072.0,0,DONE,719,52.056,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,14.6779,0
100,0,D_premium_crop,H4,37285.0,60072.0,0,DONE,719,49.51,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,33.434,0
100,1,H4,D_premium_crop,60072.0,37285.0,1,DONE,719,49.51,4853,0.9458,0.5739,651,104,94,104,94,18214,20232,0,0,5,158,20,0,0,2,1,3,32.8168,0
101,0,H4,D_premium_crop,61064.0,36308.0,1,DONE,719,56.215,4853,0.9458,0.5739,651,104,94,104,94,24613,15257,0,0,5,158,20,0,0,2,1,3,24.5533,0
101,1,D_premium_crop,H4,36308.0,61064.0,0,DONE,719,56.215,5495,0.5551,0.4044,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,15.2987,0
101,0,D_premium_crop,H4,36308.0,61064.0,0,DONE,719,52.298,5495,0.5545,0.4038,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,19.0066,0
101,1,H4,D_premium_crop,61064.0,36308.0,1,DONE,719,52.298,4853,0.9458,0.5739,651,104,94,104,94,24613,15257,0,0,5,158,20,0,0,2,1,3,26.9245,0
102,0,H4,D_premium_crop,65531.0,36745.0,1,DONE,719,53.79,4853,0.9458,0.5739,651,104,94,104,94,24613,18967,0,0,5,158,20,0,0,2,1,3,17.4995,0
102,1,D_premium_crop,H4,36745.0,65531.0,0,DONE,719,53.79,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,13.0128,0
102,0,D_premium_crop,H4,36745.0,65531.0,0,DONE,719,55.182,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,15.0062,0
102,1,H4,D_premium_crop,65531.0,36745.0,1,DONE,719,55.182,4853,0.9458,0.5739,651,104,94,104,94,24613,18967,0,0,5,158,20,0,0,2,1,3,23.1577,0
103,0,H4,D_premium_crop,67013.0,37987.0,1,DONE,719,48.369,4853,0.9458,0.5739,651,104,94,104,94,23244,21903,0,0,5,158,20,0,0,2,1,3,26.8953,0
103,1,D_premium_crop,H4,37987.0,67013.0,0,DONE,719,48.369,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,12.1118,0
103,0,D_premium_crop,H4,37987.0,67013.0,0,DONE,719,30.473,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,6.6607,0
103,1,H4,D_premium_crop,67013.0,37987.0,1,DONE,719,30.473,4853,0.9458,0.5739,651,104,94,104,94,23244,21903,0,0,5,158,20,0,0,2,1,3,10.7057,0
104,0,H4,D_premium_crop,64349.0,38690.0,1,DONE,719,32.935,4853,0.9458,0.5739,651,104,94,104,94,25600,17338,0,0,5,158,20,0,0,2,1,3,9.821,0
104,1,D_premium_crop,H4,38690.0,64349.0,0,DONE,719,32.935,5495,0.5556,0.4051,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,6.974,0
104,0,D_premium_crop,H4,38690.0,64349.0,0,DONE,719,33.035,5495,0.5567,0.4062,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,8.6142,0
104,1,H4,D_premium_crop,64349.0,38690.0,1,DONE,719,33.035,4853,0.9458,0.5739,651,104,94,104,94,25600,17338,0,0,5,158,20,0,0,2,1,3,12.2701,0
