seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
32,0,H4,P1S,40915.0,39957.0,1,DONE,719,71.198,4853,0.9415,0.5741,625,104,70,104,70,17319,5883,0,21,5,161,19,0,0,2,1,3,57.3827,0
32,1,P1S,H4,39957.0,40915.0,0,DONE,719,71.198,4853,0.9464,0.5757,647,104,90,104,90,17257,5957,0,37,5,156,12,1,0,2,1,3,44.7782,0
32,0,P1S,H4,39957.0,40915.0,0,DONE,719,59.8,4853,0.9464,0.5757,647,104,90,104,90,17257,5957,0,37,5,156,12,1,0,2,1,3,50.1499,0
32,1,H4,P1S,40915.0,39957.0,1,DONE,719,59.8,4853,0.9415,0.5741,625,104,70,104,70,17319,5883,0,21,5,161,19,0,0,2,1,3,56.9469,0
33,0,H4,P1S,26169.0,26017.0,1,DONE,719,61.856,4853,0.9415,0.5741,625,104,70,101,66,5661,5839,16,19,5,161,19,0,0,2,1,14,37.0926,0
33,1,P1S,H4,26017.0,26169.0,0,DONE,719,61.856,4853,0.9464,0.5757,647,104,90,104,90,5795,5931,15,37,5,156,12,1,0,2,1,3,25.3004,0
33,0,P1S,H4,26017.0,26169.0,0,DONE,719,47.832,4853,0.9464,0.5757,647,104,90,104,90,5795,5931,15,37,5,156,12,1,0,2,1,3,16.8038,0
33,1,H4,P1S,26169.0,26017.0,1,DONE,719,47.832,4853,0.9415,0.5741,625,104,70,101,66,5661,5839,16,19,5,161,19,0,0,2,1,14,16.7316,0
34,0,H4,P1S,64105.0,64336.0,0,DONE,719,76.581,4853,0.9458,0.5815,624,104,90,103,90,26944,20080,0,0,5,161,12,0,0,3,1,0,81.0199,0
34,1,P1S,H4,64336.0,64105.0,1,DONE,719,76.581,4853,0.946,0.5741,647,104,90,103,90,26939,20117,0,0,5,157,20,0,0,2,1,3,58.3062,0
34,0,P1S,H4,64045.0,65766.0,0,DONE,719,77.849,4853,0.9458,0.5809,624,104,90,103,90,26955,20080,0,0,5,160,9,0,0,4,1,0,49.491,0
34,1,H4,P1S,65766.0,64045.0,1,DONE,719,77.849,4853,0.9458,0.5739,651,104,94,104,94,27267,21071,0,0,5,158,20,0,0,2,1,3,52.7406,0
35,0,H4,P1S,28881.0,27789.0,1,DONE,719,61.063,4853,0.9444,0.5776,634,104,88,104,84,5075,9909,28,7,5,157,10,0,0,2,1,8,36.4221,0
35,1,P1S,H4,27789.0,28881.0,0,DONE,719,61.063,4853,0.9421,0.5782,633,102,90,99,86,5048,9161,25,9,3,155,10,0,0,2,3,14,48.8913,0
35,0,P1S,H4,24996.0,24372.0,1,DONE,719,93.056,4853,0.946,0.5755,642,103,90,103,90,5025,5931,28,37,5,156,11,0,0,2,1,3,107.1408,0
35,1,H4,P1S,24372.0,24996.0,0,DONE,719,93.056,4853,0.9409,0.5722,611,104,70,101,64,5021,5837,28,17,4,157,11,0,0,2,2,26,53.1604,0
36,0,H4,P1S,45877.0,45474.0,1,DONE,719,105.211,4853,0.9425,0.5745,633,104,78,104,78,23970,7320,0,11,5,159,23,0,0,2,1,3,93.0556,0
36,1,P1S,H4,45474.0,45877.0,0,DONE,719,105.211,4853,0.9464,0.5745,647,104,90,103,90,23660,7480,0,19,5,157,20,0,0,2,1,3,58.2134,0
36,0,P1S,H4,45474.0,45877.0,0,DONE,719,87.354,4853,0.9464,0.5745,647,104,90,103,90,23660,7480,0,19,5,157,20,0,0,2,1,3,67.0371,0
36,1,H4,P1S,45877.0,45474.0,1,DONE,719,87.354,4853,0.9425,0.5745,633,104,78,104,78,23970,7320,0,11,5,159,23,0,0,2,1,3,60.5941,0
37,0,H4,P1S,45778.0,44897.0,1,DONE,719,89.569,4853,0.9415,0.5741,625,104,70,104,70,22211,5883,0,21,5,161,19,0,0,2,1,3,70.1909,0
37,1,P1S,H4,44897.0,45778.0,0,DONE,719,89.569,4853,0.9464,0.5757,647,104,90,104,90,22167,5957,0,37,5,156,12,1,0,2,1,3,60.1204,0
37,0,P1S,H4,44897.0,45778.0,0,DONE,719,116.312,4853,0.9464,0.5757,647,104,90,104,90,22167,5957,0,37,5,156,12,1,0,2,1,3,74.6169,0
37,1,H4,P1S,45778.0,44897.0,1,DONE,719,116.312,4853,0.9415,0.5741,625,104,70,104,70,22211,5883,0,21,5,161,19,0,0,2,1,3,80.3597,0
