seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,H4,reference,52693.0,28622.0,1,DONE,719,59.141,4853,0.9458,0.5757,649,104,92,104,92,24275,12423,0,4,5,157,16,0,0,2,1,3,41.0485,0
100,1,reference,H4,28622.0,52693.0,0,DONE,719,59.141,4853,0.9293,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,26.1797,0
100,0,reference,H4,28227.0,56691.0,0,DONE,719,60.865,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,52.908,0
100,1,H4,reference,56691.0,28227.0,1,DONE,719,60.865,4853,0.9419,0.5743,624,103,94,103,94,23708,17313,0,0,5,157,38,0,0,2,1,4,46.3622,0
101,0,H4,reference,58165.0,27867.0,1,DONE,719,68.05,4853,0.9458,0.5739,651,104,94,104,94,20116,22453,0,0,5,158,20,0,0,2,1,3,56.5803,0
101,1,reference,H4,27867.0,58165.0,0,DONE,719,68.05,4853,0.9285,0.5716,743,0,0,0,0,0,0,0,0,4,110,32,0,0,2,0,0,31.3835,0
101,0,reference,H4,27270.0,58172.0,0,DONE,719,62.913,4853,0.9291,0.5728,742,0,0,0,0,0,0,0,0,4,109,14,0,0,2,0,0,34.2946,0
101,1,H4,reference,58172.0,27270.0,1,DONE,719,62.913,4853,0.9458,0.5739,651,104,94,104,94,20116,22453,0,0,5,158,20,0,0,2,1,3,43.3693,0
102,0,H4,reference,59749.0,27993.0,1,DONE,719,68.92,4853,0.9458,0.5739,651,104,94,104,94,24725,18967,0,0,5,158,20,0,0,2,1,3,52.1831,0
102,1,reference,H4,27993.0,59749.0,0,DONE,719,68.92,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,38.919,0
102,0,reference,H4,27993.0,59749.0,0,DONE,719,71.673,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,48.7393,0
102,1,H4,reference,59749.0,27993.0,1,DONE,719,71.673,4853,0.9458,0.5739,651,104,94,104,94,24725,18967,0,0,5,158,20,0,0,2,1,3,52.8797,0
103,0,H4,reference,53219.0,26645.0,1,DONE,719,48.89,4853,0.9458,0.5739,651,104,94,104,94,15482,21903,0,0,5,158,20,0,0,2,1,3,43.7752,0
103,1,reference,H4,26645.0,53219.0,0,DONE,719,48.89,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,31.7015,0
103,0,reference,H4,26645.0,53219.0,0,DONE,719,99.561,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,68.8501,0
103,1,H4,reference,53219.0,26645.0,1,DONE,719,99.561,4853,0.9458,0.5739,651,104,94,104,94,15482,21903,0,0,5,158,20,0,0,2,1,3,73.3201,0
104,0,H4,reference,54372.0,26778.0,1,DONE,719,95.083,4853,0.9458,0.5739,651,104,94,104,94,21459,17338,0,0,5,158,20,0,0,2,1,3,76.0177,0
104,1,reference,H4,26778.0,54372.0,0,DONE,719,95.083,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,47.8318,0
