seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,P1S,A_diversified,46311.0,29694.0,1,DONE,719,43.123,4853,0.946,0.5741,647,104,90,103,90,8557,18887,0,0,5,157,20,0,0,2,1,3,24.7116,0
100,1,A_diversified,P1S,29694.0,46311.0,0,DONE,719,43.123,4025,0.9448,0.5722,532,55,42,53,42,3468,9084,0,0,5,122,55,0,0,1,4,17,19.9005,0
100,0,A_diversified,P1S,29694.0,46311.0,0,DONE,719,34.223,4025,0.9448,0.5722,532,55,42,53,42,3468,9084,0,0,5,122,55,0,0,1,4,17,9.8537,0
100,1,P1S,A_diversified,46311.0,29694.0,1,DONE,719,34.223,4853,0.946,0.5741,647,104,90,103,90,8557,18887,0,0,5,157,20,0,0,2,1,3,14.0443,0
101,0,P1S,A_diversified,59886.0,37999.0,1,DONE,719,35.529,4853,0.946,0.5741,647,104,90,103,90,18929,21412,0,0,5,157,20,0,0,2,1,3,14.0887,0
101,1,A_diversified,P1S,37999.0,59886.0,0,DONE,719,35.529,4025,0.9448,0.5714,532,55,42,53,42,10268,10144,0,0,5,122,55,0,0,1,4,17,13.4706,0
101,0,A_diversified,P1S,35809.0,58422.0,0,DONE,719,36.767,4025,0.9446,0.5759,515,54,42,52,42,8774,10144,0,0,3,123,23,0,0,2,6,17,13.6552,0
101,1,P1S,A_diversified,58422.0,35809.0,1,DONE,719,36.767,4853,0.946,0.5739,647,104,90,103,90,17168,21412,0,0,5,157,34,0,0,2,1,3,14.6159,0
102,0,P1S,A_diversified,57253.0,35420.0,1,DONE,719,34.732,4853,0.946,0.5741,647,104,90,103,90,17104,21829,0,0,5,157,20,0,0,2,1,3,11.5487,0
102,1,A_diversified,P1S,35420.0,57253.0,0,DONE,719,34.732,4025,0.9446,0.5717,532,55,42,53,42,8986,10310,0,0,5,122,55,0,0,1,4,17,15.4286,0
102,0,A_diversified,P1S,35420.0,57253.0,0,DONE,719,34.745,4025,0.9446,0.5717,532,55,42,53,42,8986,10310,0,0,5,122,55,0,0,1,4,17,12.5803,0
102,1,P1S,A_diversified,57253.0,35420.0,1,DONE,719,34.745,4853,0.946,0.5741,647,104,90,103,90,17104,21829,0,0,5,157,20,0,0,2,1,3,13.386,0
103,0,P1S,A_diversified,61478.0,38590.0,1,DONE,719,38.976,4853,0.946,0.5741,647,104,90,103,90,22023,20845,0,0,5,157,20,0,0,2,1,3,22.6474,0
103,1,A_diversified,P1S,38590.0,61478.0,0,DONE,719,38.976,4025,0.9558,0.5799,540,54,42,54,42,11894,10020,0,0,5,124,25,0,0,1,4,4,12.0942,0
103,0,A_diversified,P1S,38590.0,61478.0,0,DONE,719,32.356,4025,0.9558,0.5799,540,54,42,54,42,11894,10020,0,0,5,124,25,0,0,1,4,4,10.2552,0
103,1,P1S,A_diversified,61478.0,38590.0,1,DONE,719,32.356,4853,0.946,0.5741,647,104,90,103,90,22023,20845,0,0,5,157,20,0,0,2,1,3,8.0638,0
104,0,P1S,A_diversified,59509.0,35609.0,1,DONE,719,31.96,4853,0.946,0.5741,647,104,90,103,90,19894,21473,0,0,5,157,20,0,0,2,1,3,15.6707,0
