seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,P1S,C_goose_wheat,52539.0,28641.0,1,DONE,719,29.884,4853,0.946,0.5753,647,104,90,104,90,24293,12421,0,2,5,156,12,1,0,2,1,3,13.3277,0
100,1,C_goose_wheat,P1S,28641.0,52539.0,0,DONE,719,29.884,4853,0.9293,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,7.879,0
100,0,C_goose_wheat,P1S,28231.0,56327.0,0,DONE,719,30.024,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,9.6947,0
100,1,P1S,C_goose_wheat,56327.0,28231.0,1,DONE,719,30.024,4853,0.9419,0.5741,619,102,94,102,94,23426,17313,0,0,5,157,38,0,0,2,1,4,8.962,0
101,0,P1S,C_goose_wheat,56811.0,27875.0,1,DONE,719,29.281,4853,0.946,0.5741,647,104,90,103,90,19890,21469,0,0,5,157,20,0,0,2,1,3,18.3292,0
101,1,C_goose_wheat,P1S,27875.0,56811.0,0,DONE,719,29.281,4853,0.9285,0.5716,743,0,0,0,0,0,0,0,0,4,110,32,0,0,2,0,0,10.2322,0
101,0,C_goose_wheat,P1S,27282.0,56809.0,0,DONE,719,29.583,4853,0.9291,0.5728,742,0,0,0,0,0,0,0,0,4,109,14,0,0,2,0,0,10.0377,0
101,1,P1S,C_goose_wheat,56809.0,27282.0,1,DONE,719,29.583,4853,0.946,0.5741,647,104,90,103,90,19890,21469,0,0,5,157,20,0,0,2,1,3,21.2308,0
102,0,P1S,C_goose_wheat,58380.0,27998.0,1,DONE,719,31.321,4853,0.946,0.5741,647,104,90,103,90,24446,18021,0,0,5,157,20,0,0,2,1,3,23.2746,0
102,1,C_goose_wheat,P1S,27998.0,58380.0,0,DONE,719,31.321,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,9.9373,0
102,0,C_goose_wheat,P1S,27998.0,58380.0,0,DONE,719,28.984,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,8.8176,0
102,1,P1S,C_goose_wheat,58380.0,27998.0,1,DONE,719,28.984,4853,0.946,0.5741,647,104,90,103,90,24446,18021,0,0,5,157,20,0,0,2,1,3,9.159,0
103,0,P1S,C_goose_wheat,51894.0,26653.0,1,DONE,719,30.784,4853,0.946,0.5741,647,104,90,103,90,15280,20926,0,0,5,157,20,0,0,2,1,3,11.4439,0
103,1,C_goose_wheat,P1S,26653.0,51894.0,0,DONE,719,30.784,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,9.2238,0
103,0,C_goose_wheat,P1S,26653.0,51894.0,0,DONE,719,24.677,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,7.8529,0
103,1,P1S,C_goose_wheat,51894.0,26653.0,1,DONE,719,24.677,4853,0.946,0.5741,647,104,90,103,90,15280,20926,0,0,5,157,20,0,0,2,1,3,8.3525,0
104,0,P1S,C_goose_wheat,53063.0,26782.0,1,DONE,719,25.425,4853,0.946,0.5741,647,104,90,103,90,21208,16417,0,0,5,157,20,0,0,2,1,3,8.4041,0
104,1,C_goose_wheat,P1S,26782.0,53063.0,0,DONE,719,25.425,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,7.0996,0
104,0,C_goose_wheat,P1S,26776.0,51745.0,0,DONE,719,24.358,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,9.3921,0
104,1,P1S,C_goose_wheat,51745.0,26776.0,1,DONE,719,24.358,4853,0.9442,0.5755,641,104,90,103,90,19693,16417,0,0,5,158,21,0,0,3,1,3,5.362,0
105,0,P1S,C_goose_wheat,52830.0,26475.0,1,DONE,719,24.838,4853,0.946,0.5753,647,104,90,104,90,24693,12421,0,2,5,156,12,1,0,2,1,3,8.69,0
105,1,C_goose_wheat,P1S,26475.0,52830.0,0,DONE,719,24.838,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,5.9364,0
105,0,C_goose_wheat,P1S,26475.0,52830.0,0,DONE,719,24.043,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,11.2966,0
105,1,P1S,C_goose_wheat,52830.0,26475.0,1,DONE,719,24.043,4853,0.946,0.5753,647,104,90,104,90,24693,12421,0,2,5,156,12,1,0,2,1,3,8.5239,0
106,0,P1S,C_goose_wheat,56118.0,27385.0,1,DONE,719,24.783,4853,0.946,0.5741,647,104,90,103,90,19137,21469,0,0,5,157,20,0,0,2,1,3,8.5532,0
106,1,C_goose_wheat,P1S,27385.0,56118.0,0,DONE,719,24.783,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,5.8157,0
106,0,C_goose_wheat,P1S,27385.0,56118.0,0,DONE,719,24.912,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,7.2634,0
