seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,P1S,D_premium_crop,58662.0,37285.0,1,DONE,719,32.023,4853,0.946,0.5741,647,104,90,103,90,17988,19272,0,0,5,157,20,0,0,2,1,3,13.1805,0
100,1,D_premium_crop,P1S,37285.0,58662.0,0,DONE,719,32.023,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,7.5289,0
100,0,D_premium_crop,P1S,37285.0,58662.0,0,DONE,719,33.207,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,8.1905,0
100,1,P1S,D_premium_crop,58662.0,37285.0,1,DONE,719,33.207,4853,0.946,0.5741,647,104,90,103,90,17988,19272,0,0,5,157,20,0,0,2,1,3,14.8125,0
101,0,P1S,D_premium_crop,59774.0,36308.0,1,DONE,719,32.882,4853,0.946,0.5741,647,104,90,103,90,24341,14459,0,0,5,157,20,0,0,2,1,3,14.6353,0
101,1,D_premium_crop,P1S,36308.0,59774.0,0,DONE,719,32.882,5495,0.5551,0.4044,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,10.0544,0
101,0,D_premium_crop,P1S,36308.0,59774.0,0,DONE,719,31.97,5495,0.5545,0.4038,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,8.4654,0
101,1,P1S,D_premium_crop,59774.0,36308.0,1,DONE,719,31.97,4853,0.946,0.5741,647,104,90,103,90,24341,14459,0,0,5,157,20,0,0,2,1,3,10.5046,0
102,0,P1S,D_premium_crop,64089.0,36745.0,1,DONE,719,33.059,4853,0.946,0.5741,647,104,90,103,90,24341,18021,0,0,5,157,20,0,0,2,1,3,13.0054,0
102,1,D_premium_crop,P1S,36745.0,64089.0,0,DONE,719,33.059,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,8.1585,0
102,0,D_premium_crop,P1S,36745.0,64089.0,0,DONE,719,33.975,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,10.2322,0
102,1,P1S,D_premium_crop,64089.0,36745.0,1,DONE,719,33.975,4853,0.946,0.5741,647,104,90,103,90,24341,18021,0,0,5,157,20,0,0,2,1,3,12.8572,0
103,0,P1S,D_premium_crop,65551.0,37987.0,1,DONE,719,32.263,4853,0.946,0.5741,647,104,90,103,90,22985,20926,0,0,5,157,20,0,0,2,1,3,14.0981,0
103,1,D_premium_crop,P1S,37987.0,65551.0,0,DONE,719,32.263,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,10.0814,0
103,0,D_premium_crop,P1S,37987.0,65551.0,0,DONE,719,52.558,5495,0.5551,0.4045,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,13.8211,0
103,1,P1S,D_premium_crop,65551.0,37987.0,1,DONE,719,52.558,4853,0.946,0.5741,647,104,90,103,90,22985,20926,0,0,5,157,20,0,0,2,1,3,13.7459,0
104,0,P1S,D_premium_crop,62911.0,38690.0,1,DONE,719,50.982,4853,0.946,0.5741,647,104,90,103,90,25299,16417,0,0,5,157,20,0,0,2,1,3,16.181,0
104,1,D_premium_crop,P1S,38690.0,62911.0,0,DONE,719,50.982,5495,0.5556,0.4051,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,12.556,0
104,0,D_premium_crop,P1S,38690.0,62911.0,0,DONE,719,49.542,5495,0.5567,0.4062,168,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,20.8224,0
104,1,P1S,D_premium_crop,62911.0,38690.0,1,DONE,719,49.542,4853,0.946,0.5741,647,104,90,103,90,25299,16417,0,0,5,157,20,0,0,2,1,3,47.8222,0
105,0,P1S,D_premium_crop,62085.0,31271.0,1,DONE,719,47.893,4853,0.946,0.5741,647,104,90,103,90,26381,14459,0,0,5,157,20,0,0,2,1,3,21.8518,0
105,1,D_premium_crop,P1S,31271.0,62085.0,0,DONE,719,47.893,5495,0.5578,0.4084,168,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,39.4953,0
105,0,D_premium_crop,P1S,31271.0,62085.0,0,DONE,719,50.997,5495,0.5578,0.4084,168,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,16.2855,0
105,1,P1S,D_premium_crop,62085.0,31271.0,1,DONE,719,50.997,4853,0.946,0.5741,647,104,90,103,90,26381,14459,0,0,5,157,20,0,0,2,1,3,15.6233,0
