seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_sold,wool_sold,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
100,0,P1S,reference,52539.0,28641.0,1,DONE,719,28.858,4853,0.946,0.5753,647,104,90,104,90,24293,12421,0,2,5,156,12,1,0,2,1,3,25.7787,0
100,1,reference,P1S,28641.0,52539.0,0,DONE,719,28.858,4853,0.9293,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,6.1363,0
100,0,reference,P1S,28231.0,56327.0,0,DONE,719,28.283,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,14.2708,0
100,1,P1S,reference,56327.0,28231.0,1,DONE,719,28.283,4853,0.9419,0.5741,619,102,94,102,94,23426,17313,0,0,5,157,38,0,0,2,1,4,15.1328,0
101,0,P1S,reference,56811.0,27875.0,1,DONE,719,25.928,4853,0.946,0.5741,647,104,90,103,90,19890,21469,0,0,5,157,20,0,0,2,1,3,10.2191,0
101,1,reference,P1S,27875.0,56811.0,0,DONE,719,25.928,4853,0.9285,0.5716,743,0,0,0,0,0,0,0,0,4,110,32,0,0,2,0,0,6.5008,0
101,0,reference,P1S,27282.0,56809.0,0,DONE,719,26.82,4853,0.9291,0.5728,742,0,0,0,0,0,0,0,0,4,109,14,0,0,2,0,0,10.1687,0
101,1,P1S,reference,56809.0,27282.0,1,DONE,719,26.82,4853,0.946,0.5741,647,104,90,103,90,19890,21469,0,0,5,157,20,0,0,2,1,3,11.2684,0
102,0,P1S,reference,58380.0,27998.0,1,DONE,719,27.859,4853,0.946,0.5741,647,104,90,103,90,24446,18021,0,0,5,157,20,0,0,2,1,3,13.4251,0
102,1,reference,P1S,27998.0,58380.0,0,DONE,719,27.859,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,8.4526,0
102,0,reference,P1S,27998.0,58380.0,0,DONE,719,27.522,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,15.8678,0
102,1,P1S,reference,58380.0,27998.0,1,DONE,719,27.522,4853,0.946,0.5741,647,104,90,103,90,24446,18021,0,0,5,157,20,0,0,2,1,3,11.6597,0
103,0,P1S,reference,51894.0,26653.0,1,DONE,719,27.767,4853,0.946,0.5741,647,104,90,103,90,15280,20926,0,0,5,157,20,0,0,2,1,3,16.3812,0
103,1,reference,P1S,26653.0,51894.0,0,DONE,719,27.767,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,8.0849,0
103,0,reference,P1S,26653.0,51894.0,0,DONE,719,28.883,4853,0.9289,0.5724,741,0,0,0,0,0,0,0,0,4,109,4,0,0,2,0,0,13.0438,0
103,1,P1S,reference,51894.0,26653.0,1,DONE,719,28.883,4853,0.946,0.5741,647,104,90,103,90,15280,20926,0,0,5,157,20,0,0,2,1,3,23.9765,0
104,0,P1S,reference,53063.0,26782.0,1,DONE,719,28.978,4853,0.946,0.5741,647,104,90,103,90,21208,16417,0,0,5,157,20,0,0,2,1,3,13.5169,0
104,1,reference,P1S,26782.0,53063.0,0,DONE,719,28.978,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,8.4024,0
104,0,reference,P1S,26776.0,51745.0,0,DONE,719,29.211,4853,0.9279,0.5712,742,0,0,0,0,0,0,0,0,3,111,11,0,0,2,1,0,10.69,0
104,1,P1S,reference,51745.0,26776.0,1,DONE,719,29.211,4853,0.9442,0.5755,641,104,90,103,90,19693,16417,0,0,5,158,21,0,0,3,1,3,8.2892,0
