seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,A_diversified,reference,37788.0,32065.0,1,DONE,719,33.399,4025,0.9501,0.5742,524,126,13,0,5,13,22.1166,0
0,1,reference,A_diversified,32065.0,37788.0,0,DONE,719,33.399,4853,0.9289,0.5724,741,109,4,2,0,0,10.1721,0
0,0,B_cow_sheep,reference,51574.0,25925.0,1,DONE,719,38.65,4439,0.9401,0.5812,567,130,41,1,5,0,13.5739,0
0,1,reference,B_cow_sheep,25925.0,51574.0,0,DONE,719,38.65,4853,0.9289,0.5724,741,109,4,2,0,0,12.7669,0
0,0,C_goose_wheat,reference,26210.0,26210.0,0,DONE,719,33.479,4853,0.9289,0.5724,741,109,4,2,0,0,9.7105,0
0,1,reference,C_goose_wheat,26210.0,26210.0,0,DONE,719,33.479,4853,0.9289,0.5724,741,109,4,2,0,0,10.5589,0
0,0,D_premium_crop,reference,34761.0,33884.0,1,DONE,719,40.525,5495,0.5578,0.4087,168,0,4,13,0,0,20.008,0
0,1,reference,D_premium_crop,33884.0,34761.0,0,DONE,719,40.525,4853,0.9289,0.5724,741,109,4,2,0,0,14.5389,0
0,0,E_crop_heavy,reference,12363.0,29012.0,0,DONE,719,37.195,7609,0.6663,0.4881,673,0,4,0,0,0,14.9956,0
0,1,reference,E_crop_heavy,29012.0,12363.0,1,DONE,719,37.195,4853,0.9289,0.5724,741,109,4,2,0,0,10.2336,0
0,0,F_mixed,reference,23643.0,27615.0,0,DONE,719,36.376,4853,0.8304,0.5168,509,86,10,2,0,0,17.9421,0
0,1,reference,F_mixed,27615.0,23643.0,1,DONE,719,36.376,4853,0.9289,0.5724,741,109,4,2,0,0,15.1767,0
0,0,G_goose_land,reference,800.0,30729.0,0,DONE,719,30.91,2089,0.5352,0.3461,61,2,0,20,6,0,10.9287,0
0,1,reference,G_goose_land,30729.0,800.0,1,DONE,719,30.91,4853,0.9285,0.572,741,109,4,2,0,0,9.9844,0
0,0,H_goose_max,reference,351.0,30990.0,0,DONE,719,39.577,2559,0.7597,0.4842,227,22,12,18,6,0,16.5876,0
0,1,reference,H_goose_max,30990.0,351.0,1,DONE,719,39.577,4853,0.9289,0.5724,741,109,4,2,0,0,15.6086,0
0,0,reference,A_diversified,32065.0,37788.0,0,DONE,719,28.277,4853,0.9289,0.5724,741,109,4,2,0,0,13.0377,0
0,1,A_diversified,reference,37788.0,32065.0,1,DONE,719,28.277,4025,0.9501,0.5742,524,126,13,0,5,13,15.471,0
0,0,reference,B_cow_sheep,25925.0,51574.0,0,DONE,719,35.565,4853,0.9289,0.5724,741,109,4,2,0,0,15.0341,0
0,1,B_cow_sheep,reference,51574.0,25925.0,1,DONE,719,35.565,4439,0.9401,0.5812,567,130,41,1,5,0,16.179,0
0,0,reference,C_goose_wheat,26210.0,26210.0,0,DONE,719,34.084,4853,0.9289,0.5724,741,109,4,2,0,0,11.6432,0
0,1,C_goose_wheat,reference,26210.0,26210.0,0,DONE,719,34.084,4853,0.9289,0.5724,741,109,4,2,0,0,12.1456,0
0,0,reference,D_premium_crop,33884.0,34761.0,0,DONE,719,41.794,4853,0.9289,0.5724,741,109,4,2,0,0,16.6589,0
0,1,D_premium_crop,reference,34761.0,33884.0,1,DONE,719,41.794,5495,0.5578,0.4087,168,0,4,13,0,0,15.1217,0
0,0,reference,E_crop_heavy,29012.0,12363.0,1,DONE,719,38.542,4853,0.9289,0.5724,741,109,4,2,0,0,13.6865,0
0,1,E_crop_heavy,reference,12363.0,29012.0,0,DONE,719,38.542,7609,0.6663,0.4881,673,0,4,0,0,0,11.0202,0
0,0,reference,F_mixed,27615.0,23643.0,1,DONE,719,38.028,4853,0.9289,0.5724,741,109,4,2,0,0,17.9235,0
0,1,F_mixed,reference,23643.0,27615.0,0,DONE,719,38.028,4853,0.8304,0.5168,509,86,10,2,0,0,10.3028,0
0,0,reference,G_goose_land,33319.0,2063.0,1,DONE,719,30.529,4853,0.9289,0.5724,741,109,4,2,0,0,12.7116,0
0,1,G_goose_land,reference,2063.0,33319.0,0,DONE,719,30.529,2319,0.5804,0.3777,93,7,4,18,6,0,11.4601,0
0,0,reference,H_goose_max,28625.0,25010.0,1,DONE,719,41.135,4853,0.9289,0.5724,741,109,4,2,0,0,12.9125,0
0,1,H_goose_max,reference,25010.0,28625.0,0,DONE,719,41.135,6229,0.869,0.5656,737,169,50,1,5,0,15.1474,0
1,0,A_diversified,reference,36163.0,28749.0,1,DONE,719,42.447,4025,0.9448,0.5709,521,125,35,0,3,25,20.4846,0
1,1,reference,A_diversified,28749.0,36163.0,0,DONE,719,42.447,4853,0.9289,0.5724,741,109,4,2,0,0,12.5948,0
1,0,B_cow_sheep,reference,48920.0,26769.0,1,DONE,719,36.817,4439,0.9376,0.579,561,132,47,1,4,0,17.4567,0
1,1,reference,B_cow_sheep,26769.0,48920.0,0,DONE,719,36.817,4853,0.9289,0.5724,741,109,4,2,0,0,10.0001,0
1,0,C_goose_wheat,reference,25286.0,25286.0,0,DONE,719,31.694,4853,0.9289,0.5724,741,109,4,2,0,0,13.2075,0
1,1,reference,C_goose_wheat,25286.0,25286.0,0,DONE,719,31.694,4853,0.9289,0.5724,741,109,4,2,0,0,10.5565,0
1,0,D_premium_crop,reference,35011.0,31003.0,1,DONE,719,39.712,5495,0.5507,0.4009,168,0,6,13,0,0,11.7579,0
1,1,reference,D_premium_crop,31003.0,35011.0,0,DONE,719,39.712,4853,0.9289,0.5724,741,109,4,2,0,0,13.3133,0
1,0,E_crop_heavy,reference,15479.0,26471.0,0,DONE,719,43.169,7609,0.6663,0.4881,673,0,4,0,0,0,17.8124,0
1,1,reference,E_crop_heavy,26471.0,15479.0,1,DONE,719,43.169,4853,0.9289,0.5724,741,109,4,2,0,0,18.4353,0
1,0,F_mixed,reference,23385.0,26238.0,0,DONE,719,37.94,4853,0.8304,0.5168,509,86,10,2,0,0,18.3596,0
1,1,reference,F_mixed,26238.0,23385.0,1,DONE,719,37.94,4853,0.9289,0.5724,741,109,4,2,0,0,14.0645,0
1,0,G_goose_land,reference,113.0,26620.0,0,DONE,719,31.374,1869,0.595,0.3868,52,2,0,19,6,0,10.5315,0
1,1,reference,G_goose_land,26620.0,113.0,1,DONE,719,31.374,4853,0.9289,0.5724,741,109,4,2,0,0,9.8896,0
1,0,H_goose_max,reference,20503.0,25825.0,0,DONE,719,43.064,6229,0.8595,0.564,728,161,38,0,5,8,22.2675,0
1,1,reference,H_goose_max,25825.0,20503.0,1,DONE,719,43.064,4853,0.9289,0.5724,741,109,4,2,0,0,15.3121,0
1,0,reference,A_diversified,28749.0,36163.0,0,DONE,719,37.422,4853,0.9289,0.5724,741,109,4,2,0,0,13.4432,0
1,1,A_diversified,reference,36163.0,28749.0,1,DONE,719,37.422,4025,0.9448,0.5709,521,125,35,0,3,25,15.9652,0
1,0,reference,B_cow_sheep,26769.0,48920.0,0,DONE,719,34.258,4853,0.9289,0.5724,741,109,4,2,0,0,15.7444,0
1,1,B_cow_sheep,reference,48920.0,26769.0,1,DONE,719,34.258,4439,0.9376,0.579,561,132,47,1,4,0,10.7529,0
1,0,reference,C_goose_wheat,25286.0,25286.0,0,DONE,719,32.516,4853,0.9289,0.5724,741,109,4,2,0,0,12.9885,0
1,1,C_goose_wheat,reference,25286.0,25286.0,0,DONE,719,32.516,4853,0.9289,0.5724,741,109,4,2,0,0,13.2771,0
1,0,reference,D_premium_crop,31003.0,35011.0,0,DONE,719,36.937,4853,0.9289,0.5724,741,109,4,2,0,0,17.2026,0
1,1,D_premium_crop,reference,35011.0,31003.0,1,DONE,719,36.937,5495,0.5507,0.4009,168,0,6,13,0,0,14.329,0
1,0,reference,E_crop_heavy,26471.0,15479.0,1,DONE,719,39.527,4853,0.9289,0.5724,741,109,4,2,0,0,14.1295,0
1,1,E_crop_heavy,reference,15479.0,26471.0,0,DONE,719,39.527,7609,0.6663,0.4881,673,0,4,0,0,0,14.1964,0
1,0,reference,F_mixed,26238.0,23385.0,1,DONE,719,35.561,4853,0.9289,0.5724,741,109,4,2,0,0,11.5097,0
1,1,F_mixed,reference,23385.0,26238.0,0,DONE,719,35.561,4853,0.8304,0.5168,509,86,10,2,0,0,9.6129,0
1,0,reference,G_goose_land,26620.0,113.0,1,DONE,719,27.525,4853,0.9289,0.5724,741,109,4,2,0,0,9.0585,0
1,1,G_goose_land,reference,113.0,26620.0,0,DONE,719,27.525,1869,0.595,0.3868,52,2,0,19,6,0,7.5405,0
1,0,reference,H_goose_max,25825.0,20503.0,1,DONE,719,43.86,4853,0.9289,0.5724,741,109,4,2,0,0,12.3396,0
1,1,H_goose_max,reference,20503.0,25825.0,0,DONE,719,43.86,6229,0.8595,0.564,728,161,38,0,5,8,15.193,0
2,0,A_diversified,reference,39746.0,30793.0,1,DONE,719,33.819,4025,0.9451,0.5712,521,125,35,0,3,25,18.4141,0
2,1,reference,A_diversified,30793.0,39746.0,0,DONE,719,33.819,4853,0.9289,0.5724,741,109,4,2,0,0,14.191,0
2,0,B_cow_sheep,reference,45190.0,30562.0,1,DONE,719,34.153,4439,0.9376,0.579,561,132,47,1,4,0,15.4924,0
