seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,B_cow_sheep,A_diversified,50498.0,32178.0,1,DONE,719,24.77,4853,0.9472,0.578,640,155,10,2,1,3,5.8817,0
0,1,A_diversified,B_cow_sheep,32178.0,50498.0,0,DONE,719,24.77,4025,0.9451,0.5722,532,122,55,1,4,17,6.313,0
0,0,B_cow_sheep,D_premium_crop,61592.0,34681.0,1,DONE,719,19.491,4853,0.9472,0.578,640,155,10,2,1,3,4.7474,0
0,1,D_premium_crop,B_cow_sheep,34681.0,61592.0,0,DONE,719,19.491,5495,0.5578,0.4084,168,0,4,13,0,0,2.9854,0
0,0,B_cow_sheep,C_goose_wheat,57303.0,28606.0,1,DONE,719,29.582,4853,0.9472,0.578,640,155,10,2,1,3,13.9764,0
0,1,C_goose_wheat,B_cow_sheep,28606.0,57303.0,0,DONE,719,29.582,4853,0.9289,0.5724,741,109,4,2,0,0,10.0914,0
0,0,A_diversified,D_premium_crop,43012.0,38818.0,1,DONE,719,19.47,4025,0.9436,0.5709,532,122,55,1,4,17,4.1654,0
0,1,D_premium_crop,A_diversified,38818.0,43012.0,0,DONE,719,19.47,5495,0.5552,0.4049,168,0,6,13,0,0,4.4755,0
0,0,A_diversified,C_goose_wheat,38530.0,30789.0,1,DONE,719,21.534,4025,0.9448,0.5717,521,125,35,0,3,25,6.9573,0
0,1,C_goose_wheat,A_diversified,30789.0,38530.0,0,DONE,719,21.534,4853,0.9289,0.5724,741,109,4,2,0,0,7.5165,0
0,0,D_premium_crop,C_goose_wheat,34681.0,33884.0,1,DONE,719,33.087,5495,0.5578,0.4084,168,0,4,13,0,0,13.8742,0
0,1,C_goose_wheat,D_premium_crop,33884.0,34681.0,0,DONE,719,33.087,4853,0.9289,0.5724,741,109,4,2,0,0,17.3895,0
0,0,A_diversified,B_cow_sheep,32188.0,50498.0,0,DONE,719,22.998,4025,0.9436,0.5712,532,122,55,1,4,17,8.6634,0
0,1,B_cow_sheep,A_diversified,50498.0,32188.0,1,DONE,719,22.998,4853,0.9472,0.578,640,155,10,2,1,3,7.3833,0
0,0,D_premium_crop,B_cow_sheep,34681.0,61592.0,0,DONE,719,26.125,5495,0.5578,0.4084,168,0,4,13,0,0,6.9943,0
0,1,B_cow_sheep,D_premium_crop,61592.0,34681.0,1,DONE,719,26.125,4853,0.9472,0.578,640,155,10,2,1,3,8.4,0
0,0,C_goose_wheat,B_cow_sheep,28606.0,57303.0,0,DONE,719,37.976,4853,0.9289,0.5724,741,109,4,2,0,0,23.7347,0
0,1,B_cow_sheep,C_goose_wheat,57303.0,28606.0,1,DONE,719,37.976,4853,0.9472,0.578,640,155,10,2,1,3,17.597,0
0,0,D_premium_crop,A_diversified,38818.0,43012.0,0,DONE,719,36.606,5495,0.5552,0.4049,168,0,6,13,0,0,13.8622,0
0,1,A_diversified,D_premium_crop,43012.0,38818.0,1,DONE,719,36.606,4025,0.9436,0.5709,532,122,55,1,4,17,20.7012,0
0,0,C_goose_wheat,A_diversified,30789.0,38530.0,0,DONE,719,27.338,4853,0.9289,0.5724,741,109,4,2,0,0,12.6953,0
0,1,A_diversified,C_goose_wheat,38530.0,30789.0,1,DONE,719,27.338,4025,0.9448,0.5717,521,125,35,0,3,25,7.6039,0
0,0,C_goose_wheat,D_premium_crop,33884.0,34681.0,0,DONE,719,25.984,4853,0.9289,0.5724,741,109,4,2,0,0,13.1527,0
0,1,D_premium_crop,C_goose_wheat,34681.0,33884.0,1,DONE,719,25.984,5495,0.5578,0.4084,168,0,4,13,0,0,8.5963,0
1,0,B_cow_sheep,A_diversified,60123.0,37717.0,1,DONE,719,25.053,4853,0.9472,0.578,640,155,10,2,1,3,6.3771,0
1,1,A_diversified,B_cow_sheep,37717.0,60123.0,0,DONE,719,25.053,4025,0.9456,0.5727,532,122,55,1,4,17,7.4862,0
1,0,B_cow_sheep,D_premium_crop,66256.0,34947.0,1,DONE,719,37.191,4853,0.9472,0.578,640,155,10,2,1,3,16.2631,0
1,1,D_premium_crop,B_cow_sheep,34947.0,66256.0,0,DONE,719,37.191,5495,0.5551,0.4045,168,0,6,13,0,0,18.7168,0
1,0,B_cow_sheep,C_goose_wheat,61128.0,25728.0,1,DONE,719,25.571,4853,0.9472,0.578,640,155,10,2,1,3,9.8516,0
1,1,C_goose_wheat,B_cow_sheep,25728.0,61128.0,0,DONE,719,25.571,4853,0.9289,0.5724,741,109,4,2,0,0,4.8979,0
1,0,A_diversified,D_premium_crop,45828.0,38428.0,1,DONE,719,19.665,4025,0.9456,0.5724,532,122,55,1,4,17,5.2505,0
1,1,D_premium_crop,A_diversified,38428.0,45828.0,0,DONE,719,19.665,5495,0.5551,0.4045,168,0,6,13,0,0,2.7343,0
1,0,A_diversified,C_goose_wheat,37780.0,27651.0,1,DONE,719,31.116,4025,0.9436,0.5712,532,122,55,1,4,17,7.0878,0
1,1,C_goose_wheat,A_diversified,27651.0,37780.0,0,DONE,719,31.116,4853,0.9289,0.5724,741,109,4,2,0,0,13.6003,0
