seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,B_cow_sheep,B_cow_sheep,45899.0,45899.0,0,DONE,719,21.093,4853,0.9472,0.578,640,155,10,2,1,3,13.8555,0
0,1,B_cow_sheep,B_cow_sheep,45899.0,45899.0,0,DONE,719,21.093,4853,0.9472,0.578,640,155,10,2,1,3,7.311,0
0,0,B_cow_sheep,A_diversified,50498.0,32178.0,1,DONE,719,17.229,4853,0.9472,0.578,640,155,10,2,1,3,5.6869,0
0,1,A_diversified,B_cow_sheep,32178.0,50498.0,0,DONE,719,17.229,4025,0.9451,0.5722,532,122,55,1,4,17,2.878,0
0,0,B_cow_sheep,C_goose_wheat,57303.0,28606.0,1,DONE,719,19.652,4853,0.9472,0.578,640,155,10,2,1,3,12.4484,0
0,1,C_goose_wheat,B_cow_sheep,28606.0,57303.0,0,DONE,719,19.652,4853,0.9289,0.5724,741,109,4,2,0,0,4.5888,0
0,0,A_diversified,B_cow_sheep,32188.0,50498.0,0,DONE,719,18.041,4025,0.9436,0.5712,532,122,55,1,4,17,4.8553,0
0,1,B_cow_sheep,A_diversified,50498.0,32188.0,1,DONE,719,18.041,4853,0.9472,0.578,640,155,10,2,1,3,5.4387,0
0,0,C_goose_wheat,B_cow_sheep,28606.0,57303.0,0,DONE,719,18.909,4853,0.9289,0.5724,741,109,4,2,0,0,7.5109,0
0,1,B_cow_sheep,C_goose_wheat,57303.0,28606.0,1,DONE,719,18.909,4853,0.9472,0.578,640,155,10,2,1,3,5.6385,0
1,0,B_cow_sheep,B_cow_sheep,48953.0,48953.0,0,DONE,719,19.789,4853,0.9472,0.578,640,155,10,2,1,3,9.9153,0
1,1,B_cow_sheep,B_cow_sheep,48953.0,48953.0,0,DONE,719,19.789,4853,0.9472,0.578,640,155,10,2,1,3,6.5432,0
1,0,B_cow_sheep,A_diversified,60123.0,37717.0,1,DONE,719,18.133,4853,0.9472,0.578,640,155,10,2,1,3,4.8064,0
1,1,A_diversified,B_cow_sheep,37717.0,60123.0,0,DONE,719,18.133,4025,0.9456,0.5727,532,122,55,1,4,17,4.9938,0
