seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,v0,starter,27303.0,3637.0,1,DONE,719,56.25,4853,0.9046,0.5683,724,116,1,0,0,42,39.1415,0
0,1,starter,v0,3637.0,27303.0,0,DONE,719,56.25,719,0.0682,0.0,18,0,0,0,0,0,0.5968,0
0,0,starter,v0,3637.0,27303.0,0,DONE,719,52.962,719,0.0682,0.0,18,0,0,0,0,0,0.7518,0
0,1,v0,starter,27303.0,3637.0,1,DONE,719,52.962,4853,0.9046,0.5683,724,116,1,0,0,42,34.475,0
1,0,v0,starter,24577.0,5105.0,1,DONE,719,53.65,4853,0.9046,0.5683,724,116,1,0,0,42,27.5728,0
1,1,starter,v0,5105.0,24577.0,0,DONE,719,53.65,719,0.0682,0.0,18,0,0,0,0,0,0.4235,0
1,0,starter,v0,5105.0,24577.0,0,DONE,719,48.299,719,0.0682,0.0,18,0,0,0,0,0,1.6221,0
1,1,v0,starter,24577.0,5105.0,1,DONE,719,48.299,4853,0.9046,0.5683,724,116,1,0,0,42,26.8534,0
2,0,v0,starter,28041.0,3493.0,1,DONE,719,50.918,4853,0.9046,0.5683,724,116,1,0,0,42,24.1977,0
2,1,starter,v0,3493.0,28041.0,0,DONE,719,50.918,719,0.0682,0.0,18,0,0,0,0,0,0.9628,0
2,0,starter,v0,3493.0,28345.0,0,DONE,719,51.682,719,0.0682,0.0,18,0,0,0,0,0,0.5755,0
2,1,v0,starter,28345.0,3493.0,1,DONE,719,51.682,4853,0.9062,0.5702,724,116,1,0,0,32,30.4452,0
3,0,v0,starter,25129.0,3866.0,1,DONE,719,46.817,4853,0.9046,0.5683,724,116,1,0,0,42,25.0393,0
3,1,starter,v0,3866.0,25129.0,0,DONE,719,46.817,719,0.0682,0.0,18,0,0,0,0,0,0.4044,0
3,0,starter,v0,3571.0,26403.0,0,DONE,719,29.084,719,0.0682,0.0,18,0,0,0,0,0,0.1856,0
3,1,v0,starter,26403.0,3571.0,1,DONE,719,29.084,4853,0.9046,0.5681,724,116,1,0,0,42,13.2236,0
